regime,arm,n,gain,ci_lo,ci_hi,n_triggers,n_adaptations,cand_future_collisions,probe_row_collisions,seq_labels_mean,labels_probe
portscan,rz_none_sz2000,30,-4.808,-7.678,-2.461,3.57,3.57,0.0,0.0,,0.0
portscan,rz_lp32_sz2000,30,-0.352,-0.676,-0.101,3.57,2.67,0.0,0.0,,114.13
portscan,rz_lcb64,30,-0.014,-0.041,0.0,3.57,0.07,0.0,0.0,,228.27
portscan,rz_mcnemar32,30,0.0,0.0,0.0,3.57,0.0,0.0,0.0,,114.13
portscan,rz_seqav64,30,-0.002,-0.006,0.0,3.57,0.03,0.0,0.0,61.97,228.27
portscan,seqav64,30,8.04,6.221,9.655,6.33,1.17,0.0,0.0,59.66,405.33
portscan,c8_none,30,7.621,5.3,9.749,2.67,2.67,486.67,0.0,,0.0
portscan,c8_gate,30,8.571,6.617,10.386,3.07,2.37,387.57,27.2,,97.07
portscan,rand_s0_none,30,-2.757,-3.705,-2.017,3.57,3.57,,,,
portscan,rand_s0_lp32,30,-1.114,-1.552,-0.735,3.57,1.77,,,,
portscan,sev0_none,30,-0.226,-0.633,0.0,0.07,0.07,,,,
portscan,sev0_lp32,30,0.0,0.0,0.0,0.07,0.0,,,,
unsw_recon,rz_none_sz2000,30,-0.128,-0.226,-0.036,3.57,3.57,0.0,0.0,,0.0
unsw_recon,rz_lp32_sz2000,30,-0.101,-0.184,-0.02,3.57,2.87,0.0,0.0,,114.13
unsw_recon,rz_lcb64,30,-0.056,-0.128,-0.006,3.57,0.17,0.0,0.0,,228.27
unsw_recon,rz_mcnemar32,30,0.0,0.0,0.0,3.57,0.0,0.0,0.0,,114.13
unsw_recon,rz_seqav64,30,-0.001,-0.003,0.0,3.57,0.03,0.0,0.0,63.65,228.27
unsw_recon,seqav64,30,1.003,0.76,1.24,5.83,0.87,0.0,0.0,60.99,373.33
unsw_recon,c8_none,30,0.868,0.584,1.14,2.23,2.23,1529.43,0.0,,0.0
unsw_recon,c8_gate,30,0.98,0.743,1.209,2.87,2.0,1319.13,37.97,,91.73
unsw_recon,rand_s0_none,30,-0.752,-0.886,-0.622,3.57,3.57,,,,
unsw_recon,rand_s0_lp32,30,-0.558,-0.697,-0.417,3.57,2.43,,,,
unsw_recon,sev0_none,30,-0.043,-0.109,0.0,0.07,0.07,,,,
unsw_recon,sev0_lp32,30,-0.022,-0.066,0.0,0.07,0.03,,,,
ton_scanning,rz_none_sz2000,30,-5.756,-9.108,-2.918,3.57,3.57,0.0,0.0,,0.0
ton_scanning,rz_lp32_sz2000,30,-0.407,-0.741,-0.135,3.57,2.03,0.0,0.0,,114.13
ton_scanning,rz_lcb64,30,0.01,0.0,0.03,3.57,0.03,0.0,0.0,,228.27
ton_scanning,rz_mcnemar32,30,0.0,0.0,0.0,3.57,0.0,0.0,0.0,,114.13
ton_scanning,rz_seqav64,30,0.0,0.0,0.0,3.57,0.0,0.0,0.0,55.53,228.27
ton_scanning,seqav64,30,0.16,0.057,0.286,6.5,0.27,0.0,0.0,57.8,416.0
ton_scanning,c8_none,30,-3.189,-5.91,-1.043,2.03,2.03,577.37,0.0,,0.0
ton_scanning,c8_gate,30,0.67,0.333,1.011,2.93,1.67,462.1,35.7,,93.87
ton_scanning,rand_s0_none,30,-4.751,-8.173,-2.042,3.57,3.57,,,,
ton_scanning,rand_s0_lp32,30,-0.245,-0.429,-0.073,3.57,2.47,,,,
ton_scanning,sev0_none,30,-1.03,-2.997,-0.001,0.13,0.13,,,,
ton_scanning,sev0_lp32,30,-0.089,-0.26,0.0,0.17,0.1,,,,
