regime_id,regime,klass,method,n_seeds,mean_BA,mean_F1,gain_BA_pts,gain_F1_pts
cicids_wednesday,CICIDS Wednesday,benefit,no_adaptation,30,0.76593,0.70299,0.0,0.0
cicids_wednesday,CICIDS Wednesday,benefit,energy_distance,30,0.88472,0.88621,11.879,18.322
cicids_wednesday,CICIDS Wednesday,benefit,mmd_rbf,30,0.8799,0.87902,11.397,17.603
cicids_wednesday,CICIDS Wednesday,benefit,ks_max,30,0.87722,0.87821,11.128,17.521
cicids_wednesday,CICIDS Wednesday,benefit,jsd,30,0.88099,0.88166,11.506,17.867
cicids_wednesday,CICIDS Wednesday,benefit,qk_mmd_zz,30,0.88483,0.88409,11.889,18.11
cicids_wednesday,CICIDS Wednesday,benefit,qk_mmd_pauli_xz,30,0.87847,0.87184,11.254,16.885
cicids_ddos,CICIDS DDoS,benefit,no_adaptation,30,0.6983,0.57408,0.0,0.0
cicids_ddos,CICIDS DDoS,benefit,energy_distance,30,0.89142,0.89665,19.311,32.257
cicids_ddos,CICIDS DDoS,benefit,mmd_rbf,30,0.88549,0.8856,18.719,31.152
cicids_ddos,CICIDS DDoS,benefit,ks_max,30,0.88415,0.88652,18.584,31.245
cicids_ddos,CICIDS DDoS,benefit,jsd,30,0.89003,0.89469,19.172,32.061
cicids_ddos,CICIDS DDoS,benefit,qk_mmd_zz,30,0.89327,0.89516,19.497,32.108
cicids_ddos,CICIDS DDoS,benefit,qk_mmd_pauli_xz,30,0.88843,0.8921,19.013,31.802
cicids_portscan,CICIDS PortScan,benefit,no_adaptation,30,0.87708,0.8639,0.0,0.0
cicids_portscan,CICIDS PortScan,benefit,energy_distance,30,0.93267,0.93608,5.559,7.217
cicids_portscan,CICIDS PortScan,benefit,mmd_rbf,30,0.90648,0.91743,2.94,5.353
cicids_portscan,CICIDS PortScan,benefit,ks_max,30,0.93256,0.93657,5.548,7.267
cicids_portscan,CICIDS PortScan,benefit,jsd,30,0.92298,0.93161,4.59,6.77
cicids_portscan,CICIDS PortScan,benefit,qk_mmd_zz,30,0.93911,0.942,6.204,7.81
cicids_portscan,CICIDS PortScan,benefit,qk_mmd_pauli_xz,30,0.93077,0.93623,5.369,7.233
cicids_webattacks,CICIDS WebAttacks,benefit,no_adaptation,30,0.84263,0.79917,0.0,0.0
cicids_webattacks,CICIDS WebAttacks,benefit,energy_distance,30,0.90008,0.90846,5.745,10.929
cicids_webattacks,CICIDS WebAttacks,benefit,mmd_rbf,30,0.91245,0.90996,6.983,11.079
cicids_webattacks,CICIDS WebAttacks,benefit,ks_max,30,0.90931,0.91482,6.668,11.565
cicids_webattacks,CICIDS WebAttacks,benefit,jsd,30,0.90242,0.90764,5.979,10.847
cicids_webattacks,CICIDS WebAttacks,benefit,qk_mmd_zz,30,0.91371,0.91793,7.108,11.876
cicids_webattacks,CICIDS WebAttacks,benefit,qk_mmd_pauli_xz,30,0.91911,0.92119,7.648,12.202
unsw_dos,UNSW-NB15 DoS,marginal,no_adaptation,30,0.83681,0.85758,0.0,0.0
unsw_dos,UNSW-NB15 DoS,marginal,energy_distance,30,0.84629,0.85652,0.948,-0.106
unsw_dos,UNSW-NB15 DoS,marginal,mmd_rbf,30,0.85001,0.86032,1.32,0.274
unsw_dos,UNSW-NB15 DoS,marginal,ks_max,30,0.85134,0.8626,1.453,0.502
unsw_dos,UNSW-NB15 DoS,marginal,jsd,30,0.84745,0.85883,1.064,0.125
unsw_dos,UNSW-NB15 DoS,marginal,qk_mmd_zz,30,0.849,0.85981,1.219,0.223
unsw_dos,UNSW-NB15 DoS,marginal,qk_mmd_pauli_xz,30,0.84792,0.85873,1.111,0.115
unsw_recon,UNSW-NB15 Reconnaissance,marginal,no_adaptation,30,0.84393,0.86172,0.0,0.0
unsw_recon,UNSW-NB15 Reconnaissance,marginal,energy_distance,30,0.84797,0.86313,0.404,0.141
unsw_recon,UNSW-NB15 Reconnaissance,marginal,mmd_rbf,30,0.84758,0.86315,0.366,0.143
unsw_recon,UNSW-NB15 Reconnaissance,marginal,ks_max,30,0.84557,0.8617,0.165,-0.002
unsw_recon,UNSW-NB15 Reconnaissance,marginal,jsd,30,0.84629,0.8626,0.236,0.088
unsw_recon,UNSW-NB15 Reconnaissance,marginal,qk_mmd_zz,30,0.84892,0.86404,0.499,0.232
unsw_recon,UNSW-NB15 Reconnaissance,marginal,qk_mmd_pauli_xz,30,0.8455,0.86173,0.157,0.0
ton_iot_scanning,ToN-IoT Scanning,harmful,no_adaptation,30,0.9225,0.92309,0.0,0.0
ton_iot_scanning,ToN-IoT Scanning,harmful,energy_distance,30,0.91735,0.9207,-0.516,-0.239
ton_iot_scanning,ToN-IoT Scanning,harmful,mmd_rbf,30,0.89197,0.88394,-3.053,-3.915
ton_iot_scanning,ToN-IoT Scanning,harmful,ks_max,30,0.89814,0.8774,-2.436,-4.569
ton_iot_scanning,ToN-IoT Scanning,harmful,jsd,30,0.87668,0.85385,-4.582,-6.923
ton_iot_scanning,ToN-IoT Scanning,harmful,qk_mmd_zz,30,0.89055,0.87182,-3.196,-5.127
ton_iot_scanning,ToN-IoT Scanning,harmful,qk_mmd_pauli_xz,30,0.90254,0.89387,-1.997,-2.922
