method,lambda_adaptation_cost,gamma_runtime_cost,n_pairs,mean_utility_diff_qk_minus_mmd,ci95_low,ci95_high,prob_diff_gt_0,qk_utility_better_ci95
QK-MMD ZZ,0.25,0.0,30,0.8828125,0.13254557291666666,1.7976757812499997,0.5333333333333333,True
QK-MMD ZZ,0.25,0.01,30,0.8415197584659329,0.09146384362083082,1.756289665243878,0.5333333333333333,True
QK-MMD ZZ,0.5,0.0,30,1.1578125,0.40936848958333333,2.057298177083333,0.7333333333333333,True
QK-MMD ZZ,0.5,0.01,30,1.1165197584659325,0.36820460120239673,2.015667230668131,0.7,True
QK-MMD ZZ,0.5,0.05,30,0.9513487923296631,0.2031456411212902,1.8505962101110587,0.6333333333333333,True
QK-MMD ZZ,0.75,0.0,30,1.4328125,0.6877604166666667,2.315638020833333,0.8,True
QK-MMD ZZ,0.75,0.01,30,1.391519758465933,0.6467044699250846,2.2742169815151945,0.8,True
QK-MMD ZZ,0.75,0.05,30,1.2263487923296632,0.48180784180333985,2.108468556425824,0.7333333333333333,True
QK-MMD ZZ,0.75,0.1,30,1.0198850846593273,0.27507692994099725,1.9013972701385307,0.7,True
QK-MMD ZZ,1.0,0.0,30,1.7078125,0.9578125,2.582291666666667,0.8333333333333334,True
QK-MMD ZZ,1.0,0.01,30,1.666519758465933,0.9170071305868177,2.540801799199754,0.8333333333333334,True
QK-MMD ZZ,1.0,0.05,30,1.5013487923296631,0.7515190851815035,2.3748423293321044,0.8333333333333334,True
QK-MMD ZZ,1.0,0.1,30,1.2948850846593272,0.5454214868330068,2.16791329581014,0.7666666666666667,True
QK-MMD ZZ,1.5,0.0,30,2.2578125,1.4950455729166667,3.1283919270833334,0.9,True
QK-MMD ZZ,1.5,0.01,30,2.216519758465933,1.4539616022363688,3.087248686316514,0.9,True
QK-MMD ZZ,1.5,0.05,30,2.051348792329663,1.287539009901947,2.922106127339376,0.9,True
QK-MMD ZZ,1.5,0.1,30,1.8448850846593272,1.080971719998702,2.715655135930448,0.8666666666666667,True
QK-MMD ZZ,1.5,0.25,30,1.2254939616483171,0.46015248468427067,2.0965122999324377,0.7,True
QK-MMD ZZ,2.0,0.0,30,2.8078125,1.99791015625,3.680475260416667,0.9,True
QK-MMD ZZ,2.0,0.01,30,2.766519758465932,1.9563752400679293,3.6392379508189783,0.9,True
QK-MMD ZZ,2.0,0.05,30,2.6013487923296625,1.7905002078168668,3.4739966646178555,0.9,True
QK-MMD ZZ,2.0,0.1,30,2.394885084659327,1.5825358179623827,3.2662784033341827,0.9,True
QK-MMD ZZ,2.0,0.25,30,1.775493961648317,0.9618899035427604,2.643722112791849,0.8333333333333334,True
QK-MMD PauliXZ,0.75,0.0,30,1.209375,0.25,2.198489583333332,0.7666666666666667,True
QK-MMD PauliXZ,0.75,0.01,30,1.1638405089671333,0.20422691831836798,2.152536999197222,0.7666666666666667,True
QK-MMD PauliXZ,0.75,0.05,30,0.9817025448356678,0.02230285930900827,1.9716391852035637,0.7333333333333333,True
QK-MMD PauliXZ,1.0,0.0,30,1.484375,0.5158854166666667,2.4770963541666666,0.7666666666666667,True
QK-MMD PauliXZ,1.0,0.01,30,1.4388405089671332,0.4701517947524601,2.431642824885345,0.7666666666666667,True
QK-MMD PauliXZ,1.0,0.05,30,1.2567025448356681,0.2872334079622717,2.2495238608808523,0.7666666666666667,True
QK-MMD PauliXZ,1.0,0.1,30,1.0290300896713356,0.05961877707823701,2.02038528905058,0.7333333333333333,True
QK-MMD PauliXZ,1.5,0.0,30,2.034375,1.0341145833333334,3.0375,0.7666666666666667,True
QK-MMD PauliXZ,1.5,0.01,30,1.9888405089671333,0.9884979768976513,2.991691842472733,0.7666666666666667,True
QK-MMD PauliXZ,1.5,0.05,30,1.8067025448356682,0.8059848706688452,2.809575308915281,0.7666666666666667,True
QK-MMD PauliXZ,1.5,0.1,30,1.5790300896713356,0.5779566185492346,2.5824317308139975,0.7666666666666667,True
QK-MMD PauliXZ,2.0,0.0,30,2.584375,1.5374739583333334,3.615904947916666,0.8333333333333334,True
QK-MMD PauliXZ,2.0,0.01,30,2.5388405089671333,1.491615195465517,3.570209831269635,0.8333333333333334,True
QK-MMD PauliXZ,2.0,0.05,30,2.356702544835668,1.309093753348779,3.3861301263117394,0.8,True
QK-MMD PauliXZ,2.0,0.1,30,2.1290300896713354,1.0797427463320879,3.1568168490869466,0.7666666666666667,True
QK-MMD PauliXZ,2.0,0.25,30,1.4460127241783387,0.396287147908685,2.4723475183790042,0.7333333333333333,True
