method,gamma_runtime_cost,mean_gain_delta_qk_minus_mmd,mean_adaptation_saving_vs_mmd,mean_runtime_extra_vs_mmd,lambda_break_even_raw,lambda_break_even_nonnegative
QK-MMD ZZ,0.0,0.6078125,1.1,4.129274153406731,-0.5525568181818181,0.0
QK-MMD ZZ,0.01,0.6078125,1.1,4.129274153406731,-0.515017962241757,0.0
QK-MMD ZZ,0.05,0.6078125,1.1,4.129274153406731,-0.3648625384815121,0.0
QK-MMD ZZ,0.1,0.6078125,1.1,4.129274153406731,-0.17716825878120618,0.0
QK-MMD ZZ,0.25,0.6078125,1.1,4.129274153406731,0.38591458031971165,0.38591458031971165
QK-MMD ZZ,0.5,0.6078125,1.1,4.129274153406731,1.3243859788212413,1.3243859788212413
QK-MMD ZZ,1.0,0.6078125,1.1,4.129274153406731,3.201328775824301,3.201328775824301
QK-MMD PauliXZ,0.0,0.384375,1.1,4.553449103286645,-0.3494318181818182,0.0
QK-MMD PauliXZ,0.01,0.384375,1.1,4.553449103286645,-0.3080368263337578,0.0
QK-MMD PauliXZ,0.05,0.384375,1.1,4.553449103286645,-0.14245685894151616,0.0
QK-MMD PauliXZ,0.1,0.384375,1.1,4.553449103286645,0.06451810029878587,0.06451810029878587
QK-MMD PauliXZ,0.25,0.384375,1.1,4.553449103286645,0.6854429780196919,0.6854429780196919
QK-MMD PauliXZ,0.5,0.384375,1.1,4.553449103286645,1.7203177742212021,1.7203177742212021
QK-MMD PauliXZ,1.0,0.384375,1.1,4.553449103286645,3.7900673666242217,3.7900673666242217
