severity,method,n_seeds,score_gap_mean,pre_post_auc_mean
0.1,QK-MMD ZZ,30,8.887534462263734e-05,0.5131666666666667
0.1,QK-MMD PauliXZ,30,8.132642840912007e-05,0.5114166666666666
0.1,MMD-RBF,30,7.801455048741523e-05,0.4948333333333333
0.25,QK-MMD PauliXZ,30,0.0001827109147686,0.5481666666666667
0.25,QK-MMD ZZ,30,0.0001835861650027,0.5466666666666666
0.25,MMD-RBF,30,0.0001385384610677,0.5224166666666666
0.5,QK-MMD PauliXZ,30,0.0009165920588367,0.6923333333333334
0.5,QK-MMD ZZ,30,0.0009348605508578,0.6858333333333333
0.5,MMD-RBF,30,0.0006920606045902,0.6190833333333334
0.75,QK-MMD PauliXZ,30,0.0016096846770691,0.811
0.75,QK-MMD ZZ,30,0.0016173329885027,0.7980833333333333
0.75,MMD-RBF,30,0.001300128254809,0.6990833333333334
1.0,QK-MMD PauliXZ,30,0.0028756112243221,0.9181666666666666
1.0,QK-MMD ZZ,30,0.0028876627407114,0.9069166666666668
1.0,MMD-RBF,30,0.0023277929072304,0.8
