severity,method,threshold_quantile,consecutive_k,false_alarm_any_rate,post_detect_any_rate,trigger_gain,delay_windows_mean,pre_post_auc_mean
0.1,MMD-RBF,0.95,2,0.1,0.1666666666666666,0.0666666666666666,4.6,0.4948333333333333
0.1,QK-MMD PauliXZ,0.95,2,0.0333333333333333,0.1,0.0666666666666666,3.0,0.5114166666666666
0.1,QK-MMD ZZ,0.975,2,0.0333333333333333,0.0666666666666666,0.0333333333333333,4.0,0.5131666666666667
0.25,QK-MMD PauliXZ,0.95,2,0.0333333333333333,0.2,0.1666666666666666,3.6666666666666665,0.5481666666666667
0.25,QK-MMD ZZ,0.99,2,0.0333333333333333,0.1666666666666666,0.1333333333333333,11.2,0.5466666666666666
0.25,MMD-RBF,0.95,2,0.1,0.1666666666666666,0.0666666666666666,9.8,0.5224166666666666
0.5,QK-MMD PauliXZ,0.95,2,0.0333333333333333,0.5666666666666667,0.5333333333333333,7.9411764705882355,0.6923333333333334
0.5,QK-MMD ZZ,0.95,2,0.1,0.5333333333333333,0.4333333333333333,7.5,0.6858333333333333
0.5,MMD-RBF,0.95,2,0.1,0.2666666666666666,0.1666666666666666,6.5,0.6190833333333334
0.75,QK-MMD PauliXZ,0.95,2,0.0333333333333333,0.6666666666666666,0.6333333333333333,3.6,0.811
0.75,QK-MMD ZZ,0.975,2,0.0333333333333333,0.6333333333333333,0.6,4.052631578947368,0.7980833333333333
0.75,MMD-RBF,0.95,2,0.1,0.5,0.4,3.0,0.6990833333333334
1.0,QK-MMD PauliXZ,0.95,2,0.0333333333333333,0.9,0.8666666666666667,1.4074074074074074,0.9181666666666666
1.0,QK-MMD ZZ,0.95,2,0.1,0.9,0.8,1.6666666666666667,0.9069166666666668
1.0,MMD-RBF,0.95,2,0.1,0.7,0.6,2.952380952380953,0.8
