scenario,policy,candidate_size,ba,attack_recall,fpr,attack_f1,d_recall_vs_naive_pp,recall_onesided_lo95,d_fpr_vs_naive_pp,fpr_onesided_hi95,recall_NI_principal,recall_NI_strict,recall_NI_lax,fpr_NI_principal,fpr_NI_strict,fpr_NI_lax
ps_zero,naive,512,93.95364583333333,99.6786458333333,11.771354166666667,94.33281718838742,,,,,,,,,,
ps_zero,point,512,94.92578125000001,99.74166666666665,9.890104166666667,95.20311666396027,0.063,0.0312,-1.8813,-1.3708,True,True,True,True,True,True
ps_zero,strict,512,95.62760416666667,99.75104166666665,8.495833333333337,95.8332060298299,0.0724,0.0182,-3.2755,-2.7635,True,True,True,True,True,True
ps_zero,naive,2000,95.84192708333333,99.73541666666665,8.051562500000001,96.0267884929259,,,,,,,,,,
ps_zero,point,2000,95.89661458333335,99.73333333333333,7.940104166666666,96.0773216472916,-0.0021,-0.0135,-0.1115,-0.0156,True,True,True,True,True,True
ps_zero,strict,2000,95.97317708333333,99.75937499999998,7.813020833333334,96.14725508275065,0.024,0.0042,-0.2385,0.1021,True,True,True,True,True,True
unsw_zero,naive,512,88.42447916666669,96.37447916666667,19.525520833333335,89.31393942958474,,,,,,,,,,
unsw_zero,point,512,88.61302083333335,96.05260416666665,18.826562499999998,89.43573017674785,-0.3219,-0.5703,-0.699,-0.3594,True,False,True,True,True,True
unsw_zero,strict,512,88.88854166666665,95.6078125,17.830729166666664,89.61974272626543,-0.7667,-1.138,-1.6948,-1.175,False,False,True,True,True,True
unsw_zero,naive,2000,89.05755208333333,95.60729166666667,17.4921875,89.76014821262218,,,,,,,,,,
unsw_zero,point,2000,89.06484375,95.5375,17.407812500000002,89.7593857895174,-0.0698,-0.1906,-0.0844,0.0432,True,True,True,True,True,True
unsw_zero,strict,2000,89.11536458333333,95.3328125,17.102083333333333,89.78084509535773,-0.2745,-0.4745,-0.3901,-0.1307,True,True,True,True,True,True
ton_zero,naive,512,92.32005208333332,93.75260416666666,9.112499999999999,92.43845473727147,,,,,,,,,,
ton_zero,point,512,92.43671875,93.66302083333335,8.789583333333335,92.53261584389908,-0.0896,-0.1688,-0.3229,-0.1245,True,True,True,True,True,True
ton_zero,strict,512,92.55807291666667,93.75885416666667,8.642708333333331,92.64945261065589,0.0063,-0.1161,-0.4698,-0.2349,True,True,True,True,True,True
ton_zero,naive,2000,92.54791666666668,93.70208333333335,8.60625,92.6347459568801,,,,,,,,,,
ton_zero,point,2000,92.56432291666667,93.7359375,8.607291666666669,92.65234477718077,0.0339,0.001,0.001,0.0042,True,True,True,True,True,True
ton_zero,strict,2000,92.58177083333334,93.78697916666668,8.6234375,92.67208184512519,0.0849,0.0089,0.0172,0.0448,True,True,True,True,True,True
