scenario,policy,candidate_size,arm,seed,ba,attack_f1,attack_recall,fpr,triggers,candidates_trained,commits,rejects,labels_total,labels_probe,labels_candidate,n_resolved_proposals,n_commits_logged,mean_delta_res1,harmful_commits_h1,censored_h1,mean_delta_res3,harmful_commits_h3,censored_h3,mean_delta_res5,harmful_commits_h5,censored_h5,mean_delta_res10,harmful_commits_h10,censored_h10
ps_zero,never,n/a,sm_ps_zero_never,4001,0.962109375,0.9637148980937507,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4002,0.967421875,0.9685667866809688,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4003,0.958203125,0.960072621470136,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4004,0.957265625,0.9591777369582039,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4005,0.960546875,0.9622026406558342,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4006,0.9584375,0.9602511018902133,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4007,0.961015625,0.9626487585988265,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4008,0.9534375,0.9556013916812595,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4009,0.9565625,0.9585242371888633,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4010,0.9515625,0.9540528588578857,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4011,0.95375,0.9559837130352389,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4012,0.961015625,0.9626285128296381,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4013,0.9590625,0.9608406209127273,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4014,0.9603125,0.9619764468099224,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4015,0.96671875,0.9678956618855168,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ps_zero,never,n/a,sm_ps_zero_never,4016,0.962265625,0.9638301412157344,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
