scenario,policy,candidate_size,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,candidates_mean,commits_mean,rejects_mean,labels_probe_mean,labels_candidate_mean
ps_zero,naive,2000,0.9584192708333333,0.0044378416335324475,0.9973541666666667,0.08051562500000001,0.9602678849292591,3.7,3.7,3.7,0.0,0.0,14800.0
ps_zero,naive,512,0.9395364583333333,0.008459346053339095,0.9967864583333333,0.11771354166666666,0.9433281718838743,3.7,3.7,3.7,0.0,0.0,3788.8
ps_zero,never,n/a,0.9565651041666666,0.009804641527173913,,,0.9586087980392045,0.0,0.0,0.0,0.0,0.0,0.0
ps_zero,point,2000,0.9589661458333333,0.0051661462687930286,0.9973333333333334,0.07940104166666666,0.960773216472916,3.7,3.7,3.066666666666667,0.6333333333333333,118.4,14800.0
ps_zero,point,512,0.9492578125000001,0.011091297651177478,0.9974166666666666,0.09890104166666666,0.9520311666396029,3.7,3.7,1.8666666666666667,1.8333333333333333,118.4,3788.8
ps_zero,strict,2000,0.9597317708333333,0.004684296828220249,0.9975937500000001,0.07813020833333333,0.9614725508275065,3.7,3.7,0.5,3.2,118.4,14800.0
ps_zero,strict,512,0.9562760416666667,0.009045166178965473,0.9975104166666667,0.08495833333333333,0.958332060298299,3.7,3.7,0.23333333333333334,3.466666666666667,118.4,3788.8
ton_zero,naive,2000,0.9254791666666667,0.003087717618209094,0.9370208333333333,0.0860625,0.9263474595688009,3.7,3.7,3.7,0.0,0.0,14800.0
ton_zero,naive,512,0.9232005208333334,0.0055298877561840995,0.9375260416666666,0.091125,0.9243845473727145,3.7,3.7,3.7,0.0,0.0,3788.8
ton_zero,never,n/a,0.9255729166666666,0.0029725994024179803,,,0.9264552046003761,0.0,0.0,0.0,0.0,0.0,0.0
ton_zero,point,2000,0.9256432291666666,0.0029820964834344514,0.937359375,0.08607291666666667,0.9265234477718077,3.7,3.7,3.5,0.2,118.4,14800.0
ton_zero,point,512,0.9243671875,0.004330630052008591,0.9366302083333333,0.08789583333333333,0.9253261584389906,3.7,3.7,3.1333333333333333,0.5666666666666667,118.4,3788.8
ton_zero,strict,2000,0.9258177083333333,0.002634588825500862,0.9378697916666667,0.086234375,0.9267208184512519,3.7,3.7,0.06666666666666667,3.6333333333333333,118.4,14800.0
ton_zero,strict,512,0.9255807291666667,0.0033442537168258653,0.9375885416666667,0.08642708333333333,0.9264945261065586,3.7,3.7,0.26666666666666666,3.433333333333333,118.4,3788.8
unsw_zero,naive,2000,0.8905755208333334,0.004227744409634192,0.9560729166666667,0.174921875,0.8976014821262217,3.7,3.7,3.7,0.0,0.0,14800.0
unsw_zero,naive,512,0.8842447916666667,0.00500287554255797,0.9637447916666666,0.19525520833333332,0.8931393942958472,3.7,3.7,3.7,0.0,0.0,3788.8
unsw_zero,never,n/a,0.89078125,0.00388182015913216,,,0.8976637321003317,0.0,0.0,0.0,0.0,0.0,0.0
unsw_zero,point,2000,0.8906484375,0.004256651959442473,0.955375,0.174078125,0.897593857895174,3.7,3.7,2.8666666666666667,0.8333333333333334,118.4,14800.0
unsw_zero,point,512,0.8861302083333334,0.004568613297324336,0.9605260416666667,0.188265625,0.8943573017674785,3.7,3.7,2.2666666666666666,1.4333333333333333,118.4,3788.8
unsw_zero,strict,2000,0.8911536458333333,0.003994882576724116,0.9533281250000001,0.17102083333333334,0.8978084509535772,3.7,3.7,0.7,3.0,118.4,14800.0
unsw_zero,strict,512,0.8888854166666668,0.004187249359886287,0.956078125,0.17830729166666667,0.8961974272626544,3.7,3.7,0.6666666666666666,3.033333333333333,118.4,3788.8
