downstream,regime,gate,n,BA,gain_pts
svc_rbf,portscan,naive,30,0.93872,7.79
svc_rbf,portscan,lp32,30,0.94352,8.27
svc_rbf,portscan,unsup,30,0.91763,5.681
svc_rbf,portscan,atc,30,0.92012,5.93
svc_rbf,portscan,doc,30,0.89229,3.147
svc_rbf,unsw_recon,naive,30,0.84372,0.917
svc_rbf,unsw_recon,lp32,30,0.84586,1.13
svc_rbf,unsw_recon,unsup,30,0.83561,0.106
svc_rbf,unsw_recon,atc,30,0.84475,1.02
svc_rbf,unsw_recon,doc,30,0.84253,0.798
svc_rbf,ton_scanning,naive,30,0.90863,-1.362
svc_rbf,ton_scanning,lp32,30,0.93159,0.934
svc_rbf,ton_scanning,unsup,30,0.87277,-4.947
svc_rbf,ton_scanning,atc,30,0.92628,0.404
svc_rbf,ton_scanning,doc,30,0.9339,1.165
random_forest,portscan,naive,30,0.97375,27.363
random_forest,portscan,lp32,30,0.97368,27.356
random_forest,portscan,atc,30,0.95236,25.224
random_forest,portscan,doc,30,0.9676,26.748
random_forest,unsw_recon,naive,30,0.88488,2.316
random_forest,unsw_recon,lp32,30,0.88395,2.222
random_forest,unsw_recon,atc,30,0.88419,2.246
random_forest,unsw_recon,doc,30,0.88605,2.433
random_forest,ton_scanning,naive,30,0.98931,1.601
random_forest,ton_scanning,lp32,30,0.98905,1.575
random_forest,ton_scanning,atc,30,0.98923,1.593
random_forest,ton_scanning,doc,30,0.98945,1.614
