method,n_seeds,mean_balanced_accuracy,std_balanced_accuracy,cumulative_error_area_mean,cumulative_error_area_std,mean_gain_vs_no_adapt,cumulative_gain_vs_no_adapt_mean,n_adaptations_mean,false_adaptations_mean,first_adaptation_window_mean,alarm_rate_mean,trigger_rate_mean,detector_runtime_sec_total_mean,fit_runtime_sec_total_mean,scenario,feature_map_config,feature_map_family,q_reps,adaptation_efficiency_mean
qk_mmd_zz,3,0.8842447916666667,0.0076380257166991,2.3151041666666665,0.152760514333984,0.13203125,2.640625,2.0,0.0,6.0,0.5166666666666667,0.1,1.1234279000976433,0.0119215333058188,wednesday,zz_r1,ZZ,1,1.3203125
qk_mmd_zz,3,0.8842447916666667,0.0076380257166991,2.3151041666666665,0.152760514333984,0.13203125,2.640625,2.0,0.0,6.0,0.5666666666666668,0.1,1.7594316663841407,0.0119903666588167,wednesday,zz_r2,ZZ,2,1.3203125
qk_mmd_zz,3,0.8842447916666667,0.0076380257166991,2.3151041666666665,0.152760514333984,0.13203125,2.640625,2.0,0.0,6.0,0.5666666666666668,0.1,2.385213800085088,0.0117709334008395,wednesday,zz_r3,ZZ,3,1.3203125
qk_mmd_pauli_xz,3,0.8744791666666667,0.0060557374761632,2.5104166666666665,0.1211147495232654,0.122265625,2.4453125,1.6666666666666667,0.0,5.666666666666667,0.5,0.0833333333333333,1.2173308005246024,0.0105862332663188,wednesday,paulixz_r1,PauliXZ,1,1.4671874999999999
qk_mmd_pauli_xz,3,0.8708333333333332,0.011978458991778,2.583333333333333,0.2395691798355609,0.1186197916666666,2.372395833333333,1.6666666666666667,0.0,7.0,0.4833333333333333,0.0833333333333333,1.9380246004244932,0.0103413000081976,wednesday,paulixz_r2,PauliXZ,2,1.4234374999999997
qk_mmd_pauli_xz,3,0.8708333333333332,0.011978458991778,2.583333333333333,0.2395691798355609,0.1186197916666666,2.372395833333333,1.6666666666666667,0.0,7.0,0.5,0.0833333333333333,2.651086467007796,0.0106350999946395,wednesday,paulixz_r3,PauliXZ,3,1.4234374999999997
no_adaptation,3,0.7522135416666668,0.0234906082324448,4.955729166666667,0.4698121646488982,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,zz_r1,ZZ,1,
no_adaptation,3,0.7522135416666668,0.0234906082324448,4.955729166666667,0.4698121646488982,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,zz_r2,ZZ,2,
no_adaptation,3,0.7522135416666668,0.0234906082324448,4.955729166666667,0.4698121646488982,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,zz_r3,ZZ,3,
no_adaptation,3,0.7522135416666668,0.0234906082324448,4.955729166666667,0.4698121646488982,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,paulixz_r1,PauliXZ,1,
no_adaptation,3,0.7522135416666668,0.0234906082324448,4.955729166666667,0.4698121646488982,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,paulixz_r2,PauliXZ,2,
no_adaptation,3,0.7522135416666668,0.0234906082324448,4.955729166666667,0.4698121646488982,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,paulixz_r3,PauliXZ,3,
