stream,metric,quantity,value,ci_lo,ci_hi,n
fri,BA_two_class,naive_vs_noadapt,13.553,10.971,16.029,30
fri,BA_two_class,gate_vs_noadapt,7.216,4.794,9.557,30
fri,BA_two_class,strat_vs_noadapt,7.162,4.6,9.658,30
fri,BA_two_class,gate_vs_naive,-6.337,-6.825,-5.882,30
fri,BA_two_class,strat_vs_naive,-6.391,-6.864,-5.999,30
fri,BA_two_class,strat_vs_gate,-0.054,-0.487,0.406,30
fri,BA_two_class,no_adapt_level,71.968,69.377,74.701,30
fri,accuracy_all,naive_vs_noadapt,13.125,11.446,14.733,30
fri,accuracy_all,gate_vs_noadapt,17.315,15.521,18.983,30
fri,accuracy_all,strat_vs_noadapt,17.282,15.558,19.013,30
fri,accuracy_all,gate_vs_naive,4.19,3.843,4.517,30
fri,accuracy_all,strat_vs_naive,4.157,3.802,4.516,30
fri,accuracy_all,strat_vs_gate,-0.033,-0.35,0.284,30
fri,accuracy_all,no_adapt_level,70.568,68.842,72.335,30
wed,BA_two_class,naive_vs_noadapt,27.625,27.166,28.1,30
wed,BA_two_class,gate_vs_noadapt,28.026,27.485,28.582,30
wed,BA_two_class,strat_vs_noadapt,27.392,26.826,27.999,30
wed,BA_two_class,gate_vs_naive,0.401,0.092,0.752,30
wed,BA_two_class,strat_vs_naive,-0.233,-0.547,0.081,30
wed,BA_two_class,strat_vs_gate,-0.635,-1.043,-0.241,30
wed,BA_two_class,no_adapt_level,53.352,52.849,53.833,30
wed,accuracy_all,naive_vs_noadapt,15.015,14.371,15.77,30
wed,accuracy_all,gate_vs_noadapt,14.855,14.196,15.62,30
wed,accuracy_all,strat_vs_noadapt,14.586,13.88,15.41,30
wed,accuracy_all,gate_vs_naive,-0.16,-0.288,-0.062,30
wed,accuracy_all,strat_vs_naive,-0.429,-0.654,-0.221,30
wed,accuracy_all,strat_vs_gate,-0.269,-0.503,-0.057,30
wed,accuracy_all,no_adapt_level,65.962,65.309,66.569,30
thu,BA_two_class,naive_vs_noadapt,22.74,17.477,27.933,30
thu,BA_two_class,gate_vs_noadapt,17.762,12.664,23.365,30
thu,BA_two_class,strat_vs_noadapt,18.948,13.926,24.04,30
thu,BA_two_class,gate_vs_naive,-4.978,-9.245,-1.467,30
thu,BA_two_class,strat_vs_naive,-3.792,-7.214,-0.977,30
thu,BA_two_class,strat_vs_gate,1.186,-0.155,3.009,30
thu,BA_two_class,no_adapt_level,61.078,55.136,67.152,30
thu,accuracy_all,naive_vs_noadapt,8.473,7.041,10.008,30
thu,accuracy_all,gate_vs_noadapt,9.703,8.013,11.449,30
thu,accuracy_all,strat_vs_noadapt,9.328,7.891,10.919,30
thu,accuracy_all,gate_vs_naive,1.23,0.605,1.861,30
thu,accuracy_all,strat_vs_naive,0.855,0.291,1.441,30
thu,accuracy_all,strat_vs_gate,-0.375,-0.957,0.171,30
thu,accuracy_all,no_adapt_level,87.007,85.43,88.51,30
unsw,BA_two_class,naive_vs_noadapt,7.33,6.802,7.851,30
unsw,BA_two_class,gate_vs_noadapt,7.486,6.75,8.191,30
unsw,BA_two_class,strat_vs_noadapt,7.392,6.753,7.999,30
unsw,BA_two_class,gate_vs_naive,0.156,-0.309,0.629,30
unsw,BA_two_class,strat_vs_naive,0.062,-0.313,0.43,30
unsw,BA_two_class,strat_vs_gate,-0.094,-0.446,0.198,30
unsw,BA_two_class,no_adapt_level,82.296,82.035,82.588,30
unsw,accuracy_all,naive_vs_noadapt,5.778,5.628,5.928,30
unsw,accuracy_all,gate_vs_noadapt,5.991,5.746,6.228,30
unsw,accuracy_all,strat_vs_noadapt,5.912,5.689,6.131,30
unsw,accuracy_all,gate_vs_naive,0.213,-0.005,0.416,30
unsw,accuracy_all,strat_vs_naive,0.134,-0.059,0.317,30
unsw,accuracy_all,strat_vs_gate,-0.08,-0.246,0.078,30
unsw,accuracy_all,no_adapt_level,87.476,87.397,87.556,30
