block,arm,scenario,policy,transformer_policy,candidate_size_per_class,complete,duration_s,finished_utc,kind,frozen_s,own_s,ratio_own_over_frozen,s512_s,s2000_s,ratio_2000_over_512
symmetric_pipeline,sp_ps_full_naive_froz,ps_full,naive,frozen_initial_transformer,512,True,109.2,2026-07-22T10:03:25.474143+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_full_naive_own,ps_full,naive,own_transformer_per_model,512,True,107.8,2026-07-22T10:05:30.236998+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_full_never,ps_full,never,frozen_initial_transformer,512,True,43.4,2026-07-22T09:57:12.384566+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_full_point_froz,ps_full,point,frozen_initial_transformer,512,True,112.5,2026-07-22T10:07:28.938993+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_full_point_own,ps_full,point,own_transformer_per_model,512,True,113.0,2026-07-22T10:09:28.048543+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_full_strict_froz,ps_full,strict,frozen_initial_transformer,512,True,122.4,2026-07-22T10:11:43.795229+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_full_strict_own,ps_full,strict,own_transformer_per_model,512,True,117.3,2026-07-22T10:13:47.096739+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_zero_naive_froz,ps_zero,naive,frozen_initial_transformer,512,True,113.9,2026-07-22T10:41:44.347601+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_zero_naive_own,ps_zero,naive,own_transformer_per_model,512,True,113.9,2026-07-22T10:43:50.868568+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_zero_never,ps_zero,never,frozen_initial_transformer,512,True,43.4,2026-07-22T09:59:49.130931+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_zero_point_froz,ps_zero,point,frozen_initial_transformer,512,True,120.5,2026-07-22T10:45:57.507832+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_zero_point_own,ps_zero,point,own_transformer_per_model,512,True,117.3,2026-07-22T10:48:00.848065+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_zero_strict_froz,ps_zero,strict,frozen_initial_transformer,512,True,129.6,2026-07-22T10:50:23.720528+00:00,arm,,,,,,
symmetric_pipeline,sp_ps_zero_strict_own,ps_zero,strict,own_transformer_per_model,512,True,126.3,2026-07-22T10:52:35.588434+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_full_naive_froz,ton_full,naive,frozen_initial_transformer,512,True,117.6,2026-07-22T10:29:26.771985+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_full_naive_own,ton_full,naive,own_transformer_per_model,512,True,105.0,2026-07-22T10:31:20.885472+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_full_never,ton_full,never,frozen_initial_transformer,512,True,41.4,2026-07-22T09:58:59.645679+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_full_point_froz,ton_full,point,frozen_initial_transformer,512,True,118.0,2026-07-22T10:33:21.306445+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_full_point_own,ton_full,point,own_transformer_per_model,512,True,109.7,2026-07-22T10:35:13.472949+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_full_strict_froz,ton_full,strict,frozen_initial_transformer,512,True,131.5,2026-07-22T10:37:35.814800+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_full_strict_own,ton_full,strict,own_transformer_per_model,512,True,126.1,2026-07-22T10:39:44.372034+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_zero_naive_froz,ton_zero,naive,frozen_initial_transformer,512,True,123.2,2026-07-22T11:07:57.072358+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_zero_naive_own,ton_zero,naive,own_transformer_per_model,512,True,110.6,2026-07-22T11:09:56.464210+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_zero_never,ton_zero,never,frozen_initial_transformer,512,True,41.6,2026-07-22T10:01:23.337069+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_zero_point_froz,ton_zero,point,frozen_initial_transformer,512,True,122.0,2026-07-22T11:12:01.107109+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_zero_point_own,ton_zero,point,own_transformer_per_model,512,True,112.0,2026-07-22T11:13:55.603513+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_zero_strict_froz,ton_zero,strict,frozen_initial_transformer,512,True,132.0,2026-07-22T11:16:17.479695+00:00,arm,,,,,,
symmetric_pipeline,sp_ton_zero_strict_own,ton_zero,strict,own_transformer_per_model,512,True,125.3,2026-07-22T11:18:25.233254+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_full_naive_froz,unsw_full,naive,frozen_initial_transformer,512,True,119.5,2026-07-22T10:15:48.953813+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_full_naive_own,unsw_full,naive,own_transformer_per_model,512,True,121.0,2026-07-22T10:18:03.760947+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_full_never,unsw_full,never,frozen_initial_transformer,512,True,47.7,2026-07-22T09:58:15.811802+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_full_point_froz,unsw_full,point,frozen_initial_transformer,512,True,130.3,2026-07-22T10:20:16.405792+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_full_point_own,unsw_full,point,own_transformer_per_model,512,True,138.3,2026-07-22T10:22:37.015836+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_full_strict_froz,unsw_full,strict,frozen_initial_transformer,512,True,140.6,2026-07-22T10:25:06.395162+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_full_strict_own,unsw_full,strict,own_transformer_per_model,512,True,137.8,2026-07-22T10:27:26.612043+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_zero_naive_froz,unsw_zero,naive,frozen_initial_transformer,512,True,119.2,2026-07-22T10:54:37.235997+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_zero_naive_own,unsw_zero,naive,own_transformer_per_model,512,True,118.1,2026-07-22T10:56:44.708593+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_zero_never,unsw_zero,never,frozen_initial_transformer,512,True,47.8,2026-07-22T10:00:39.296259+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_zero_point_froz,unsw_zero,point,frozen_initial_transformer,512,True,123.9,2026-07-22T10:58:50.958276+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_zero_point_own,unsw_zero,point,own_transformer_per_model,512,True,124.4,2026-07-22T11:00:57.748918+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_zero_strict_froz,unsw_zero,strict,frozen_initial_transformer,512,True,142.6,2026-07-22T11:03:30.305587+00:00,arm,,,,,,
symmetric_pipeline,sp_unsw_zero_strict_own,unsw_zero,strict,own_transformer_per_model,512,True,138.6,2026-07-22T11:05:51.253165+00:00,arm,,,,,,
size_matched_own_transformer,sm_ps_zero_naive_2000,ps_zero,naive,own_transformer_per_model,2000,True,149.2,2026-07-22T15:48:24.621191+00:00,arm,,,,,,
size_matched_own_transformer,sm_ps_zero_naive_512,ps_zero,naive,own_transformer_per_model,512,True,109.7,2026-07-22T15:45:49.378822+00:00,arm,,,,,,
size_matched_own_transformer,sm_ps_zero_never,ps_zero,never,frozen_initial_transformer,512,True,42.9,2026-07-22T15:43:42.307187+00:00,arm,,,,,,
size_matched_own_transformer,sm_ps_zero_point_2000,ps_zero,point,own_transformer_per_model,2000,True,153.9,2026-07-22T15:53:15.870244+00:00,arm,,,,,,
size_matched_own_transformer,sm_ps_zero_point_512,ps_zero,point,own_transformer_per_model,512,True,116.1,2026-07-22T15:50:35.693441+00:00,arm,,,,,,
size_matched_own_transformer,sm_ps_zero_strict_2000,ps_zero,strict,own_transformer_per_model,2000,True,143.5,2026-07-22T15:57:59.828793+00:00,arm,,,,,,
size_matched_own_transformer,sm_ps_zero_strict_512,ps_zero,strict,own_transformer_per_model,512,True,118.6,2026-07-22T15:55:30.342944+00:00,arm,,,,,,
size_matched_own_transformer,sm_ton_zero_naive_2000,ton_zero,naive,own_transformer_per_model,2000,True,153.4,2026-07-22T16:20:21.905421+00:00,arm,,,,,,
size_matched_own_transformer,sm_ton_zero_naive_512,ton_zero,naive,own_transformer_per_model,512,True,107.4,2026-07-22T16:17:45.975541+00:00,arm,,,,,,
size_matched_own_transformer,sm_ton_zero_never,ton_zero,never,frozen_initial_transformer,512,True,41.5,2026-07-22T16:15:46.963385+00:00,arm,,,,,,
size_matched_own_transformer,sm_ton_zero_point_2000,ton_zero,point,own_transformer_per_model,2000,True,155.9,2026-07-22T16:25:01.557967+00:00,arm,,,,,,
size_matched_own_transformer,sm_ton_zero_point_512,ton_zero,point,own_transformer_per_model,512,True,109.5,2026-07-22T16:22:23.093982+00:00,arm,,,,,,
size_matched_own_transformer,sm_ton_zero_strict_2000,ton_zero,strict,own_transformer_per_model,2000,True,159.1,2026-07-22T16:30:00.216994+00:00,arm,,,,,,
size_matched_own_transformer,sm_ton_zero_strict_512,ton_zero,strict,own_transformer_per_model,512,True,126.8,2026-07-22T16:27:18.609063+00:00,arm,,,,,,
size_matched_own_transformer,sm_unsw_zero_naive_2000,unsw_zero,naive,own_transformer_per_model,2000,True,182.0,2026-07-22T16:04:16.252398+00:00,arm,,,,,,
size_matched_own_transformer,sm_unsw_zero_naive_512,unsw_zero,naive,own_transformer_per_model,512,True,118.0,2026-07-22T16:01:02.051434+00:00,arm,,,,,,
size_matched_own_transformer,sm_unsw_zero_never,unsw_zero,never,frozen_initial_transformer,512,True,47.7,2026-07-22T15:59:01.606366+00:00,arm,,,,,,
size_matched_own_transformer,sm_unsw_zero_point_2000,unsw_zero,point,own_transformer_per_model,2000,True,176.4,2026-07-22T16:09:35.927725+00:00,arm,,,,,,
size_matched_own_transformer,sm_unsw_zero_point_512,unsw_zero,point,own_transformer_per_model,512,True,127.5,2026-07-22T16:06:26.197043+00:00,arm,,,,,,
size_matched_own_transformer,sm_unsw_zero_strict_2000,unsw_zero,strict,own_transformer_per_model,2000,True,172.2,2026-07-22T16:15:02.898547+00:00,arm,,,,,,
size_matched_own_transformer,sm_unsw_zero_strict_512,unsw_zero,strict,own_transformer_per_model,512,True,140.4,2026-07-22T16:11:58.692304+00:00,arm,,,,,,
symmetric_pipeline,,ps_full,naive,,,,,,pair_frozen_vs_own,109.2,107.8,0.9871794871794871,,,
symmetric_pipeline,,ps_full,point,,,,,,pair_frozen_vs_own,112.5,113.0,1.0044444444444445,,,
symmetric_pipeline,,ps_full,strict,,,,,,pair_frozen_vs_own,122.4,117.3,0.9583333333333333,,,
symmetric_pipeline,,ps_zero,naive,,,,,,pair_frozen_vs_own,113.9,113.9,1.0,,,
symmetric_pipeline,,ps_zero,point,,,,,,pair_frozen_vs_own,120.5,117.3,0.9734439834024896,,,
symmetric_pipeline,,ps_zero,strict,,,,,,pair_frozen_vs_own,129.6,126.3,0.9745370370370371,,,
symmetric_pipeline,,ton_full,naive,,,,,,pair_frozen_vs_own,117.6,105.0,0.8928571428571429,,,
symmetric_pipeline,,ton_full,point,,,,,,pair_frozen_vs_own,118.0,109.7,0.9296610169491526,,,
symmetric_pipeline,,ton_full,strict,,,,,,pair_frozen_vs_own,131.5,126.1,0.95893536121673,,,
symmetric_pipeline,,ton_zero,naive,,,,,,pair_frozen_vs_own,123.2,110.6,0.8977272727272727,,,
symmetric_pipeline,,ton_zero,point,,,,,,pair_frozen_vs_own,122.0,112.0,0.9180327868852459,,,
symmetric_pipeline,,ton_zero,strict,,,,,,pair_frozen_vs_own,132.0,125.3,0.9492424242424242,,,
symmetric_pipeline,,unsw_full,naive,,,,,,pair_frozen_vs_own,119.5,121.0,1.0125523012552302,,,
symmetric_pipeline,,unsw_full,point,,,,,,pair_frozen_vs_own,130.3,138.3,1.061396776669225,,,
symmetric_pipeline,,unsw_full,strict,,,,,,pair_frozen_vs_own,140.6,137.8,0.9800853485064013,,,
symmetric_pipeline,,unsw_zero,naive,,,,,,pair_frozen_vs_own,119.2,118.1,0.9907718120805369,,,
symmetric_pipeline,,unsw_zero,point,,,,,,pair_frozen_vs_own,123.9,124.4,1.0040355125100888,,,
symmetric_pipeline,,unsw_zero,strict,,,,,,pair_frozen_vs_own,142.6,138.6,0.9719495091164095,,,
size_matched_own_transformer,,ps_zero,naive,,,,,,pair_512_vs_2000,,,,109.7,149.2,1.3600729261622606
size_matched_own_transformer,,ps_zero,point,,,,,,pair_512_vs_2000,,,,116.1,153.9,1.3255813953488373
size_matched_own_transformer,,ps_zero,strict,,,,,,pair_512_vs_2000,,,,118.6,143.5,1.2099494097807757
size_matched_own_transformer,,ton_zero,naive,,,,,,pair_512_vs_2000,,,,107.4,153.4,1.4283054003724394
size_matched_own_transformer,,ton_zero,point,,,,,,pair_512_vs_2000,,,,109.5,155.9,1.423744292237443
size_matched_own_transformer,,ton_zero,strict,,,,,,pair_512_vs_2000,,,,126.8,159.1,1.2547318611987381
size_matched_own_transformer,,unsw_zero,naive,,,,,,pair_512_vs_2000,,,,118.0,182.0,1.5423728813559323
size_matched_own_transformer,,unsw_zero,point,,,,,,pair_512_vs_2000,,,,127.5,176.4,1.383529411764706
size_matched_own_transformer,,unsw_zero,strict,,,,,,pair_512_vs_2000,,,,140.4,172.2,1.2264957264957264
