method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.009196247532886,0.25,2.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,8.13068382773428,0.25,2.0,0.01,total
energy_distance,Energy distance,30,8.489901361658122,0.25,2.0,0.05,total
jsd,JSD,30,7.33715920983154,0.25,2.0,0.05,total
ks_max,KS-max,30,8.573931177165358,0.25,2.0,0.05,total
mmd_rbf,MMD-RBF,30,8.77612607316502,0.25,2.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.295981237664431,0.25,2.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,7.462794138671403,0.25,2.0,0.05,total
energy_distance,Energy distance,30,8.48396938998291,0.25,2.0,0.1,total
jsd,JSD,30,7.3349955029964145,0.25,2.0,0.1,total
