method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
mmd_rbf,MMD-RBF,30,10.697135416666667,0.0,1.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.120833333333334,0.0,1.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,10.489322916666667,0.0,1.0,0.0,total
energy_distance,Energy distance,30,10.844646938998292,0.0,1.0,0.01,total
jsd,JSD,30,9.872223508632974,0.0,1.0,0.01,total
ks_max,KS-max,30,10.290827902099739,0.0,1.0,0.01,total
mmd_rbf,MMD-RBF,30,10.657933547966337,0.0,1.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.94252958086622,0.0,1.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,10.322350494400947,0.0,1.0,0.01,total
energy_distance,Energy distance,30,10.839901361658121,0.0,1.0,0.05,total
jsd,JSD,30,9.870492543164874,0.0,1.0,0.05,total
ks_max,KS-max,30,10.273931177165359,0.0,1.0,0.05,total
mmd_rbf,MMD-RBF,30,10.50112607316502,0.0,1.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.229314570997763,0.0,1.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,9.65446080533807,0.0,1.0,0.05,total
energy_distance,Energy distance,30,10.83396938998291,0.0,1.0,0.1,total
jsd,JSD,30,9.868328836329747,0.0,1.0,0.1,total
ks_max,KS-max,30,10.252810270997385,0.0,1.0,0.1,total
mmd_rbf,MMD-RBF,30,10.305116729663375,0.0,1.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.337795808662195,0.0,1.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,8.819598694009473,0.0,1.0,0.1,total
energy_distance,Energy distance,30,9.8125,0.0,2.0,0.0,total
jsd,JSD,30,8.239322916666667,0.0,2.0,0.0,total
ks_max,KS-max,30,9.46171875,0.0,2.0,0.0,total
mmd_rbf,MMD-RBF,30,9.997135416666667,0.0,2.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.9875,0.0,2.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,9.089322916666667,0.0,2.0,0.0,total
energy_distance,Energy distance,30,9.811313605664958,0.0,2.0,0.01,total
jsd,JSD,30,8.238890175299641,0.0,2.0,0.01,total
ks_max,KS-max,30,9.457494568766405,0.0,2.0,0.01,total
mmd_rbf,MMD-RBF,30,9.957933547966338,0.0,2.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.809196247532887,0.0,2.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,8.922350494400947,0.0,2.0,0.01,total
energy_distance,Energy distance,30,9.806568028324788,0.0,2.0,0.05,total
jsd,JSD,30,8.23715920983154,0.0,2.0,0.05,total
ks_max,KS-max,30,9.440597843832025,0.0,2.0,0.05,total
