method,method_label,n_seeds,adversarial_gain_mean,adversarial_readaptations_mean,benign_nuisance_triggers_mean,nodrift_nuisance_triggers_mean,excess_nuisance_triggers_mean,excess_nuisance_triggers_clipped_mean,mean_balanced_accuracy,cumulative_error_area_mean,total_runtime_adv_plus_benign_mean
mmd_rbf,MMD-RBF,30,11.397135416666666,4.1,0.7,0.6333333333333333,0.06666666666666667,0.36666666666666664,0.8799036458333334,12.009635416666667,3.9201868700329214
ks_max,KS-max,30,11.128385416666667,3.466666666666667,0.8333333333333334,0.6,0.23333333333333334,0.5666666666666667,0.8772161458333334,12.278385416666667,0.4224181233594814
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,11.254166666666666,3.2,1.1333333333333333,0.6666666666666666,0.4666666666666667,0.5666666666666667,0.8784739583333334,12.152604166666666,17.830375246711387
energy_distance,Energy distance,30,11.879166666666666,5.266666666666667,1.0333333333333334,0.4,0.6333333333333333,0.7,0.8847239583333334,11.527604166666666,0.11863943350423738
qk_mmd_zz,QK-MMD ZZ,30,11.889322916666666,3.1666666666666665,1.4,0.5333333333333333,0.8666666666666667,0.9,0.8848255208333333,11.517447916666667,16.69724222657193
jsd,JSD,30,11.505989583333333,3.6,1.6333333333333333,0.6,1.0333333333333334,1.1333333333333333,0.8809921875000001,11.90078125,0.043274136702529976
