severity,method,n_seeds,post_balanced_accuracy_mean,degradation_area_mean,adaptation_gain_vs_no_adapt_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,triggered_post_rate,false_alarm_any_rate,trigger_delay_windows_mean
0.1,MMD-RBF,30,0.919140625,0.0239973958333333,0.0019010416666666,0.0666666666666666,0.0010677083333333,0.1,0.0333333333333333,5.666666666666667
0.1,QK-MMD ZZ,30,0.9191145833333334,0.0240234375,0.0018749999999999,0.1,0.0013802083333333,0.1333333333333333,0.0666666666666666,9.5
0.1,QK-MMD PauliXZ,30,0.9187630208333334,0.0243749999999999,0.0015234374999999,0.0666666666666666,0.0010286458333333,0.1,0.0666666666666666,8.666666666666666
0.25,MMD-RBF,30,0.9047395833333332,0.0250911458333333,0.0429947916666666,0.8,0.0437109374999999,0.8333333333333334,0.0,3.68
0.25,QK-MMD ZZ,30,0.884921875,0.0457291666666666,0.0231770833333333,0.4,0.0210677083333333,0.4333333333333333,0.0333333333333333,4.230769230769231
0.25,QK-MMD PauliXZ,30,0.8850651041666667,0.0455859375,0.0233203124999999,0.4,0.0212109374999999,0.4333333333333333,0.0333333333333333,4.153846153846154
0.5,MMD-RBF,30,0.8939973958333333,0.0213802083333333,0.1267057291666666,1.0,0.1267057291666666,1.0,0.0,2.0
0.5,QK-MMD ZZ,30,0.8926822916666667,0.0226953125,0.1253906249999999,0.9666666666666668,0.1212499999999999,1.0,0.0333333333333333,2.1666666666666665
0.5,QK-MMD PauliXZ,30,0.8929296875,0.0224479166666666,0.1256380208333333,0.9666666666666668,0.1214973958333332,1.0,0.0333333333333333,2.1333333333333333
0.75,MMD-RBF,30,0.8720963541666666,0.0353385416666666,0.1973697916666666,0.9666666666666668,0.1907942708333333,1.0,0.0333333333333333,2.0
0.75,QK-MMD ZZ,30,0.8720963541666666,0.0353385416666666,0.1973697916666666,0.9666666666666668,0.1908723958333333,1.0,0.0333333333333333,2.0
0.75,QK-MMD PauliXZ,30,0.8720963541666666,0.0353385416666666,0.1973697916666666,0.9666666666666668,0.1908723958333333,1.0,0.0333333333333333,2.0
1.0,MMD-RBF,30,0.84921875,0.0468880208333333,0.2684114583333333,0.9333333333333332,0.2511197916666666,1.0,0.0666666666666666,2.0
1.0,QK-MMD ZZ,30,0.84921875,0.0468880208333333,0.2684114583333333,0.9666666666666668,0.2596484375,1.0,0.0333333333333333,2.0
1.0,QK-MMD PauliXZ,30,0.84921875,0.0468880208333333,0.2684114583333333,0.9666666666666668,0.2596484375,1.0,0.0333333333333333,2.0
