severity,method,n_seeds,post_balanced_accuracy_mean,post_balanced_accuracy_std,degradation_area_mean,degradation_area_std,adaptation_gain_vs_no_adapt_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,triggered_post_rate,false_alarm_any_rate,trigger_delay_windows_mean,detector_runtime_sec_mean
0.1,No adaptation,30,0.9172395833333332,0.024723333857392,0.0258984375,0.0058473745645564,0.0,0.0,0.0,0.0,0.0,,0.0
0.1,MMD-RBF,30,0.919140625,0.0260738845246078,0.0239973958333333,0.0076282718956729,0.0019010416666666,0.0666666666666666,0.0010677083333333,0.1,0.0333333333333333,5.666666666666667,0.2471834799895683
0.1,QK-MMD ZZ,30,0.9191145833333334,0.0239855844751954,0.0240234375,0.007270931333066,0.0018749999999999,0.1,0.0013802083333333,0.1333333333333333,0.0666666666666666,9.5,0.7346011366229505
0.1,QK-MMD PauliXZ,30,0.9187630208333334,0.023842911460536,0.0243749999999999,0.0073011535165625,0.0015234374999999,0.0666666666666666,0.0010286458333333,0.1,0.0666666666666666,8.666666666666666,0.7521319933313255
0.1,Oracle adaptation,30,0.9404947916666668,0.0305231563687742,0.0,0.0,0.0232552083333333,0.0,0.0,1.0,0.0,0.0,0.0
0.25,No adaptation,30,0.8617447916666666,0.0228269831553942,0.06890625,0.012913503404491,0.0,0.0,0.0,0.0,0.0,,0.0
0.25,MMD-RBF,30,0.9047395833333332,0.030346713032439,0.0250911458333333,0.0223239611562292,0.0429947916666666,0.8,0.0437109374999999,0.8333333333333334,0.0,3.68,0.2463172366648601
0.25,QK-MMD ZZ,30,0.884921875,0.0377063345117424,0.0457291666666666,0.0274321104145811,0.0231770833333333,0.4,0.0210677083333333,0.4333333333333333,0.0333333333333333,4.230769230769231,0.7297402066605476
0.25,QK-MMD PauliXZ,30,0.8850651041666667,0.0378502194319597,0.0455859375,0.0275592168776084,0.0233203124999999,0.4,0.0212109374999999,0.4333333333333333,0.0333333333333333,4.153846153846154,0.7526756400203642
0.25,Oracle adaptation,30,0.9296875,0.0275228891811762,0.0,0.0,0.0679427083333332,0.0,0.0,1.0,0.0,0.0,0.0
0.5,No adaptation,30,0.7672916666666667,0.0209410212931444,0.1480859375,0.009396499010932,0.0,0.0,0.0,0.0,0.0,,0.0
0.5,MMD-RBF,30,0.8939973958333333,0.0216167024282331,0.0213802083333333,0.0025970628683928,0.1267057291666666,1.0,0.1267057291666666,1.0,0.0,2.0,0.2452287399908527
0.5,QK-MMD ZZ,30,0.8926822916666667,0.0230953230667482,0.0226953125,0.0057458927979026,0.1253906249999999,0.9666666666666668,0.1212499999999999,1.0,0.0333333333333333,2.1666666666666665,0.7267066199875747
0.5,QK-MMD PauliXZ,30,0.8929296875,0.0223335440392271,0.0224479166666666,0.0057159469018941,0.1256380208333333,0.9666666666666668,0.1214973958333332,1.0,0.0333333333333333,2.1333333333333333,0.7520464266727989
0.5,Oracle adaptation,30,0.9153776041666668,0.0219090049285234,0.0,0.0,0.1480859374999999,0.0,0.0,1.0,0.0,0.0,0.0
0.75,No adaptation,30,0.6747265625,0.021850488017654,0.2327083333333333,0.0129709623251494,0.0,0.0,0.0,0.0,0.0,,0.0
0.75,MMD-RBF,30,0.8720963541666666,0.0189667017137328,0.0353385416666666,0.0035797453259162,0.1973697916666666,0.9666666666666668,0.1907942708333333,1.0,0.0333333333333333,2.0,0.2388287366523096
0.75,QK-MMD ZZ,30,0.8720963541666666,0.0189667017137328,0.0353385416666666,0.0035797453259162,0.1973697916666666,0.9666666666666668,0.1908723958333333,1.0,0.0333333333333333,2.0,0.7312918066551598
0.75,QK-MMD PauliXZ,30,0.8720963541666666,0.0189667017137328,0.0353385416666666,0.0035797453259162,0.1973697916666666,0.9666666666666668,0.1908723958333333,1.0,0.0333333333333333,2.0,0.7489290733472445
0.75,Oracle adaptation,30,0.9074348958333334,0.0186849185176981,0.0,0.0,0.2327083333333332,0.0,0.0,1.0,0.0,0.0,0.0
1.0,No adaptation,30,0.5808072916666667,0.0245252550512093,0.3152994791666667,0.020109982685526,0.0,0.0,0.0,0.0,0.0,,0.0
1.0,MMD-RBF,30,0.84921875,0.0194193995582403,0.0468880208333333,0.0044732409826767,0.2684114583333333,0.9333333333333332,0.2511197916666666,1.0,0.0666666666666666,2.0,0.2364559366600587
1.0,QK-MMD ZZ,30,0.84921875,0.0194193995582403,0.0468880208333333,0.0044732409826767,0.2684114583333333,0.9666666666666668,0.2596484375,1.0,0.0333333333333333,2.0,0.7349165899911896
1.0,QK-MMD PauliXZ,30,0.84921875,0.0194193995582403,0.0468880208333333,0.0044732409826767,0.2684114583333333,0.9666666666666668,0.2596484375,1.0,0.0333333333333333,2.0,0.7558541200007312
1.0,Oracle adaptation,30,0.8961067708333333,0.0204329782855712,0.0,0.0,0.3152994791666667,0.0,0.0,1.0,0.0,0.0,0.0
