severity,method,n_seeds,post_balanced_accuracy_mean,degradation_area_mean,adaptation_gain_vs_no_adapt_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,triggered_post_rate,false_alarm_any_rate,trigger_delay_windows_mean
0.1,QK-MMD ZZ,30,0.9191145833333334,0.0240234375,0.0018749999999999,0.1,0.0013802083333333,0.1333333333333333,0.0666666666666666,9.5
0.25,MMD-RBF,30,0.9047395833333332,0.0250911458333333,0.0429947916666666,0.8,0.0437109374999999,0.8333333333333334,0.0,3.68
0.5,MMD-RBF,30,0.8939973958333333,0.0213802083333333,0.1267057291666666,1.0,0.1267057291666666,1.0,0.0,2.0
0.75,QK-MMD ZZ,30,0.8720963541666666,0.0353385416666666,0.1973697916666666,0.9666666666666668,0.1908723958333333,1.0,0.0333333333333333,2.0
1.0,QK-MMD ZZ,30,0.84921875,0.0468880208333333,0.2684114583333333,0.9666666666666668,0.2596484375,1.0,0.0333333333333333,2.0
