experiment_block,severity,strategy_a,strategy_b,method_a,method_b,metric,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,prob_diff_gt_0,interpretation
downstream_global,0.25,no_adaptation,mmd_rbf_triggered_adaptation,No adaptation,MMD-RBF,degradation_area,30,0.04381510416666667,0.03526009114583334,0.05188802083333333,0.8333333333333334,"Positive means no_adaptation has larger degradation area, so adaptation reduces degradation."
downstream_global,0.25,no_adaptation,qk_mmd_zz_triggered_adaptation,No adaptation,QK-MMD ZZ,degradation_area,30,0.02317708333333333,0.013750000000000002,0.033047200520833334,0.43333333333333335,"Positive means no_adaptation has larger degradation area, so adaptation reduces degradation."
downstream_global,0.25,no_adaptation,qk_mmd_pauli_xz_triggered_adaptation,No adaptation,QK-MMD PauliXZ,degradation_area,30,0.0233203125,0.013710611979166664,0.03313834635416666,0.43333333333333335,"Positive means no_adaptation has larger degradation area, so adaptation reduces degradation."
downstream_global,1.0,no_adaptation,mmd_rbf_triggered_adaptation,No adaptation,MMD-RBF,degradation_area,30,0.2684114583333334,0.2635807291666667,0.2748307291666667,1.0,"Positive means no_adaptation has larger degradation area, so adaptation reduces degradation."
downstream_global,1.0,no_adaptation,qk_mmd_zz_triggered_adaptation,No adaptation,QK-MMD ZZ,degradation_area,30,0.2684114583333334,0.26363248697916664,0.2748577473958334,1.0,"Positive means no_adaptation has larger degradation area, so adaptation reduces degradation."
downstream_global,1.0,no_adaptation,qk_mmd_pauli_xz_triggered_adaptation,No adaptation,QK-MMD PauliXZ,degradation_area,30,0.2684114583333334,0.2634368489583333,0.27515625000000005,1.0,"Positive means no_adaptation has larger degradation area, so adaptation reduces degradation."
downstream_global,0.25,mmd_rbf_triggered_adaptation,qk_mmd_pauli_xz_triggered_adaptation,MMD-RBF,QK-MMD PauliXZ,clean_adaptation_gain,30,0.02249999999999998,0.013098632812499992,0.03182324218749998,0.6333333333333333,Positive means MMD-RBF has higher clean gain than QK-MMD PauliXZ.
downstream_global,0.25,mmd_rbf_triggered_adaptation,qk_mmd_zz_triggered_adaptation,MMD-RBF,QK-MMD ZZ,clean_adaptation_gain,30,0.02264322916666665,0.012707356770833305,0.03209667968749997,0.6333333333333333,Positive means MMD-RBF has higher clean gain than QK-MMD ZZ.
downstream_global,1.0,qk_mmd_pauli_xz_triggered_adaptation,mmd_rbf_triggered_adaptation,QK-MMD PauliXZ,MMD-RBF,clean_adaptation_gain,30,0.008528645833333338,-0.017760416666666657,0.034817708333333336,0.06666666666666667,Positive means QK-MMD PauliXZ has higher clean gain than MMD-RBF.
downstream_global,1.0,qk_mmd_zz_triggered_adaptation,mmd_rbf_triggered_adaptation,QK-MMD ZZ,MMD-RBF,clean_adaptation_gain,30,0.008528645833333338,-0.017760416666666657,0.03505208333333333,0.06666666666666667,Positive means QK-MMD ZZ has higher clean gain than MMD-RBF.
hybrid_selected,0.25,hybrid_or_triggered_adaptation,mmd_rbf_triggered_adaptation,Hybrid OR,MMD-RBF,clean_adaptation_gain,30,0.0016145833333333364,-0.001107096354166657,0.005208658854166662,0.16666666666666666,Positive means Hybrid OR has higher clean gain than MMD-RBF.
hybrid_selected,1.0,qk_mmd_pauli_xz_triggered_adaptation,hybrid_or_triggered_adaptation,QK-MMD PauliXZ,Hybrid OR,clean_adaptation_gain,30,0.026106770833333334,0.0,0.0602734375,0.1,Positive means QK-MMD PauliXZ has higher clean gain than Hybrid OR.
