experiment_block,severity,strategy,method,metric,n,mean,std,ci95_low,ci95_high
downstream_global,0.1,mmd_rbf_triggered_adaptation,MMD-RBF,post_balanced_accuracy_mean,30,0.919140625,0.02607388452460788,0.9087887369791667,0.9270706380208333
downstream_global,0.1,no_adaptation,No adaptation,post_balanced_accuracy_mean,30,0.9172395833333333,0.024723333857392015,0.9076689453125,0.9245312499999999
downstream_global,0.1,oracle_adaptation,Oracle adaptation,post_balanced_accuracy_mean,30,0.9404947916666668,0.030523156368774243,0.9289189453125002,0.9500133463541667
downstream_global,0.1,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,post_balanced_accuracy_mean,30,0.9187630208333333,0.02384291146053603,0.9095960286458334,0.9258987630208334
downstream_global,0.1,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,post_balanced_accuracy_mean,30,0.9191145833333334,0.023985584475195484,0.9095960286458331,0.926328125
downstream_global,0.25,mmd_rbf_triggered_adaptation,MMD-RBF,post_balanced_accuracy_mean,30,0.9047395833333333,0.030346713032439014,0.8936972656250002,0.9145846354166665
downstream_global,0.25,no_adaptation,No adaptation,post_balanced_accuracy_mean,30,0.8617447916666667,0.022826983155394234,0.8528906250000001,0.8686591796875002
downstream_global,0.25,oracle_adaptation,Oracle adaptation,post_balanced_accuracy_mean,30,0.9296874999999999,0.027522889181176263,0.9191015625,0.9383867187500001
downstream_global,0.25,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,post_balanced_accuracy_mean,30,0.8850651041666667,0.037850219431959736,0.8710660807291666,0.8982167968750001
downstream_global,0.25,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,post_balanced_accuracy_mean,30,0.884921875,0.03770633451174248,0.8708971354166666,0.8978515624999998
downstream_global,0.5,mmd_rbf_triggered_adaptation,MMD-RBF,post_balanced_accuracy_mean,30,0.8939973958333333,0.021616702428233117,0.8855208333333332,0.9005735677083333
downstream_global,0.5,no_adaptation,No adaptation,post_balanced_accuracy_mean,30,0.7672916666666666,0.02094102129314443,0.7592705078125,0.7736848958333333
downstream_global,0.5,oracle_adaptation,Oracle adaptation,post_balanced_accuracy_mean,30,0.9153776041666666,0.021909004928523435,0.906705078125,0.9220052083333333
downstream_global,0.5,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,post_balanced_accuracy_mean,30,0.8929296875,0.022333544039227212,0.8843222656249999,0.8999873046875
downstream_global,0.5,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,post_balanced_accuracy_mean,30,0.8926822916666666,0.02309532306674819,0.8842047526041666,0.8997399088541667
downstream_global,0.75,mmd_rbf_triggered_adaptation,MMD-RBF,post_balanced_accuracy_mean,30,0.8720963541666666,0.018966701713732905,0.8648567708333332,0.8780078124999999
downstream_global,0.75,no_adaptation,No adaptation,post_balanced_accuracy_mean,30,0.6747265624999998,0.02185048801765409,0.6664449869791668,0.6816018880208334
downstream_global,0.75,oracle_adaptation,Oracle adaptation,post_balanced_accuracy_mean,30,0.9074348958333333,0.018684918517698195,0.9001298828125001,0.9131380208333332
downstream_global,0.75,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,post_balanced_accuracy_mean,30,0.8720963541666666,0.018966701713732905,0.8645699869791669,0.8778515625
downstream_global,0.75,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,post_balanced_accuracy_mean,30,0.8720963541666666,0.018966701713732905,0.8644915364583332,0.8780081380208333
downstream_global,1.0,mmd_rbf_triggered_adaptation,MMD-RBF,post_balanced_accuracy_mean,30,0.8492187500000001,0.019419399558240364,0.8414576822916666,0.8553125
downstream_global,1.0,no_adaptation,No adaptation,post_balanced_accuracy_mean,30,0.5808072916666667,0.024525255051209303,0.5713789062500001,0.5884248046874999
downstream_global,1.0,oracle_adaptation,Oracle adaptation,post_balanced_accuracy_mean,30,0.8961067708333333,0.020432978285571207,0.8882027994791668,0.9025520833333334
downstream_global,1.0,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,post_balanced_accuracy_mean,30,0.8492187500000001,0.019419399558240364,0.8417965494791669,0.8552477213541667
downstream_global,1.0,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,post_balanced_accuracy_mean,30,0.8492187500000001,0.019419399558240364,0.8418098958333334,0.8554820963541665
downstream_global,0.1,mmd_rbf_triggered_adaptation,MMD-RBF,degradation_area,30,0.023997395833333327,0.00762827189567296,0.02108040364583333,0.0264453125
downstream_global,0.1,no_adaptation,No adaptation,degradation_area,30,0.025898437499999996,0.005847374564556472,0.023541341145833335,0.027682291666666668
downstream_global,0.1,oracle_adaptation,Oracle adaptation,degradation_area,30,0.0,0.0,0.0,0.0
downstream_global,0.1,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,degradation_area,30,0.024374999999999997,0.007301153516562557,0.021549479166666663,0.026666666666666665
downstream_global,0.1,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,degradation_area,30,0.024023437499999998,0.00727093133306605,0.02134114583333334,0.026341145833333333
downstream_global,0.25,mmd_rbf_triggered_adaptation,MMD-RBF,degradation_area,30,0.025091145833333335,0.022323961156229224,0.0177861328125,0.03307291666666666
downstream_global,0.25,no_adaptation,No adaptation,degradation_area,30,0.06890625,0.012913503404491043,0.06368457031250001,0.07244791666666668
downstream_global,0.25,oracle_adaptation,Oracle adaptation,degradation_area,30,0.0,0.0,0.0,0.0
downstream_global,0.25,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,degradation_area,30,0.04558593749999999,0.02755921687760845,0.036080078125000005,0.05516959635416667
