scenario,policy,transformer_policy,arm,seed,ba,attack_f1,attack_recall,fpr,triggers,candidates_trained,commits,rejects,labels_total,labels_probe,labels_candidate,n_resolved_proposals,n_commits_logged,mean_delta_res1,harmful_commits_h1,censored_h1,mean_delta_res3,harmful_commits_h3,censored_h3,mean_delta_res5,harmful_commits_h5,censored_h5,mean_delta_res10,harmful_commits_h10,censored_h10
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3003,0.9403125,0.941649700291178,0.96671875,0.08609375,4,4,4,0,0,0,4096,4.0,4.0,0.02734375,1.0,0.0,0.024739583333333325,1.0,0.0,0.02304687499999995,1.0,0.0,0.020703124999999975,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3004,0.845078125,0.8816773923138908,0.9775,0.28734375,2,2,2,0,0,0,2048,2.0,2.0,0.03125,1.0,0.0,0.05729166666666671,1.0,0.0,0.05624999999999994,1.0,0.0,0.048437499999999994,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3005,0.940234375,0.9429950995036062,0.98296875,0.1025,4,4,4,0,0,0,4096,4.0,4.0,0.017578125,1.0,0.0,0.011067708333333325,1.0,0.0,0.0125,1.0,0.0,0.012239583333333333,1.0,1.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3006,0.940234375,0.9436004810036639,0.9896875,0.10921875,4,4,4,0,0,0,4096,4.0,4.0,0.00390625,1.0,0.0,0.011284722222222198,2.0,1.0,0.006249999999999999,2.0,1.0,0.0013020833333333658,2.0,1.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3007,0.94546875,0.9471194258883938,0.97609375,0.08515625,4,4,4,0,0,0,4096,4.0,4.0,0.01953125,1.0,0.0,0.014973958333333325,2.0,0.0,0.018749999999999975,1.0,0.0,0.021679687499999947,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3008,0.9471875,0.9493361449520922,0.9853125,0.0909375,3,3,3,0,0,0,3072,3.0,3.0,0.0078125,1.0,0.0,2.8912057932946783e-19,1.0,0.0,-0.0010416666666666664,1.0,0.0,-0.002343749999999966,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3009,0.950390625,0.9520896223146971,0.980625,0.07984375,4,4,4,0,0,0,4096,4.0,4.0,0.005859375,2.0,0.0,0.011067708333333325,1.0,0.0,0.012890624999999975,2.0,0.0,0.017187499999999974,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3010,0.954375,0.9558408852510629,0.98359375,0.07484375,4,4,4,0,0,0,4096,4.0,4.0,-0.009765625,2.0,0.0,-0.00846354166666665,2.0,0.0,-0.008593750000000025,2.0,0.0,-0.0072265625,2.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3011,0.94109375,0.9443303113549475,0.99359375,0.11140625,2,2,2,0,0,0,2048,2.0,2.0,-0.0234375,1.0,0.0,-0.015624999999999948,1.0,0.0,-0.01406249999999995,1.0,0.0,-0.00664062500000005,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3012,0.945078125,0.9468931753535361,0.9759375,0.08578125,4,4,4,0,0,0,4096,4.0,4.0,0.005859375,2.0,0.0,0.018229166666666675,1.0,0.0,0.0229166666666667,1.0,1.0,0.026302083333333337,1.0,1.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3013,0.93640625,0.9389787991150605,0.97234375,0.09953125,4,4,4,0,0,0,4096,4.0,4.0,0.0,2.0,0.0,0.00325520833333335,2.0,0.0,0.004296874999999974,2.0,0.0,0.0068359375,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3014,0.948671875,0.9508210636027148,0.9859375,0.08859375,4,4,4,0,0,0,4096,4.0,4.0,-0.00390625,3.0,0.0,-0.0013020833333332975,3.0,0.0,0.0035156250000000257,3.0,0.0,0.0025390625000000257,3.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3015,0.9515625,0.9536270015714012,0.99046875,0.08734375,3,3,3,0,0,0,3072,3.0,3.0,0.010416666666666666,1.0,0.0,-0.0017361111111111,2.0,0.0,-0.0015624999999999667,2.0,0.0,-0.0018229166666666335,3.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3016,0.936328125,0.9404291035057138,0.990625,0.11796875,4,4,4,0,0,0,4096,4.0,4.0,0.013671875,1.0,0.0,0.0104166666666666,1.0,0.0,0.00859375,1.0,0.0,0.00625,2.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3017,0.9390625,0.9400404971664154,0.96328125,0.08515625,3,3,3,0,0,0,3072,3.0,3.0,0.020833333333333332,1.0,0.0,0.026909722222222168,1.0,0.0,0.027083333333333303,1.0,0.0,0.03385416666666663,0.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3018,0.940546875,0.9438276231126251,0.99015625,0.1090625,3,3,3,0,0,0,3072,3.0,3.0,0.0078125,1.0,0.0,0.0034722222222221995,1.0,0.0,0.0067708333333333,1.0,0.0,0.007552083333333334,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3019,0.92859375,0.9326623085525771,0.9809375,0.12375,3,3,3,0,0,0,3072,3.0,3.0,0.0026041666666666665,0.0,0.0,0.0034722222222222,1.0,0.0,0.004687500000000034,1.0,0.0,0.008593749999999968,0.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3020,0.941796875,0.9433576222440905,0.97203125,0.0884375,3,3,3,0,0,0,3072,3.0,3.0,0.03125,0.0,0.0,0.030381944444444434,0.0,0.0,0.03281249999999993,0.0,0.0,0.0325520833333333,0.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3021,0.944140625,0.9464242816286034,0.98140625,0.093125,3,3,3,0,0,0,3072,3.0,3.0,0.033854166666666664,0.0,0.0,0.0234375,0.0,0.0,0.028645833333333297,1.0,0.0,0.033854166666666706,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3022,0.9425,0.9453663394411507,0.988125,0.103125,4,4,4,0,0,0,4096,4.0,4.0,0.013671875,0.0,0.0,0.016927083333333277,0.0,0.0,0.01367187499999995,0.0,0.0,0.0146484375,0.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3023,0.9496875,0.9523831276810452,0.99234375,0.09296875,3,3,3,0,0,0,3072,3.0,3.0,0.010416666666666666,1.0,0.0,0.0069444444444444016,1.0,0.0,0.0057291666666666,1.0,0.0,0.007291666666666666,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3024,0.95515625,0.9570247639635712,0.9934375,0.083125,3,3,3,0,0,0,3072,3.0,3.0,-0.0026041666666666665,1.0,0.0,0.0017361111111111,1.0,0.0,0.0010416666666666667,1.0,0.0,-0.00026041666666669984,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3025,0.953984375,0.9559122762880479,0.990625,0.08265625,3,3,3,0,0,0,3072,3.0,3.0,-0.0026041666666666665,1.0,0.0,-0.003472222222222233,1.0,0.0,-0.007812499999999966,3.0,0.0,-0.0036458333333332666,2.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3026,0.9046875,0.912574405956815,0.97828125,0.16890625,4,4,4,0,0,0,4096,4.0,4.0,0.01171875,1.0,0.0,0.00651041666666665,1.0,0.0,0.005859374999999976,1.0,0.0,0.006640625000000001,1.0,0.0
