scenario,policy,transformer_policy,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,candidates_mean,commits_mean,rejects_mean,labels_probe_mean,labels_candidate_mean
ps_full,naive,frozen_initial_transformer,0.9374687500000001,0.021707492508522108,0.9815677083333333,0.10663020833333332,0.9414009128476148,3.4,3.4,3.4,0.0,0.0,3481.6
ps_full,naive,own_transformer_per_model,0.9464947916666666,0.004970139711135285,0.9751770833333333,0.08218750000000001,0.948410540746981,3.4,3.4,3.4,0.0,0.0,3481.6
ps_full,never,n/a,0.8743723958333334,0.0671364126497496,,,0.8587480327168957,0.0,0.0,0.0,0.0,0.0,0.0
ps_full,point,frozen_initial_transformer,0.940796875,0.013438508632955398,0.981046875,0.09945312499999999,0.9435016936880438,3.933333333333333,3.933333333333333,3.033333333333333,0.9,125.86666666666666,4027.733333333333
ps_full,point,own_transformer_per_model,0.9484166666666667,0.0068642442968270415,0.9784322916666667,0.08159895833333333,0.9503307637747661,4.066666666666666,4.066666666666666,2.6333333333333333,1.4333333333333333,130.13333333333333,4164.266666666666
ps_full,strict,frozen_initial_transformer,0.94103125,0.012085556037518173,0.9762291666666667,0.09416666666666668,0.943188300515276,5.066666666666666,5.066666666666666,2.033333333333333,3.033333333333333,162.13333333333333,5188.266666666666
ps_full,strict,own_transformer_per_model,0.9469869791666666,0.01119258207518657,0.9773541666666666,0.08338020833333333,0.9488500495291573,4.966666666666667,4.966666666666667,2.066666666666667,2.9,158.93333333333334,5085.866666666667
ps_zero,naive,frozen_initial_transformer,0.9134479166666666,0.05128891932090169,0.9926927083333333,0.16579687499999998,0.9241660443793973,3.466666666666667,3.466666666666667,3.466666666666667,0.0,0.0,3549.866666666667
ps_zero,naive,own_transformer_per_model,0.9370104166666666,0.008897264006298372,0.99709375,0.12307291666666667,0.9411888641751813,3.466666666666667,3.466666666666667,3.466666666666667,0.0,0.0,3549.866666666667
ps_zero,never,n/a,0.9543958333333333,0.020040242016075047,,,0.9568522234174534,0.0,0.0,0.0,0.0,0.0,0.0
