regime,regime_label,noadapt_ba,best_overall_policy,best_overall_method,best_overall_ba,best_overall_gain,best_overall_adaptations,best_safe_policy,best_safe_method,best_safe_ba,best_safe_gain,best_safe_adaptations,best_safe_delta_ba_vs_legacy,best_safe_delta_gain_vs_legacy,best_safe_adaptation_reduction_vs_legacy,best_safe_gain_retention_vs_legacy,best_safe_harm_avoided_vs_legacy
cicids_portscan,CICIDS2017 PortScan,0.89178125,k2_of_3_cooldown0,qk_mmd_zz,0.9424765625,5.06953125,5.8,k2_of_3_cooldown0,qk_mmd_zz,0.9424765625,5.06953125,5.8,0.002773437500000031,0.27734375,-1.7999999999999998,1.05787414411477,
ton_iot_scanning,ToN-IoT Scanning,0.920125,legacy_consecutive3_cooldown10,no_adaptation,0.920125,0.0,0.0,k3_of_5_cooldown0,qk_mmd_zz,0.8854218750000001,-3.4703125,3.4,-0.0018906249999998126,-0.1890624999999999,-0.3999999999999999,,-0.1890624999999999
unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,0.8460234375000001,legacy_consecutive3_cooldown10,qk_mmd_zz,0.8494609375,0.34375,2.7,k3_of_5_cooldown0,qk_mmd_zz,0.8493046874999999,0.328125,3.1,-0.00015625000000007994,-0.015625,-0.3999999999999999,0.9545454545454546,
