policy_name,adaptation_policy,policy_k,policy_n,cooldown_windows,method,n_seeds,mean_balanced_accuracy,std_balanced_accuracy,cumulative_error_area_mean,cumulative_error_area_std,mean_gain_vs_no_adapt,cumulative_gain_vs_no_adapt_mean,n_adaptations_mean,false_adaptations_mean,first_adaptation_window_mean,alarm_rate_mean,trigger_rate_mean,detector_runtime_sec_total_mean,fit_runtime_sec_total_mean,regime,regime_label,policy_dir,summary_path,policy_rank,method_rank
k2_of_3_cooldown3,k_of_n,2,3,3,ks_max,10,0.9413359375,0.01156880048405,5.86640625,1.156880048405006,0.0495546875,4.95546875,4.4,0.0,18.0,0.149,0.044,0.265046299691312,0.0326625298708677,cicids_portscan,CICIDS2017 PortScan,k2_of_3_cooldown3,results\raw\paper2_safe_readaptation_phase1_001\cicids_portscan\k2_of_3_cooldown3\paper2_progressive_readaptation_summary.csv,3,1
k2_of_3_cooldown3,k_of_n,2,3,3,qk_mmd_zz,10,0.9423359375,0.0115329865684638,5.76640625,1.153298656846387,0.0505546875,5.05546875,5.9,0.1,15.5,0.1709999999999999,0.059,7.095956110605039,0.0417420599609613,cicids_portscan,CICIDS2017 PortScan,k2_of_3_cooldown3,results\raw\paper2_safe_readaptation_phase1_001\cicids_portscan\k2_of_3_cooldown3\paper2_progressive_readaptation_summary.csv,3,2
k3_of_5_cooldown5,k_of_n,3,5,5,no_adaptation,10,0.89178125,0.0600069824676968,10.821875,6.000698246769681,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,cicids_portscan,CICIDS2017 PortScan,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\cicids_portscan\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,0
k3_of_5_cooldown5,k_of_n,3,5,5,ks_max,10,0.9240703125,0.0419843754845862,7.59296875,4.198437548458627,0.0322890625,3.22890625,4.1,0.0,22.1,0.209,0.041,0.2593851297162473,0.0298325899755582,cicids_portscan,CICIDS2017 PortScan,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\cicids_portscan\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,1
k3_of_5_cooldown5,k_of_n,3,5,5,qk_mmd_zz,10,0.9329765625,0.0292097999977253,6.70234375,2.920979999772539,0.0411953125,4.11953125,4.8,0.0,18.8,0.209,0.048,6.861333660036325,0.0358179400907829,cicids_portscan,CICIDS2017 PortScan,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\cicids_portscan\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,2
legacy_consecutive3_cooldown10,consecutive,3,3,10,no_adaptation,10,0.920125,0.0051593004444777,7.9875,0.5159300444477807,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,ton_iot_scanning,ToN-IoT Scanning,legacy_consecutive3_cooldown10,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\legacy_consecutive3_cooldown10\paper2_progressive_readaptation_summary.csv,0,0
legacy_consecutive3_cooldown10,consecutive,3,3,10,ks_max,10,0.8781718749999999,0.0830025596785692,12.1828125,8.300255967856922,-0.041953125,-4.1953125,2.5,0.0,32.7,0.208,0.025,0.2426205193158239,0.0237082499777898,ton_iot_scanning,ToN-IoT Scanning,legacy_consecutive3_cooldown10,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\legacy_consecutive3_cooldown10\paper2_progressive_readaptation_summary.csv,0,1
legacy_consecutive3_cooldown10,consecutive,3,3,10,qk_mmd_zz,10,0.8873125,0.0596631485738312,11.26875,5.96631485738312,-0.0328125,-3.28125,3.0,0.0,29.8,0.238,0.03,7.130007220059634,0.0287732999771833,ton_iot_scanning,ToN-IoT Scanning,legacy_consecutive3_cooldown10,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\legacy_consecutive3_cooldown10\paper2_progressive_readaptation_summary.csv,0,2
k2_of_3_cooldown0,k_of_n,2,3,0,no_adaptation,10,0.920125,0.0051593004444777,7.9875,0.5159300444477807,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,ton_iot_scanning,ToN-IoT Scanning,k2_of_3_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k2_of_3_cooldown0\paper2_progressive_readaptation_summary.csv,1,0
k2_of_3_cooldown0,k_of_n,2,3,0,ks_max,10,0.8682734375000001,0.0456318584611554,13.17265625,4.563185846115544,-0.0518515625,-5.18515625,3.7,0.2,21.8,0.15,0.037,0.2410292903194204,0.0363223499851301,ton_iot_scanning,ToN-IoT Scanning,k2_of_3_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k2_of_3_cooldown0\paper2_progressive_readaptation_summary.csv,1,1
k2_of_3_cooldown0,k_of_n,2,3,0,qk_mmd_zz,10,0.874,0.0616979109509536,12.6,6.1697910950953645,-0.046125,-4.6125,4.4,0.2,20.2,0.143,0.044,7.322449430101551,0.0445181099697947,ton_iot_scanning,ToN-IoT Scanning,k2_of_3_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k2_of_3_cooldown0\paper2_progressive_readaptation_summary.csv,1,2
k3_of_5_cooldown0,k_of_n,3,5,0,no_adaptation,10,0.920125,0.0051593004444777,7.9875,0.5159300444477807,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,ton_iot_scanning,ToN-IoT Scanning,k3_of_5_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k3_of_5_cooldown0\paper2_progressive_readaptation_summary.csv,2,0
