regime,arm,gain_pts,fullreplace_naive_gain
portscan,replay_naive,6.593,7.79
portscan,replay_lp32,8.255,7.79
unsw_recon,replay_naive,0.162,0.917
unsw_recon,replay_lp32,0.275,0.917
ton_scanning,replay_naive,-4.54,-1.362
ton_scanning,replay_lp32,0.585,-1.362
