scenario,policy,candidate_size,d_recall_vs_naive_pp,recall_onesided_lo95,d_fpr_vs_naive_pp,fpr_onesided_hi95,recall_NI_principal,fpr_NI_principal
ps_full,point,2000,0.0286,-0.0026,0.0448,0.0896,True,True
ps_full,strict,2000,0.0562,-0.2156,0.2375,0.3505,True,True
ps_full,atc,2000,-2.7125,-4.5844,0.3745,0.5286,False,False
ps_full,doc,2000,-4.3078,-6.5,0.5344,0.6859,False,False
ps_full,enscal,2000,-1.0115,-1.9104,-0.1526,-0.0271,False,True
ps_full,replay,2000,1.1203,0.8365,1.5375,1.7234,True,False
ps_full,ddm,2000,1.5589,0.6833,1.2661,1.6396,True,False
ps_full,adwin,2000,-12.9385,-15.6432,1.7172,2.1604,False,False
ps_full,point,512,-0.1073,-0.3307,-0.0885,0.087,True,True
ps_full,strict,512,-0.0161,-0.2745,0.1,0.3391,True,True
ps_full,atc,512,-3.8016,-5.7802,0.3083,0.5828,False,False
ps_full,doc,512,-6.8391,-8.8646,-0.1167,0.188,False,True
ps_full,enscal,512,-2.3182,-3.4188,-0.8661,-0.6359,False,True
unsw_full,point,2000,0.0224,-0.0292,0.238,0.4464,True,True
unsw_full,strict,2000,0.1172,0.0177,0.7047,1.212,True,False
unsw_full,atc,2000,0.1474,0.0349,0.7661,1.2568,True,False
unsw_full,doc,2000,0.3276,0.1792,1.9896,2.576,True,False
unsw_full,enscal,2000,-0.2703,-0.3453,1.0599,1.3292,True,False
unsw_full,replay,2000,0.5911,0.5062,5.6047,6.0568,True,False
unsw_full,ddm,2000,0.6219,0.4234,6.4943,7.5208,True,False
unsw_full,adwin,2000,0.8682,0.6755,8.6859,9.2948,True,False
unsw_full,point,512,0.0359,-0.0479,0.1714,0.474,True,True
unsw_full,strict,512,0.1203,-0.001,0.4115,0.9422,True,False
unsw_full,atc,512,0.1141,0.0021,0.3708,0.9411,True,False
unsw_full,doc,512,0.2297,0.0693,1.9411,2.7437,True,False
unsw_full,enscal,512,-0.4406,-0.5432,-0.7693,-0.4839,True,True
ton_full,point,2000,-0.0031,-0.0125,0.2365,0.5812,True,False
ton_full,strict,2000,-0.0135,-0.0844,-0.1609,0.3609,True,True
ton_full,atc,2000,0.0141,-0.013,0.4448,0.8026,True,False
ton_full,doc,2000,0.0167,-0.0042,0.3583,0.7036,True,False
ton_full,enscal,2000,0.2047,0.1651,0.3401,0.587,True,False
ton_full,replay,2000,0.0026,-0.0609,0.5734,0.9307,True,False
ton_full,ddm,2000,0.3703,-0.1141,0.0234,0.774,True,False
ton_full,adwin,2000,-5.9047,-9.6099,0.137,0.6583,False,False
ton_full,point,512,0.0135,-0.049,-0.2432,-0.0458,True,True
ton_full,strict,512,-0.1505,-0.4953,-1.0807,-0.4906,True,True
ton_full,atc,512,0.0266,0.0094,0.1198,0.4151,True,True
ton_full,doc,512,0.0255,0.0068,-0.0578,0.3505,True,True
ton_full,enscal,512,0.2208,0.1667,-0.0625,0.2437,True,True
ps_zero,point,2000,-0.1974,-0.3969,-0.2839,-0.0922,True,True
ps_zero,strict,2000,0.6375,-0.2797,-0.1047,0.5224,True,False
ps_zero,atc,2000,-0.449,-0.8427,-0.3427,-0.1026,True,True
ps_zero,doc,2000,-0.5802,-0.9323,-0.4349,-0.1932,True,True
ps_zero,enscal,2000,-0.7349,-1.1047,-2.1849,-1.925,False,True
ps_zero,replay,2000,0.0656,-0.3802,0.224,0.751,True,False
ps_zero,ddm,2000,0.1047,-0.537,-0.1328,0.3089,True,True
ps_zero,adwin,2000,0.5219,-0.4599,-0.0839,0.5771,True,False
ps_zero,point,512,0.3078,-0.1688,-0.9161,-0.5578,True,True
ps_zero,strict,512,-0.05,-0.8385,-1.6365,-0.8135,True,True
ps_zero,atc,512,-0.4599,-1.0089,-1.5906,-1.2031,False,True
ps_zero,doc,512,0.0156,-0.8078,-1.8828,-1.4807,True,True
ps_zero,enscal,512,-0.9281,-1.5724,-3.2057,-2.7802,False,True
unsw_zero,point,2000,0.051,-0.012,0.0719,0.2182,True,True
unsw_zero,strict,2000,0.0292,-0.1672,-0.074,0.3099,True,True
unsw_zero,atc,2000,-0.0896,-0.226,-0.1187,0.1516,True,True
unsw_zero,doc,2000,-0.1208,-0.2661,-0.2427,0.0542,True,True
unsw_zero,enscal,2000,-1.1583,-1.2635,-2.274,-2.0281,False,True
unsw_zero,replay,2000,-0.1854,-0.3036,-0.4479,-0.1521,True,True
unsw_zero,ddm,2000,-0.0234,-0.2245,-0.087,0.2792,True,True
unsw_zero,adwin,2000,-0.0151,-0.2302,-0.1411,0.2708,True,True
unsw_zero,point,512,-0.0812,-0.1443,-0.3802,0.087,True,True
unsw_zero,strict,512,-0.263,-0.4255,-2.3594,-1.5151,True,True
unsw_zero,atc,512,-0.2161,-0.3698,-2.3323,-1.613,True,True
unsw_zero,doc,512,-0.2281,-0.4151,-2.774,-2.1,True,True
unsw_zero,enscal,512,-1.2224,-1.3286,-4.2859,-3.6245,False,True
ton_zero,point,2000,0.1151,0.0167,0.0234,0.0656,True,True
ton_zero,strict,2000,0.413,0.0057,0.2901,1.0099,True,False
ton_zero,atc,2000,0.5432,0.3427,0.6568,1.1615,True,False
ton_zero,doc,2000,0.6391,0.4193,0.6854,1.1833,True,False
ton_zero,enscal,2000,0.8349,0.5917,0.8552,1.3396,True,False
ton_zero,replay,2000,0.1552,-0.1521,-0.0089,0.7833,True,False
ton_zero,ddm,2000,0.0672,-0.3964,-0.4703,0.4255,True,True
ton_zero,adwin,2000,0.2583,-0.2036,0.263,0.987,True,False
ton_zero,point,512,0.2745,0.0708,0.6021,1.1302,True,False
ton_zero,strict,512,0.4964,0.0344,0.7995,1.6766,True,False
ton_zero,atc,512,0.7656,0.4578,1.3729,2.0859,True,False
ton_zero,doc,512,0.8266,0.5218,1.3635,2.0865,True,False
ton_zero,enscal,512,0.9771,0.7016,1.6969,2.3865,True,False
