scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,note
ps_full,ps_full: naive-2000 vs never,8.6255,6.7961,10.401,7.1034,10.1393,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: point-2000 vs naive-2000 (anchor),-0.0081,-0.0245,0.0036,-0.0211,0.0021,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: strict-2000 vs naive-2000 (anchor),-0.0906,-0.2331,0.0323,-0.2073,0.0143,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: naive-512 vs never,7.8648,6.1396,9.568,6.4143,9.2852,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: point-512 vs naive-512,-0.0094,-0.0487,0.0315,-0.0422,0.0245,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_full,ps_full: strict-512 vs naive-512,-0.0581,-0.1693,0.0635,-0.1523,0.0424,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: naive-2000 vs never,3.9089,3.6211,4.194,3.6656,4.1505,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: point-2000 vs naive-2000 (anchor),-0.1078,-0.2307,-0.0016,-0.2089,-0.0164,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: strict-2000 vs naive-2000 (anchor),-0.2937,-0.5661,-0.0003,-0.5245,-0.0497,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: naive-512 vs never,2.349,2.0245,2.6654,2.0784,2.6135,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: point-512 vs naive-512,-0.0677,-0.2141,0.082,-0.1904,0.0573,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_full,unsw_full: strict-512 vs naive-512,-0.1456,-0.4021,0.1099,-0.362,0.0695,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: naive-2000 vs never,3.1344,1.2651,5.3638,1.5117,4.963,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: point-2000 vs naive-2000 (anchor),-0.1198,-0.326,0.0,-0.2932,-0.0005,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: strict-2000 vs naive-2000 (anchor),0.0737,-0.2503,0.3969,-0.1961,0.3445,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: naive-512 vs never,2.6826,0.7794,4.9154,1.0393,4.5331,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: point-512 vs naive-512,0.1284,0.0151,0.2799,0.0292,0.2505,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_full,ton_full: strict-512 vs naive-512,0.4651,0.1219,0.8034,0.1794,0.7503,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: naive-2000 vs never,-0.3029,-0.8419,0.1443,-0.7466,0.0818,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: point-2000 vs naive-2000 (anchor),0.0432,-0.0745,0.1852,-0.0578,0.1602,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: strict-2000 vs naive-2000 (anchor),0.3711,-0.0552,0.8891,0.0055,0.7977,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: naive-512 vs never,-0.8716,-1.5362,-0.2357,-1.4193,-0.3346,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: point-512 vs naive-512,0.612,0.2323,1.1141,0.2776,1.0159,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: strict-512 vs naive-512,0.7932,0.1641,1.4451,0.2677,1.3357,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: naive-2000 vs never,-0.063,-0.2146,0.0872,-0.1914,0.0635,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: point-2000 vs naive-2000 (anchor),-0.0104,-0.0594,0.0414,-0.0513,0.0328,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: strict-2000 vs naive-2000 (anchor),0.0516,-0.0867,0.1943,-0.0646,0.1711,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: naive-512 vs never,-1.6135,-2.0404,-1.2193,-1.974,-1.2802,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: point-512 vs naive-512,0.1495,-0.0984,0.4526,-0.0638,0.399,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: strict-512 vs naive-512,1.0482,0.5841,1.5536,0.6529,1.4656,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: naive-2000 vs never,0.0023,-0.3531,0.3424,-0.2945,0.2904,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: point-2000 vs naive-2000 (anchor),0.0458,-0.0109,0.1289,-0.0052,0.1138,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: strict-2000 vs naive-2000 (anchor),0.0615,-0.2716,0.4062,-0.2174,0.3469,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: naive-512 vs never,0.2141,-0.175,0.5914,-0.1102,0.5299,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: point-512 vs naive-512,-0.1638,-0.362,-0.0193,-0.324,-0.0346,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: strict-512 vs naive-512,-0.1516,-0.5143,0.2234,-0.4568,0.163,"descriptive by amendment (anchor or secondary cell), uncorrected"
