scenario,policy,candidate_size,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,commits_mean,rejects_mean,labels_probe_mean,labels_monitor_mean,labels_candidate_mean
ps_full,adwin,2000,0.8545104166666667,0.04707725731396319,0.7730833333333333,0.0640625,0.8339147119908817,0.3333333333333333,0.3333333333333333,0.0,0.0,800.0,1333.3333333333333
ps_full,atc,2000,0.9123541666666667,0.03560352884740909,0.8753437500000001,0.05063541666666667,0.9045590812508412,3.7333333333333334,1.7,2.033333333333333,0.0,0.0,14933.333333333334
ps_full,atc,512,0.8996328125,0.039985839178717245,0.858109375,0.05884375,0.8897317483817846,4.066666666666666,1.6333333333333333,2.433333333333333,0.0,0.0,4164.266666666666
ps_full,ddm,2000,0.9292526041666667,0.008479269896105136,0.9180572916666667,0.05955208333333333,0.9272990302470294,1.7333333333333334,1.7333333333333334,0.0,0.0,800.0,6933.333333333333
ps_full,doc,2000,0.9035781249999999,0.04150050470974772,0.859390625,0.052234375000000006,0.8933592988388755,4.366666666666666,1.5,2.8666666666666667,0.0,0.0,17466.666666666668
ps_full,doc,512,0.8865703125,0.04230240751788246,0.827734375,0.054593749999999996,0.87245245630439,4.633333333333334,1.3666666666666667,3.2666666666666666,0.0,0.0,4744.533333333334
ps_full,enscal,2000,0.9234947916666667,0.016208591416406994,0.8923541666666667,0.04536458333333333,0.9185276765141033,2.433333333333333,2.433333333333333,0.0,0.0,0.0,9733.333333333334
ps_full,enscal,512,0.912921875,0.023780204605121095,0.8729427083333333,0.047098958333333336,0.9055526710336645,2.433333333333333,2.433333333333333,0.0,0.0,0.0,2491.733333333333
ps_full,naive,2000,0.9277890625,0.00936217581034587,0.90246875,0.046890625,0.9241051351846004,2.433333333333333,2.433333333333333,0.0,0.0,0.0,9733.333333333334
ps_full,naive,512,0.9201822916666667,0.010876587878691665,0.896125,0.055760416666666666,0.9163299128936621,2.433333333333333,2.433333333333333,0.0,0.0,0.0,2491.733333333333
ps_full,never,n/a,0.8415338541666666,0.055406706602228926,,,0.8171199057599723,0.0,0.0,0.0,0.0,0.0,0.0
ps_full,point,2000,0.9277083333333334,0.009420447790104867,0.9027552083333333,0.047338541666666664,0.9240464840069169,2.533333333333333,2.3333333333333335,0.2,81.06666666666666,0.0,10133.333333333334
ps_full,point,512,0.9200885416666666,0.011042269403821225,0.8950520833333333,0.054875,0.9160834748046419,2.6666666666666665,2.4,0.26666666666666666,85.33333333333333,0.0,2730.6666666666665
ps_full,replay,2000,0.925703125,0.007468222460087955,0.913671875,0.062265625,0.922993293774912,2.433333333333333,2.433333333333333,0.0,0.0,0.0,9733.333333333334
ps_full,strict,2000,0.9268828125,0.009981173979950965,0.90303125,0.049265625,0.9231973216113456,3.6333333333333333,1.8,1.8333333333333333,116.26666666666667,0.0,14533.333333333334
ps_full,strict,512,0.9196015625,0.011535334576731808,0.8959635416666667,0.05676041666666667,0.915671594875404,3.4,1.8,1.6,108.8,0.0,3481.6
ps_zero,adwin,2000,0.8906588541666667,0.015717555656692007,0.8463854166666667,0.06506770833333334,0.8848281851631821,0.0,0.0,0.0,0.0,800.0,0.0
