family,scenario,contrast,effect_pp,p_holm,classification
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: atc-2000 vs naive-2000,-0.0531,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: atc-2000 vs naive-2000,0.0146,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: atc-2000 vs naive-2000,-0.0568,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: atc-2000 vs naive-2000,-1.5435,0.08069919300806992,UNRESOLVED
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: atc-2000 vs naive-2000,-0.3094,0.11671883281167188,UNRESOLVED
PF2 full-drift benefit retention @2000,ton_full,ton_full: atc-2000 vs naive-2000,-0.2154,0.16661833381666186,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: doc-2000 vs naive-2000,-0.0727,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: doc-2000 vs naive-2000,0.0609,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: doc-2000 vs naive-2000,-0.0232,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: doc-2000 vs naive-2000,-2.4211,0.007439925600743993,MATERIAL COST
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: doc-2000 vs naive-2000,-0.831,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: doc-2000 vs naive-2000,-0.1708,0.2933470665293347,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: enscal-2000 vs naive-2000,0.725,0.00017999820001799984,MATERIAL GAIN
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: enscal-2000 vs naive-2000,0.5578,0.00017999820001799984,MATERIAL GAIN
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: enscal-2000 vs naive-2000,-0.0102,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: enscal-2000 vs naive-2000,-0.4294,0.2933470665293347,UNRESOLVED
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: enscal-2000 vs naive-2000,-0.6651,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: enscal-2000 vs naive-2000,-0.0677,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: replay-2000 vs naive-2000,-0.0792,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: replay-2000 vs naive-2000,0.1313,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: replay-2000 vs naive-2000,0.082,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: replay-2000 vs naive-2000,-0.2086,0.14643853561464387,COMPATIBLE
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: replay-2000 vs naive-2000,-2.5068,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: replay-2000 vs naive-2000,-0.2854,0.08069919300806992,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: ddm-2000 vs naive-2000,0.1188,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: ddm-2000 vs naive-2000,0.0318,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: ddm-2000 vs naive-2000,0.2688,1.0,UNRESOLVED
PF2 full-drift benefit retention @2000,ps_full,ps_full: ddm-2000 vs naive-2000,0.1464,1.0,UNRESOLVED
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: ddm-2000 vs naive-2000,-2.9362,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: ddm-2000 vs naive-2000,0.1734,1.0,UNRESOLVED
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: adwin-2000 vs naive-2000,0.3029,1.0,UNRESOLVED
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: adwin-2000 vs naive-2000,0.063,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: adwin-2000 vs naive-2000,-0.0023,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: adwin-2000 vs naive-2000,-7.3279,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: adwin-2000 vs naive-2000,-3.9089,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: adwin-2000 vs naive-2000,-3.0208,0.04047959520404796,MATERIAL COST
PF3 estimators vs point @2000,ps_full,ps_full: atc-2000 vs point-2000,-1.5354,0.08439915600843992,UNRESOLVED
PF3 estimators vs point @2000,unsw_full,unsw_full: atc-2000 vs point-2000,-0.2016,1.0,COMPATIBLE
PF3 estimators vs point @2000,ton_full,ton_full: atc-2000 vs point-2000,-0.0956,0.4371256287437126,COMPATIBLE
PF3 estimators vs point @2000,ps_zero,ps_zero: atc-2000 vs point-2000,-0.0964,1.0,COMPATIBLE
PF3 estimators vs point @2000,unsw_zero,unsw_zero: atc-2000 vs point-2000,0.025,1.0,COMPATIBLE
PF3 estimators vs point @2000,ton_zero,ton_zero: atc-2000 vs point-2000,-0.1026,1.0,COMPATIBLE
PF3 estimators vs point @2000,ps_full,ps_full: doc-2000 vs point-2000,-2.413,0.006709932900670993,MATERIAL COST
PF3 estimators vs point @2000,unsw_full,unsw_full: doc-2000 vs point-2000,-0.7232,0.00011999880001199988,MATERIAL COST
PF3 estimators vs point @2000,ton_full,ton_full: doc-2000 vs point-2000,-0.051,1.0,COMPATIBLE
PF3 estimators vs point @2000,ps_zero,ps_zero: doc-2000 vs point-2000,-0.1159,1.0,COMPATIBLE
PF3 estimators vs point @2000,unsw_zero,unsw_zero: doc-2000 vs point-2000,0.0714,1.0,COMPATIBLE
PF3 estimators vs point @2000,ton_zero,ton_zero: doc-2000 vs point-2000,-0.069,1.0,COMPATIBLE
SF4 512 sensitivity (secondary),ps_full,ps_full: atc-512 vs naive-512,-2.0549,0.007439925600743993,MATERIAL COST
SF4 512 sensitivity (secondary),unsw_full,unsw_full: atc-512 vs naive-512,-0.1284,1.0,COMPATIBLE
SF4 512 sensitivity (secondary),ton_full,ton_full: atc-512 vs naive-512,-0.0466,1.0,COMPATIBLE
SF4 512 sensitivity (secondary),ps_zero,ps_zero: atc-512 vs naive-512,0.5654,0.012429875701242987,MATERIAL GAIN
SF4 512 sensitivity (secondary),unsw_zero,unsw_zero: atc-512 vs naive-512,1.0581,0.00017999820001799984,MATERIAL GAIN
SF4 512 sensitivity (secondary),ton_zero,ton_zero: atc-512 vs naive-512,-0.3036,0.24383756162438375,UNRESOLVED
SF4 512 sensitivity (secondary),ps_full,ps_full: doc-512 vs naive-512,-3.3612,0.00017999820001799984,MATERIAL COST
SF4 512 sensitivity (secondary),unsw_full,unsw_full: doc-512 vs naive-512,-0.8557,0.0005599944000559995,MATERIAL COST
SF4 512 sensitivity (secondary),ton_full,ton_full: doc-512 vs naive-512,0.0417,1.0,COMPATIBLE
SF4 512 sensitivity (secondary),ps_zero,ps_zero: doc-512 vs naive-512,0.9492,0.016099839001609984,MATERIAL GAIN
SF4 512 sensitivity (secondary),unsw_zero,unsw_zero: doc-512 vs naive-512,1.2729,0.00017999820001799984,MATERIAL GAIN
SF4 512 sensitivity (secondary),ton_zero,ton_zero: doc-512 vs naive-512,-0.2685,0.4053959460405396,UNRESOLVED
SF4 512 sensitivity (secondary),ps_full,ps_full: enscal-512 vs naive-512,-0.726,0.15535844641553584,UNRESOLVED
SF4 512 sensitivity (secondary),unsw_full,unsw_full: enscal-512 vs naive-512,0.1643,0.1874581254187458,COMPATIBLE
SF4 512 sensitivity (secondary),ton_full,ton_full: enscal-512 vs naive-512,0.1417,0.4053959460405396,COMPATIBLE
SF4 512 sensitivity (secondary),ps_zero,ps_zero: enscal-512 vs naive-512,1.1388,0.0005599944000559995,MATERIAL GAIN
SF4 512 sensitivity (secondary),unsw_zero,unsw_zero: enscal-512 vs naive-512,1.5318,0.00017999820001799984,MATERIAL GAIN
SF4 512 sensitivity (secondary),ton_zero,ton_zero: enscal-512 vs naive-512,-0.3599,0.14453855461445386,UNRESOLVED
SF5 method x size interaction (secondary),ps_full,ps_full: (point-naive)@2000 - (point-naive)@512,0.0013,1.0,COMPATIBLE
SF5 method x size interaction (secondary),unsw_full,unsw_full: (point-naive)@2000 - (point-naive)@512,-0.0401,1.0,COMPATIBLE
SF5 method x size interaction (secondary),ton_full,ton_full: (point-naive)@2000 - (point-naive)@512,-0.2482,0.46031539684603157,COMPATIBLE
SF5 method x size interaction (secondary),ps_zero,ps_zero: (point-naive)@2000 - (point-naive)@512,-0.5687,0.33087669123308766,UNRESOLVED
SF5 method x size interaction (secondary),unsw_zero,unsw_zero: (point-naive)@2000 - (point-naive)@512,-0.1599,1.0,COMPATIBLE
SF5 method x size interaction (secondary),ton_zero,ton_zero: (point-naive)@2000 - (point-naive)@512,0.2096,0.48039519604803954,COMPATIBLE
SF5 method x size interaction (secondary),ps_full,ps_full: (strict-naive)@2000 - (strict-naive)@512,-0.0326,1.0,COMPATIBLE
