severity,method,alarm_rate_post,alarm_rate_pre,score_ratio_mean_post,score_ratio_mean_pre,score_ratio_gap_post_minus_pre,alarm_rate_gap_post_minus_pre
0.1,MMD-RBF,0.09,0.075,0.5865327253675665,0.5840283662555286,0.002504359112037946,0.015
0.1,QK-MMD PauliXZ,0.09166666666666666,0.07166666666666667,0.808516975805759,0.7993902085574106,0.009126767248348377,0.01999999999999999
0.1,QK-MMD ZZ,0.08833333333333333,0.07166666666666667,0.7981913295495155,0.7884580740040213,0.009733255545494202,0.016666666666666663
0.25,MMD-RBF,0.11333333333333333,0.08833333333333333,0.6353434472593713,0.6053656818606619,0.029977765398709444,0.024999999999999994
0.25,QK-MMD PauliXZ,0.11666666666666667,0.105,0.8469596651012243,0.8296594569543497,0.017300208146874607,0.011666666666666672
0.25,QK-MMD ZZ,0.11333333333333333,0.11,0.8385969300992541,0.8202498365187034,0.018347093580550644,0.003333333333333327
0.5,MMD-RBF,0.21666666666666667,0.085,0.7571625478345614,0.6235731909930938,0.13358935684146755,0.13166666666666665
0.5,QK-MMD PauliXZ,0.27666666666666667,0.08333333333333333,0.9137086851166332,0.8158160885555632,0.09789259656106997,0.19333333333333336
0.5,QK-MMD ZZ,0.27,0.09333333333333334,0.9103326438722064,0.8097389682946624,0.10059367557754395,0.1766666666666667
0.75,MMD-RBF,0.27666666666666667,0.09333333333333334,0.8260258318825742,0.6033024544047816,0.22272337747779258,0.18333333333333335
0.75,QK-MMD PauliXZ,0.35833333333333334,0.10333333333333333,0.9751015396107707,0.8058921358518301,0.16920940375894067,0.255
0.75,QK-MMD ZZ,0.34833333333333333,0.095,0.9674793933951169,0.79782682034901,0.16965257304610692,0.2533333333333333
1.0,MMD-RBF,0.42,0.06666666666666667,1.0290967981108379,0.5820510126431002,0.44704578546773766,0.35333333333333333
1.0,QK-MMD PauliXZ,0.7566666666666667,0.07833333333333334,1.1540433290355496,0.8127747993877539,0.34126852964779575,0.6783333333333333
1.0,QK-MMD ZZ,0.7266666666666667,0.08333333333333333,1.1474044070742675,0.8042734819186697,0.34313092515559784,0.6433333333333333
