severity,method,phase,n_windows,score_mean,score_std,threshold_mean,score_ratio_mean,score_ratio_std,alarm_rate
0.1,MMD-RBF,post,600,0.003596189698652019,0.002092561826462764,0.006424891943413027,0.5865327253675665,0.2858258863125412,0.09
0.1,MMD-RBF,pre,600,0.0035280165801586964,0.001817110082441015,0.006424891943413027,0.5840283662555286,0.28657189465302363,0.075
0.1,QK-MMD PauliXZ,post,600,0.00756305228146532,0.0013831189333929532,0.009425897110246564,0.808516975805759,0.14544318944811188,0.09166666666666666
0.1,QK-MMD PauliXZ,pre,600,0.007481725853056203,0.001259081236344058,0.009425897110246564,0.7993902085574106,0.12972261315225275,0.07166666666666667
0.1,QK-MMD ZZ,post,600,0.00752594363876656,0.0014633499283321016,0.009496006820825093,0.7981913295495155,0.14921917938019585,0.08833333333333333
0.1,QK-MMD ZZ,pre,600,0.0074370682941439226,0.0013368147933430392,0.009496006820825093,0.7884580740040213,0.1341302221602652,0.07166666666666667
0.25,MMD-RBF,post,600,0.003902302212527001,0.0021555946654245386,0.006227017632875863,0.6353434472593713,0.3074080749928207,0.11333333333333333
0.25,MMD-RBF,pre,600,0.0037301124169160584,0.002150754486396531,0.006227017632875863,0.6053656818606619,0.2935442905544452,0.08833333333333333
0.25,QK-MMD PauliXZ,post,600,0.007559854698518598,0.0013335096067634623,0.009003315111386597,0.8469596651012243,0.12647974123338757,0.11666666666666667
0.25,QK-MMD PauliXZ,pre,600,0.007398383759585957,0.0013373404277745562,0.009003315111386597,0.8296594569543497,0.13257162336960873,0.105
0.25,QK-MMD ZZ,post,600,0.0075150785414032275,0.0014100977923082682,0.00904815427877065,0.8385969300992541,0.13230479433885584,0.11333333333333333
0.25,QK-MMD ZZ,pre,600,0.007342565343674187,0.0014034277649114585,0.00904815427877065,0.8202498365187034,0.13825153468647397,0.11
0.5,MMD-RBF,post,600,0.003895325491734484,0.0016862646977012917,0.005277296622218494,0.7571625478345614,0.32825868784549,0.21666666666666667
0.5,MMD-RBF,pre,600,0.003239279435578124,0.0014929423967831852,0.005277296622218494,0.6235731909930938,0.26825929273896676,0.085
0.5,QK-MMD PauliXZ,post,600,0.008396717518655126,0.001622112879633083,0.009258103643584266,0.9137086851166332,0.15958807466509983,0.27666666666666667
0.5,QK-MMD PauliXZ,pre,600,0.0074853123767292164,0.001320544002849371,0.009258103643584266,0.8158160885555632,0.13756216518172681,0.08333333333333333
0.5,QK-MMD ZZ,post,600,0.008389483135927831,0.0017291654883620298,0.009281966655950739,0.9103326438722064,0.1654524844471507,0.27
0.5,QK-MMD ZZ,pre,600,0.007446921402655402,0.0013919534780177547,0.009281966655950739,0.8097389682946624,0.14206571333485624,0.09333333333333334
0.75,MMD-RBF,post,600,0.004971640341286471,0.002475086281061893,0.006312726483515,0.8260258318825742,0.40251102138613226,0.27666666666666667
0.75,MMD-RBF,pre,600,0.0036253344053025723,0.0017412322549479043,0.006312726483515,0.6033024544047816,0.2933585981135539,0.09333333333333334
0.75,QK-MMD PauliXZ,post,600,0.009118250583284257,0.001866829851144667,0.009412296090085343,0.9751015396107707,0.19073526640264674,0.35833333333333334
0.75,QK-MMD PauliXZ,pre,600,0.0075267010910097095,0.001321438420950828,0.009412296090085343,0.8058921358518301,0.1378512177355353,0.10333333333333333
0.75,QK-MMD ZZ,post,600,0.00907646600880865,0.0020131376672636644,0.009453547923200434,0.9674793933951169,0.20304657200954263,0.34833333333333333
0.75,QK-MMD ZZ,pre,600,0.007472152963844799,0.001383513364213814,0.009453547923200434,0.79782682034901,0.14412890475130846,0.095
1.0,MMD-RBF,post,600,0.006054968975408331,0.0029723773684842717,0.006146499024882116,1.0290967981108379,0.5362172038434826,0.42
1.0,MMD-RBF,pre,600,0.0035154606541357675,0.001786840554599044,0.006146499024882116,0.5820510126431002,0.28031743555596805,0.06666666666666667
1.0,QK-MMD PauliXZ,post,600,0.010620023360812861,0.0023058853041790566,0.009279014058085603,1.1540433290355496,0.21910404200996628,0.7566666666666667
1.0,QK-MMD PauliXZ,pre,600,0.007474053358562034,0.001441354483280231,0.009279014058085603,0.8127747993877539,0.14143910552850722,0.07833333333333334
1.0,QK-MMD ZZ,post,600,0.010605724446496682,0.0025181871866563526,0.009326663112112431,1.1474044070742675,0.23616021359488867,0.7266666666666667
1.0,QK-MMD ZZ,pre,600,0.007426632988739631,0.0015240342471479873,0.009326663112112431,0.8042734819186697,0.14798098223618927,0.08333333333333333
