method,n,spearman_score_gap_vs_clean_gain,pearson_score_gap_vs_clean_gain,spearman_alarm_rate_vs_clean_gain,pearson_alarm_rate_vs_clean_gain
MMD-RBF,5,0.9999999999999999,0.9570849308808569,0.9999999999999999,0.9794676674503169
QK-MMD PauliXZ,5,0.9999999999999999,0.9612745660307438,0.9999999999999999,0.9396621715635699
QK-MMD ZZ,5,0.9999999999999999,0.9616410653919556,0.9999999999999999,0.9423888741956655
