scenario,policy,cap,schedule,gain,lo,hi,naive_gain,e2_frac_naive,commits_total,proposals,commits_per_stream,e3_labels_per_commit,labels_probe_per_proposal,labels_probe_per_stream,e4_abstention,e5_delay_windows,n_commits_immediate,n_commits_deferred,e6_n_evaluable,e6_n_censored,e6_harmful_h5,e6_harmful_immediate,e6_harmful_deferred,e6_rate,e6_cp_lo,e6_cp_hi,e6_harmful_until_next,e6_n_eval_until_next,e6_mean_delta_h5
ton_full,ebcsdef,64,bonf,0.0,0.0,0.0,-1.968,,0,209,0.0,,138.0,961.6,0.861,4.47,0,0,0,0,0,0,0,,,,0,0,
ton_full,ebcsdef,64,pser,0.0,0.0,0.0,-1.968,,0,209,0.0,,137.8,960.0,0.856,4.46,0,0,0,0,0,0,0,,,,0,0,
ton_full,ebcsdef,128,bonf,0.28,0.0,0.704,-1.968,,2,203,0.07,20064.0,197.7,1337.6,0.808,4.22,0,2,2,0,0,0,0,0.0,0.0,0.842,0,2,0.1078
ton_full,ebcsdef,128,pser,0.437,0.0,1.167,-1.968,,2,204,0.07,20224.0,198.3,1348.3,0.809,4.25,0,2,2,0,0,0,0,0.0,0.0,0.842,0,2,0.0773
ton_full,ebcsdef,256,bonf,0.346,0.0,0.882,-1.968,,2,203,0.07,32696.0,322.1,2179.7,0.778,4.0,2,0,2,0,0,0,0,0.0,0.0,0.842,0,2,0.0914
ton_full,ebcsdef,256,pser,0.446,0.0,1.183,-1.968,,2,205,0.07,33112.0,323.0,2207.5,0.79,4.05,1,1,2,0,0,0,0,0.0,0.0,0.842,0,2,0.082
ton_full,ebcsdef,512,bonf,0.491,0.009,1.244,-1.968,,5,204,0.17,23424.0,574.1,3904.0,0.75,3.77,3,2,4,1,0,0,0,0.0,0.0,0.602,0,5,0.0484
ton_full,ebcsdef,512,pser,0.457,0.0,1.216,-1.968,,2,205,0.07,59024.0,575.8,3934.9,0.766,3.85,2,0,2,0,0,0,0,0.0,0.0,0.842,0,2,0.0664
ton_full,ebcsdef,1024,bonf,0.722,0.202,1.462,-1.968,,10,189,0.33,20427.2,1080.8,6809.1,0.688,3.49,8,2,9,1,0,0,0,0.0,0.0,0.336,0,9,0.0401
ton_full,ebcsdef,1024,pser,0.66,0.143,1.403,-1.968,,8,194,0.27,26232.0,1081.7,6995.2,0.696,3.53,6,2,8,0,0,0,0,0.0,0.0,0.369,0,8,0.0422
