severity,strategy,method,n_seeds,detector_runtime_sec_mean,initial_fit_runtime_sec_mean,adapted_fit_runtime_sec_mean,post_balanced_accuracy_mean,degradation_area_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,false_alarm_any_rate,trigger_delay_windows_mean
0.1,mmd_rbf_triggered_adaptation,MMD-RBF,30,0.2471834799895683,0.0785084133308069,0.1422431900088364,0.919140625,0.0239973958333333,0.0666666666666666,0.0010677083333333,0.0333333333333333,5.666666666666667
0.1,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,30,0.7521319933313255,0.0785084133308069,0.1422431900088364,0.9187630208333334,0.0243749999999999,0.0666666666666666,0.0010286458333333,0.0666666666666666,8.666666666666666
0.1,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,30,0.7346011366229505,0.0785084133308069,0.1422431900088364,0.9191145833333334,0.0240234375,0.1,0.0013802083333333,0.0666666666666666,9.5
0.25,mmd_rbf_triggered_adaptation,MMD-RBF,30,0.2463172366648601,0.0785084133308069,0.1454590733318279,0.9047395833333332,0.0250911458333333,0.8,0.0437109374999999,0.0,3.68
0.25,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,30,0.7526756400203642,0.0785084133308069,0.1454590733318279,0.8850651041666667,0.0455859375,0.4,0.0212109374999999,0.0333333333333333,4.153846153846154
0.25,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,30,0.7297402066605476,0.0785084133308069,0.1454590733318279,0.884921875,0.0457291666666666,0.4,0.0210677083333333,0.0333333333333333,4.230769230769231
0.5,mmd_rbf_triggered_adaptation,MMD-RBF,30,0.2452287399908527,0.0785084133308069,0.1518109633276859,0.8939973958333333,0.0213802083333333,1.0,0.1267057291666666,0.0,2.0
0.5,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,30,0.7520464266727989,0.0785084133308069,0.1518109633276859,0.8929296875,0.0224479166666666,0.9666666666666668,0.1214973958333332,0.0333333333333333,2.1333333333333333
0.5,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,30,0.7267066199875747,0.0785084133308069,0.1518109633276859,0.8926822916666667,0.0226953125,0.9666666666666668,0.1212499999999999,0.0333333333333333,2.1666666666666665
0.75,mmd_rbf_triggered_adaptation,MMD-RBF,30,0.2388287366523096,0.0785084133308069,0.1521638199958639,0.8720963541666666,0.0353385416666666,0.9666666666666668,0.1907942708333333,0.0333333333333333,2.0
0.75,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,30,0.7489290733472445,0.0785084133308069,0.1521638199958639,0.8720963541666666,0.0353385416666666,0.9666666666666668,0.1908723958333333,0.0333333333333333,2.0
0.75,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,30,0.7312918066551598,0.0785084133308069,0.1521638199958639,0.8720963541666666,0.0353385416666666,0.9666666666666668,0.1908723958333333,0.0333333333333333,2.0
1.0,mmd_rbf_triggered_adaptation,MMD-RBF,30,0.2364559366600587,0.0785084133308069,0.1520798433416833,0.84921875,0.0468880208333333,0.9333333333333332,0.2511197916666666,0.0666666666666666,2.0
1.0,qk_mmd_pauli_xz_triggered_adaptation,QK-MMD PauliXZ,30,0.7558541200007312,0.0785084133308069,0.1520798433416833,0.84921875,0.0468880208333333,0.9666666666666668,0.2596484375,0.0333333333333333,2.0
1.0,qk_mmd_zz_triggered_adaptation,QK-MMD ZZ,30,0.7349165899911896,0.0785084133308069,0.1520798433416833,0.84921875,0.0468880208333333,0.9666666666666668,0.2596484375,0.0333333333333333,2.0
