severity,method,detector_runtime_sec_mean,mmd_runtime_sec_mean,runtime_ratio_vs_mmd,extra_runtime_sec_vs_mmd,clean_gain_delta_vs_mmd,false_alarm_delta_vs_mmd,trigger_delay_delta_vs_mmd
0.1,MMD-RBF,0.2471834799895683,0.2471834799895683,1.0,0.0,0.0,0.0,0.0
0.1,QK-MMD PauliXZ,0.7521319933313255,0.2471834799895683,3.0428084974087555,0.5049485133417573,-3.9062500000000035e-05,0.0333333333333333,2.999999999999999
0.1,QK-MMD ZZ,0.7346011366229505,0.2471834799895683,2.971886052635687,0.48741765663338216,0.00031249999999999984,0.0333333333333333,3.833333333333333
0.25,MMD-RBF,0.2463172366648601,0.2463172366648601,1.0,0.0,0.0,0.0,0.0
0.25,QK-MMD PauliXZ,0.7526756400203642,0.2463172366648601,3.0557164825799696,0.5063584033555042,-0.022500000000000003,0.0333333333333333,0.47384615384615403
0.25,QK-MMD ZZ,0.7297402066605476,0.2463172366648601,2.962603090799667,0.4834229699956875,-0.0226432291666666,0.0333333333333333,0.5507692307692307
0.5,MMD-RBF,0.2452287399908527,0.2452287399908527,1.0,0.0,0.0,0.0,0.0
0.5,QK-MMD PauliXZ,0.7520464266727989,0.2452287399908527,3.0667140674492352,0.5068176866819462,-0.005208333333333384,0.0333333333333333,0.1333333333333333
0.5,QK-MMD ZZ,0.7267066199875747,0.2452287399908527,2.9633827585407877,0.481477879996722,-0.005455729166666687,0.0333333333333333,0.16666666666666652
0.75,MMD-RBF,0.2388287366523096,0.2388287366523096,1.0,0.0,0.0,0.0,0.0
0.75,QK-MMD PauliXZ,0.7489290733472445,0.2388287366523096,3.135841540030195,0.5101003366949348,7.812499999998446e-05,0.0,0.0
0.75,QK-MMD ZZ,0.7312918066551598,0.2388287366523096,3.0619925261330057,0.49246307000285017,7.812499999998446e-05,0.0,0.0
1.0,MMD-RBF,0.2364559366600587,0.2364559366600587,1.0,0.0,0.0,0.0,0.0
1.0,QK-MMD PauliXZ,0.7558541200007312,0.2364559366600587,3.196596079071536,0.5193981833406724,0.008528645833333404,-0.0333333333333333,0.0
1.0,QK-MMD ZZ,0.7349165899911896,0.2364559366600587,3.1080487991627113,0.4984606533311309,0.008528645833333404,-0.0333333333333333,0.0
