regime,dataset,seed,best_detector,base_BA_pct,gain_pts
CICIDS Wednesday,cicids,29,qk_mmd_zz,76.6641,12.2109
CICIDS Wednesday,cicids,30,qk_mmd_zz,76.6406,11.4219
CICIDS DDoS,cicids,1,qk_mmd_zz,69.1875,20.7656
CICIDS DDoS,cicids,2,qk_mmd_zz,70.2656,20.0703
CICIDS DDoS,cicids,3,qk_mmd_zz,68.1797,20.9609
CICIDS DDoS,cicids,4,qk_mmd_zz,69.6484,19.0469
CICIDS DDoS,cicids,5,qk_mmd_zz,68.3672,20.6953
CICIDS DDoS,cicids,6,qk_mmd_zz,69.6641,18.3203
CICIDS DDoS,cicids,7,qk_mmd_zz,69.9531,20.8125
CICIDS DDoS,cicids,8,qk_mmd_zz,71.0156,19.3594
CICIDS DDoS,cicids,9,qk_mmd_zz,70.9609,19.9297
CICIDS DDoS,cicids,10,qk_mmd_zz,69.5547,21.3828
CICIDS DDoS,cicids,11,qk_mmd_zz,68.8359,20.9297
CICIDS DDoS,cicids,12,qk_mmd_zz,70.9141,17.7422
CICIDS DDoS,cicids,13,qk_mmd_zz,69.2891,20.1406
CICIDS DDoS,cicids,14,qk_mmd_zz,69.7031,18.7813
CICIDS DDoS,cicids,15,qk_mmd_zz,69.3828,19.4688
CICIDS DDoS,cicids,16,qk_mmd_zz,68.4844,20.2734
CICIDS DDoS,cicids,17,qk_mmd_zz,69.8828,19.375
CICIDS DDoS,cicids,18,qk_mmd_zz,69.5312,19.2422
CICIDS DDoS,cicids,19,qk_mmd_zz,69.875,15.7969
CICIDS DDoS,cicids,20,qk_mmd_zz,70.25,18.5859
CICIDS DDoS,cicids,21,qk_mmd_zz,69.2891,20.8594
CICIDS DDoS,cicids,22,qk_mmd_zz,70.3906,16.6953
CICIDS DDoS,cicids,23,qk_mmd_zz,70.4844,17.1563
CICIDS DDoS,cicids,24,qk_mmd_zz,71.5625,19.2266
CICIDS DDoS,cicids,25,qk_mmd_zz,69.5156,21.6328
CICIDS DDoS,cicids,26,qk_mmd_zz,69.0391,19.1484
CICIDS DDoS,cicids,27,qk_mmd_zz,70.2031,20.1875
CICIDS DDoS,cicids,28,qk_mmd_zz,71.4062,18.8828
CICIDS DDoS,cicids,29,qk_mmd_zz,70.2656,19.5859
CICIDS DDoS,cicids,30,qk_mmd_zz,69.8047,19.8516
CICIDS PortScan,cicids,1,qk_mmd_zz,83.1797,7.0625
CICIDS PortScan,cicids,2,qk_mmd_zz,94.3906,0.2578
CICIDS PortScan,cicids,3,qk_mmd_zz,83.7578,10.0234
CICIDS PortScan,cicids,4,qk_mmd_zz,83.5469,10.5781
CICIDS PortScan,cicids,5,qk_mmd_zz,95.2812,-1.2969
CICIDS PortScan,cicids,6,qk_mmd_zz,94.9141,-0.7656
CICIDS PortScan,cicids,7,qk_mmd_zz,83.0703,10.2578
CICIDS PortScan,cicids,8,qk_mmd_zz,93.9453,1.2969
CICIDS PortScan,cicids,9,qk_mmd_zz,95.7109,-0.0234
CICIDS PortScan,cicids,10,qk_mmd_zz,83.9844,10.5313
CICIDS PortScan,cicids,11,qk_mmd_zz,82.2812,11.2344
CICIDS PortScan,cicids,12,qk_mmd_zz,83.8594,9.9922
CICIDS PortScan,cicids,13,qk_mmd_zz,84.4688,9.8203
CICIDS PortScan,cicids,14,qk_mmd_zz,82.6172,10.8672
CICIDS PortScan,cicids,15,qk_mmd_zz,82.9922,11.0156
CICIDS PortScan,cicids,16,qk_mmd_zz,93.7109,-0.1484
CICIDS PortScan,cicids,17,qk_mmd_zz,94.7422,0.0078
CICIDS PortScan,cicids,18,qk_mmd_zz,87.2969,7.2578
CICIDS PortScan,cicids,19,qk_mmd_zz,95.1406,-1.6094
CICIDS PortScan,cicids,20,qk_mmd_zz,84.8125,9.0078
CICIDS PortScan,cicids,21,qk_mmd_zz,95.4844,-0.9297
CICIDS PortScan,cicids,22,qk_mmd_zz,83.2578,10.4219
CICIDS PortScan,cicids,23,qk_mmd_zz,83.2109,10.6875
CICIDS PortScan,cicids,24,qk_mmd_zz,93.9844,1.1719
CICIDS PortScan,cicids,25,qk_mmd_zz,83.1406,9.6406
CICIDS PortScan,cicids,26,qk_mmd_zz,81.8906,10.5938
