severity,method,n_seeds,false_alarm_any_rate,post_detect_any_rate,post_adapt_alarm_any_rate,adaptation_success_rate,clean_adaptation_success_rate,delay_windows_mean,post_alarm_rate_mean,post_adapt_alarm_rate_mean,score_reduction_after_adaptation_mean
0.1,MMD-RBF,30,0.1,0.1666666666666666,0.1333333333333333,0.1666666666666666,0.1333333333333333,4.6,0.09,0.1,6.80398600813919e-05
0.1,QK-MMD PauliXZ,30,0.0333333333333333,0.1,0.1,0.1,0.1,3.0,0.0916666666666666,0.0783333333333333,0.0002522120574592
0.1,QK-MMD ZZ,30,0.1,0.1,0.0666666666666666,0.1,0.1,3.0,0.0883333333333333,0.0783333333333333,0.0002646134220471
0.25,MMD-RBF,30,0.1666666666666666,0.2,0.4,0.1333333333333333,0.1,7.0,0.1133333333333333,0.1483333333333333,0.0001257514416248
0.25,QK-MMD PauliXZ,30,0.2,0.2333333333333333,0.2333333333333333,0.1,0.1,3.7142857142857135,0.1166666666666666,0.1016666666666666,0.0002100231519319
0.25,QK-MMD ZZ,30,0.2666666666666666,0.2333333333333333,0.2,0.1,0.1,3.7142857142857135,0.1133333333333333,0.1033333333333333,0.0002046710480288
0.5,MMD-RBF,30,0.1333333333333333,0.4,0.1,0.4,0.3,7.083333333333333,0.2166666666666666,0.075,0.0005034909226415
0.5,QK-MMD PauliXZ,30,0.1666666666666666,0.6666666666666666,0.1333333333333333,0.5666666666666667,0.4666666666666667,8.7,0.2766666666666666,0.0483333333333333,0.001079396452783
0.5,QK-MMD ZZ,30,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.5666666666666667,0.4333333333333333,8.75,0.2699999999999999,0.0466666666666666,0.0011370822673131
0.75,MMD-RBF,30,0.1333333333333333,0.5666666666666667,0.1,0.5,0.3666666666666666,3.647058823529412,0.2766666666666666,0.0883333333333333,0.0012703371844054
0.75,QK-MMD PauliXZ,30,0.1,0.7333333333333333,0.1,0.6666666666666666,0.6333333333333333,4.2727272727272725,0.3583333333333333,0.065,0.0026891008466622
0.75,QK-MMD ZZ,30,0.1,0.6666666666666666,0.0666666666666666,0.6333333333333333,0.6,3.85,0.3483333333333334,0.07,0.0027218968892169
1.0,MMD-RBF,30,0.1,0.7666666666666667,0.1333333333333333,0.7333333333333333,0.6333333333333333,3.260869565217391,0.42,0.1016666666666666,0.0024565657169024
1.0,QK-MMD PauliXZ,30,0.1333333333333333,0.9666666666666668,0.2333333333333333,0.7333333333333333,0.6,1.2758620689655171,0.7566666666666666,0.1016666666666666,0.0033451317869162
1.0,QK-MMD ZZ,30,0.1333333333333333,0.9333333333333332,0.2333333333333333,0.7,0.5666666666666667,1.5357142857142858,0.7266666666666667,0.1,0.0034060239752777
