severity,method,n_seeds,false_alarm_any_rate,post_detect_any_rate,post_adapt_alarm_any_rate,adaptation_success_rate,clean_adaptation_success_rate,delay_windows_mean,post_alarm_rate_mean,post_adapt_alarm_rate_mean,score_reduction_after_adaptation_mean
0.1,MMD-RBF,30,0.1,0.1666666666666666,0.1333333333333333,0.1666666666666666,0.1333333333333333,4.6,0.09,0.1,6.80398600813919e-05
0.25,MMD-RBF,30,0.1666666666666666,0.2,0.4,0.1333333333333333,0.1,7.0,0.1133333333333333,0.1483333333333333,0.0001257514416248
0.5,QK-MMD PauliXZ,30,0.1666666666666666,0.6666666666666666,0.1333333333333333,0.5666666666666667,0.4666666666666667,8.7,0.2766666666666666,0.0483333333333333,0.001079396452783
0.75,QK-MMD PauliXZ,30,0.1,0.7333333333333333,0.1,0.6666666666666666,0.6333333333333333,4.2727272727272725,0.3583333333333333,0.065,0.0026891008466622
1.0,MMD-RBF,30,0.1,0.7666666666666667,0.1333333333333333,0.7333333333333333,0.6333333333333333,3.260869565217391,0.42,0.1016666666666666,0.0024565657169024
