family,scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_raw,p_ttest,p_wilcoxon,n_seeds,p_method
G1 value of updating,ps_full,ps_full: naive-512 vs never,6.5729,4.714,8.4711,5.0,8.187,9.99990000099999e-06,2.406166490504661e-07,1.919722783767457e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,ps_full,ps_full: naive-2000 vs never,7.1005,5.2617,8.9649,5.5539,8.6729,9.99990000099999e-06,4.187879592371438e-08,1.862645149230957e-09,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,unsw_full,unsw_full: naive-512 vs never,2.2279,1.8836,2.5919,1.9372,2.531,9.99990000099999e-06,6.870398149942666e-13,1.7333066441991056e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,unsw_full,unsw_full: naive-2000 vs never,3.9013,3.5615,4.2615,3.6107,4.201,9.99990000099999e-06,2.764867661314775e-19,1.862645149230957e-09,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,ton_full,ton_full: naive-512 vs never,0.6828,0.0057,1.5185,0.093,1.3659,0.07358926410735893,0.09565066811580267,0.8370212347501904,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,ton_full,ton_full: naive-2000 vs never,1.0643,0.3719,1.9201,0.4609,1.7578,0.008439915600843992,0.013530564855985873,0.05018240505939921,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G2 size effect (primary),ps_full,ps_full: naive-2000 vs naive-512,0.5276,0.2745,0.7862,0.3125,0.7461,8.99991000089999e-05,0.000444081151880224,0.0006637025355400475,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G2 size effect (primary),unsw_full,unsw_full: naive-2000 vs naive-512,1.6734,1.4703,1.8867,1.5,1.851,9.99990000099999e-06,1.4784953017752168e-15,1.7333066441991056e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G2 size effect (primary),ton_full,ton_full: naive-2000 vs naive-512,0.3815,0.2068,0.5695,0.2341,0.5367,0.00012999870001299986,0.00032872260188018934,0.00011982550178145352,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ps_full,ps_full: point-2000 vs naive-2000,0.0193,0.0013,0.0419,0.0039,0.0375,0.057599424005759944,0.07548645983627827,0.06788915486182899,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ps_full,ps_full: strict-2000 vs naive-2000,-0.0414,-0.1878,0.0971,-0.1638,0.0753,0.5679443205567944,0.5783749872143694,0.7456471054931495,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,unsw_full,unsw_full: point-2000 vs naive-2000,-0.0497,-0.2161,0.0865,-0.1867,0.068,0.5273347266527335,0.5356317431461078,0.8784817434328712,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,unsw_full,unsw_full: strict-2000 vs naive-2000,-0.4208,-0.7073,-0.1539,-0.6589,-0.193,0.002999970000299997,0.0065952105817274394,0.008957890924811019,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ton_full,ton_full: point-2000 vs naive-2000,-0.0026,-0.0156,0.007,-0.0133,0.006,0.6885031149688503,0.6679407480830979,1.0,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ton_full,ton_full: strict-2000 vs naive-2000,-0.2417,-0.5776,0.062,-0.5201,0.0161,0.13920860791392087,0.15747471177245753,0.4687951885962921,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
