method,n_seeds,mean_balanced_accuracy,cumulative_error_area,cumulative_gain_vs_no_adapt,n_adaptations,detector_runtime_sec_total,method_label
qk_mmd_zz,10,0.8494609375,15.05390625,0.34375,2.7,7.244414179539308,QK-MMD ZZ
energy_distance,10,0.8484375,15.15625,0.24140625,2.3,0.06439519969280803,Energy distance
mmd_rbf,10,0.8479140624999999,15.20859375,0.1890625,2.6,4.417905969847925,MMD-RBF
ks_max,10,0.8469218749999999,15.3078125,0.08984375,2.5,0.2666204699780792,KS-max
no_adaptation,10,0.8460234375000001,15.39765625,0.0,0.0,0.0,No adaptation
qk_mmd_pauli_xz,10,0.8457421875,15.42578125,-0.028125,2.2,7.596050519659184,QK-MMD PauliXZ
jsd,10,0.844734375,15.5265625,-0.12890625,2.1,0.0250376697396859,JSD
