source,tier,noadapt_ba,best_actual_method,best_actual_ba,best_adaptive_method,best_adaptive_ba,best_gain_method,best_gain_vs_noadapt,worst_gain_method,worst_gain_vs_noadapt,n_adaptive_methods_positive_gain,n_adaptive_methods_negative_gain,best_qk_method,best_qk_ba,best_qk_gain_vs_noadapt,policy_problem_signal,policy_opportunity_signal,mixed_policy_signal
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,0.8679687500000001,KS-max,0.932421875,KS-max,0.932421875,KS-max,1.2890625,QK-MMD ZZ,-0.0520833333333333,5,1,QK-MMD PauliXZ,0.9322916666666666,1.2864583333333333,False,True,True
paper2_progressive_classical_baselines_smoke_001,smoke,0.7522135416666668,Energy distance,0.8997395833333334,Energy distance,0.8997395833333334,Energy distance,2.950520833333333,QK-MMD PauliXZ,2.4453125,6,0,QK-MMD ZZ,0.8842447916666667,2.640625,False,True,False
paper2_progressive_readaptation_smoke_001,smoke,0.7198350694444445,QK-MMD ZZ,0.8755208333333333,QK-MMD ZZ,0.8755208333333333,QK-MMD ZZ,9.341145833333334,MMD-RBF,7.377604166666667,3,0,QK-MMD ZZ,0.8755208333333333,9.341145833333334,False,True,False
paper2_progressive_thursday_webattacks_smoke_001,smoke,0.7878906250000001,MMD-RBF,0.8817708333333334,MMD-RBF,0.8817708333333334,MMD-RBF,1.8776041666666667,Energy distance,0.84375,3,0,QK-MMD ZZ,0.8445312500000001,1.1328125,False,True,False
paper2_ton_iot_ddos_smoke_001,smoke,0.93125,No adaptation,0.93125,MMD-RBF,0.90859375,MMD-RBF,-0.453125,QK-MMD ZZ,-4.807291666666667,0,6,QK-MMD PauliXZ,0.8035156250000001,-2.5546875,True,False,False
paper2_ton_iot_injection_smoke_001,smoke,0.9291666666666668,KS-max,0.9325520833333334,KS-max,0.9325520833333334,KS-max,0.0677083333333333,QK-MMD ZZ,-0.3541666666666667,1,5,QK-MMD PauliXZ,0.9274739583333332,-0.0338541666666666,True,False,True
paper2_ton_iot_scanning_smoke_001,smoke,0.9180989583333332,QK-MMD ZZ,0.930859375,QK-MMD ZZ,0.930859375,QK-MMD ZZ,0.2552083333333333,QK-MMD PauliXZ,-0.65625,2,4,QK-MMD ZZ,0.930859375,0.2552083333333333,True,True,True
paper2_unsw_nb15_dos_smoke_001,smoke,0.8290364583333334,QK-MMD ZZ,0.8506510416666666,QK-MMD ZZ,0.8506510416666666,QK-MMD ZZ,0.4322916666666667,MMD-RBF,0.2890625,3,0,QK-MMD ZZ,0.8506510416666666,0.4322916666666667,False,True,False
paper2_unsw_nb15_reconnaissance_smoke_001,smoke,0.8346354166666666,MMD-RBF,0.8454427083333332,MMD-RBF,0.8454427083333332,MMD-RBF,0.2161458333333333,QK-MMD ZZ,0.1119791666666666,3,0,QK-MMD ZZ,0.840234375,0.1119791666666666,False,True,False
paulixz_r1,smoke,0.7522135416666668,QK-MMD PauliXZ,0.8744791666666667,QK-MMD PauliXZ,0.8744791666666667,QK-MMD PauliXZ,2.4453125,QK-MMD PauliXZ,2.4453125,1,0,QK-MMD PauliXZ,0.8744791666666667,2.4453125,False,True,False
paulixz_r2,smoke,0.7522135416666668,QK-MMD PauliXZ,0.8708333333333332,QK-MMD PauliXZ,0.8708333333333332,QK-MMD PauliXZ,2.372395833333333,QK-MMD PauliXZ,2.372395833333333,1,0,QK-MMD PauliXZ,0.8708333333333332,2.372395833333333,False,True,False
paulixz_r3,smoke,0.7522135416666668,QK-MMD PauliXZ,0.8708333333333332,QK-MMD PauliXZ,0.8708333333333332,QK-MMD PauliXZ,2.372395833333333,QK-MMD PauliXZ,2.372395833333333,1,0,QK-MMD PauliXZ,0.8708333333333332,2.372395833333333,False,True,False
zz_r1,smoke,0.7522135416666668,QK-MMD ZZ,0.8842447916666667,QK-MMD ZZ,0.8842447916666667,QK-MMD ZZ,2.640625,QK-MMD ZZ,2.640625,1,0,QK-MMD ZZ,0.8842447916666667,2.640625,False,True,False
zz_r2,smoke,0.7522135416666668,QK-MMD ZZ,0.8842447916666667,QK-MMD ZZ,0.8842447916666667,QK-MMD ZZ,2.640625,QK-MMD ZZ,2.640625,1,0,QK-MMD ZZ,0.8842447916666667,2.640625,False,True,False
zz_r3,smoke,0.7522135416666668,QK-MMD ZZ,0.8842447916666667,QK-MMD ZZ,0.8842447916666667,QK-MMD ZZ,2.640625,QK-MMD ZZ,2.640625,1,0,QK-MMD ZZ,0.8842447916666667,2.640625,False,True,False
