source,tier,path,method,method_label,n_seeds,mean_balanced_accuracy,gain_vs_noadapt,error_area,n_adaptations,detector_runtime
paulixz_r1,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,10,0.8807265624999999,11.96875,11.92734375,3.2,6.234160020179115
paulixz_r2,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,10,0.8789296875,11.7890625,12.10703125,3.7,9.630509510287084
paulixz_r3,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,10,0.886671875,12.56328125,11.3328125,3.7,13.491979539603928
zz_r1,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,10,0.88665625,12.56171875,11.334375,3.1,5.69598446993623
zz_r2,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,10,0.87715625,11.61171875,12.284375,3.2,9.190042420011014
zz_r3,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,10,0.883140625,12.21015625,11.6859375,3.3,12.130083390278742
paulixz_r1,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8744791666666667,2.4453125,2.5104166666666665,1.6666666666666667,1.2173308005246024
paulixz_r2,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8708333333333332,2.372395833333333,2.583333333333333,1.6666666666666667,1.9380246004244928
paulixz_r3,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8708333333333332,2.372395833333333,2.583333333333333,1.6666666666666667,2.651086467007796
zz_r1,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8842447916666667,2.640625,2.3151041666666665,2.0,1.1234279000976433
zz_r2,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8842447916666667,2.640625,2.3151041666666665,2.0,1.7594316663841407
zz_r3,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8842447916666667,2.640625,2.3151041666666665,2.0,2.385213800085088
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.8884348958333333,19.01328125,11.156510416666666,3.533333333333333,6.511848599968167
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,30,0.8932708333333333,19.496875,10.672916666666667,3.6,6.070540823457607
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.865625,3.796875,2.6875,2.0,1.2197117667334776
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8721354166666666,3.9270833333333335,2.5572916666666665,2.0,1.1413452664855868
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.9307682291666668,5.369270833333333,6.923177083333333,4.166666666666667,6.405552300003667
