block,regime,drift,arm,gain,lo,hi,collisions,commit_no_probe,gate_vs_naive,gvn_lo,gvn_hi,n,commits,min_cw
causal_final,portscan,full,naive,10.212,7.787,12.664,0.0,,,,,,,
causal_final,portscan,full,gate,10.621,8.299,12.965,0.0,0.0,0.409,0.191,0.626,,,
causal_final,portscan,mild,naive,-0.837,-2.473,0.402,0.0,,,,,,,
causal_final,portscan,mild,gate,0.045,-0.555,0.645,0.0,0.0,0.883,-0.213,2.485,,,
stratified,portscan,zero,strat,0.0,0.0,0.0,,,,,,30.0,0.0,
stratified,portscan,full,strat,6.926,5.245,8.531,,,,,,30.0,0.9,
strict_baseline,portscan,mild,strict,0.395,0.175,0.639,,,,,,30.0,,
strict_baseline,portscan,full,strict,8.78,6.907,10.551,,,,,,30.0,,
calib_sweep,portscan,,fc_lp32,,,,,,0.409,0.191,0.626,,,30.0
calib_sweep,portscan,,fc_lp32_cw16,,,,,,0.441,0.22,0.655,,,16.0
calib_sweep,portscan,,fc_lp32_cw8,,,,,,0.403,0.181,0.624,,,8.0
causal_final,unsw_recon,full,naive,-1.69,-2.049,-1.362,0.0,,,,,,,
causal_final,unsw_recon,full,gate,-1.18,-1.443,-0.904,0.0,0.0,0.509,0.184,0.874,,,
causal_final,unsw_recon,mild,naive,-0.466,-0.677,-0.261,0.0,,,,,,,
causal_final,unsw_recon,mild,gate,0.02,-0.091,0.14,0.0,0.0,0.486,0.317,0.658,,,
stratified,unsw_recon,zero,strat,0.0,0.0,0.0,,,,,,30.0,0.0,
stratified,unsw_recon,full,strat,0.318,0.166,0.49,,,,,,30.0,0.467,
strict_baseline,unsw_recon,mild,strict,-0.034,-0.072,-0.005,,,,,,30.0,,
strict_baseline,unsw_recon,full,strict,1.406,1.212,1.602,,,,,,30.0,,
calib_sweep,unsw_recon,,fc_lp32,,,,,,0.509,0.184,0.874,,,30.0
calib_sweep,unsw_recon,,fc_lp32_cw16,,,,,,0.545,0.234,0.893,,,16.0
calib_sweep,unsw_recon,,fc_lp32_cw8,,,,,,0.602,0.279,0.96,,,8.0
causal_final,ton_scanning,full,naive,-4.41,-7.133,-1.996,0.0,,,,,,,
causal_final,ton_scanning,full,gate,1.155,0.784,1.547,0.0,0.0,5.566,3.191,8.299,,,
causal_final,ton_scanning,mild,naive,-3.85,-8.113,-0.579,0.0,,,,,,,
causal_final,ton_scanning,mild,gate,0.359,0.21,0.506,0.0,0.0,4.209,0.949,8.449,,,
stratified,ton_scanning,zero,strat,0.0,0.0,0.0,,,,,,30.0,0.0,
stratified,ton_scanning,full,strat,0.102,0.007,0.223,,,,,,30.0,0.167,
strict_baseline,ton_scanning,mild,strict,0.008,0.0,0.021,,,,,,30.0,,
strict_baseline,ton_scanning,full,strict,0.595,0.35,0.864,,,,,,30.0,,
calib_sweep,ton_scanning,,fc_lp32,,,,,,5.566,3.191,8.299,,,30.0
calib_sweep,ton_scanning,,fc_lp32_cw16,,,,,,5.56,3.183,8.294,,,16.0
calib_sweep,ton_scanning,,fc_lp32_cw8,,,,,,5.438,3.074,8.172,,,8.0
