method,method_label,n_seeds,mean_balanced_accuracy,cumulative_error_area_mean,mean_gain_vs_no_adapt,cumulative_gain_vs_no_adapt_mean,adaptation_efficiency_mean,adaptation_efficiency_std,n_adaptations_mean,false_adaptations_mean,first_adaptation_window_mean,alarm_rate_mean,trigger_rate_mean,detector_runtime_sec_total_mean
mmd_rbf,MMD-RBF,30,0.87421875,12.578125,0.1467447916666666,14.674479166666666,3.3453515625,0.7045852992320792,4.433333333333334,0.0,17.9,0.288,0.0443333333333333,1.8574276399876304
no_adaptation,No adaptation,30,0.7274739583333333,27.252604166666668,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.8780625000000001,12.19375,0.1505885416666666,15.058854166666666,4.609309895833333,0.8723134080000869,3.333333333333333,0.0,24.166666666666668,0.2463333333333333,0.0333333333333333,6.410876743274275
qk_mmd_zz,QK-MMD ZZ,30,0.8802968750000001,11.9703125,0.1528229166666666,15.282291666666667,4.708745659722222,0.9101327478878254,3.333333333333333,0.0,24.266666666666666,0.2323333333333333,0.0333333333333333,5.986701793394362
