method,window_idx,severity_t,balanced_accuracy_mean,gain_vs_no_adapt_mean,alarm_rate,trigger_rate,method_label
mmd_rbf,0,0.0125,0.9447916666666667,-0.00026041666666666666,0.1,0.0,MMD-RBF
mmd_rbf,1,0.025,0.9411458333333333,-0.0013020833333333333,0.13333333333333333,0.0,MMD-RBF
mmd_rbf,2,0.0375,0.9440104166666666,0.005208333333333333,0.0,0.0,MMD-RBF
mmd_rbf,3,0.05,0.9361979166666666,-0.0020833333333333333,0.1,0.0,MMD-RBF
mmd_rbf,4,0.0625,0.928125,-0.0005208333333333333,0.1,0.0,MMD-RBF
mmd_rbf,5,0.075,0.93203125,0.011458333333333333,0.2,0.0,MMD-RBF
mmd_rbf,6,0.0875,0.9208333333333333,0.0015625,0.3,0.0,MMD-RBF
mmd_rbf,7,0.1,0.92109375,0.0046875,0.03333333333333333,0.0,MMD-RBF
mmd_rbf,8,0.1125,0.91640625,-0.00078125,0.16666666666666666,0.0,MMD-RBF
mmd_rbf,9,0.125,0.8986979166666667,-0.005989583333333334,0.26666666666666666,0.0,MMD-RBF
mmd_rbf,10,0.1375,0.9002604166666667,0.00026041666666666666,0.3,0.0,MMD-RBF
mmd_rbf,11,0.15,0.8848958333333333,-0.0067708333333333336,0.36666666666666664,0.03333333333333333,MMD-RBF
mmd_rbf,12,0.1625,0.8875,-0.0015625,0.3,0.1,MMD-RBF
mmd_rbf,13,0.175,0.8903645833333333,0.0067708333333333336,0.4,0.06666666666666667,MMD-RBF
mmd_rbf,14,0.1875,0.8869791666666667,0.0033854166666666668,0.43333333333333335,0.03333333333333333,MMD-RBF
mmd_rbf,15,0.2,0.88046875,0.0026041666666666665,0.43333333333333335,0.13333333333333333,MMD-RBF
mmd_rbf,16,0.2125,0.878125,0.009635416666666667,0.36666666666666664,0.06666666666666667,MMD-RBF
mmd_rbf,17,0.225,0.8700520833333333,-0.008854166666666666,0.3333333333333333,0.03333333333333333,MMD-RBF
mmd_rbf,18,0.2375,0.8651041666666667,0.0026041666666666665,0.43333333333333335,0.06666666666666667,MMD-RBF
mmd_rbf,19,0.25,0.8640625,0.00234375,0.26666666666666666,0.06666666666666667,MMD-RBF
mmd_rbf,20,0.2625,0.8643229166666667,0.0109375,0.36666666666666664,0.06666666666666667,MMD-RBF
mmd_rbf,21,0.275,0.8596354166666667,0.009895833333333333,0.4,0.06666666666666667,MMD-RBF
mmd_rbf,22,0.2875,0.8598958333333333,0.0033854166666666668,0.4666666666666667,0.16666666666666666,MMD-RBF
mmd_rbf,23,0.3,0.8552083333333333,0.01484375,0.3,0.06666666666666667,MMD-RBF
mmd_rbf,24,0.3125,0.8473958333333333,0.016145833333333335,0.26666666666666666,0.0,MMD-RBF
mmd_rbf,25,0.325,0.85,0.02578125,0.3,0.0,MMD-RBF
mmd_rbf,26,0.3375,0.85,0.0328125,0.3,0.0,MMD-RBF
mmd_rbf,27,0.35,0.8450520833333334,0.0234375,0.1,0.0,MMD-RBF
mmd_rbf,28,0.3625,0.8575520833333333,0.03177083333333333,0.4666666666666667,0.06666666666666667,MMD-RBF
mmd_rbf,29,0.375,0.8536458333333333,0.0453125,0.4,0.03333333333333333,MMD-RBF
mmd_rbf,30,0.3875,0.8473958333333333,0.048177083333333336,0.4666666666666667,0.13333333333333333,MMD-RBF
mmd_rbf,31,0.4,0.85859375,0.05260416666666667,0.4,0.03333333333333333,MMD-RBF
