regime,contrast,diff,ci_lo,ci_hi
portscan,causal_gate_vs_causal_naive,0.602,-0.108,1.579
portscan,mcnemar32_vs_lp32,-3.669,-4.611,-2.739
portscan,mcnemar64_vs_lp32,-1.449,-1.766,-1.124
portscan,binom01_vs_lp32,-1.202,-1.724,-0.698
portscan,binom05_vs_lp32,-0.436,-0.788,-0.121
portscan,binom10_vs_lp32,-0.202,-0.488,0.04
portscan,causal_gate_vs_lp32(pools),-0.477,-0.761,-0.203
portscan,sev025_gate_vs_naive,0.839,0.02,1.837
portscan,sev050_gate_vs_naive,1.476,0.211,3.086
unsw_recon,causal_gate_vs_causal_naive,0.353,0.097,0.628
unsw_recon,mcnemar32_vs_lp32,-1.204,-1.429,-0.969
unsw_recon,mcnemar64_vs_lp32,-0.712,-0.967,-0.462
unsw_recon,binom01_vs_lp32,0.03,-0.087,0.156
unsw_recon,binom05_vs_lp32,-0.096,-0.304,0.077
unsw_recon,binom10_vs_lp32,-0.017,-0.229,0.181
unsw_recon,causal_gate_vs_lp32(pools),-0.039,-0.265,0.184
unsw_recon,sev025_gate_vs_naive,0.058,0.016,0.111
unsw_recon,sev050_gate_vs_naive,0.157,0.034,0.285
ton_scanning,causal_gate_vs_causal_naive,3.287,1.849,5.028
ton_scanning,mcnemar32_vs_lp32,-0.786,-1.064,-0.516
ton_scanning,mcnemar64_vs_lp32,-0.701,-0.968,-0.456
ton_scanning,binom01_vs_lp32,-0.574,-2.159,0.306
ton_scanning,binom05_vs_lp32,0.122,-0.073,0.328
ton_scanning,binom10_vs_lp32,0.035,-0.204,0.262
ton_scanning,causal_gate_vs_lp32(pools),0.061,-0.197,0.316
ton_scanning,sev025_gate_vs_naive,0.617,0.141,1.256
ton_scanning,sev050_gate_vs_naive,3.816,1.618,6.399
ton_ddos,gate_vs_naive,16.26,13.629,18.943
ton_injection,gate_vs_naive,2.67,1.207,4.386
