regime,arm,n,gain,ci_lo,ci_hi,zero_attack_probe_frac,n_triggers,n_adaptations,n_candidates_trained,n_train_skipped,n_probes,n_probes_zero_attack,labels_probe,labels_candidate
portscan,causal_none,30,8.041,5.81,10.075,,3.2,3.2,3.2,0.0,0.0,0.0,0.0,3264.0
portscan,causal_gate,30,8.643,6.689,10.569,0.0,4.33,2.83,4.33,0.0,4.3,0.0,137.6,4424.53
portscan,binom10,30,8.918,7.027,10.589,0.026,3.9,2.87,3.9,0.0,3.9,0.1,124.8,3993.6
portscan,binom05,30,8.684,6.878,10.421,0.231,4.03,2.67,4.03,0.0,4.03,0.93,129.07,4130.13
portscan,binom01,30,7.918,6.308,9.486,0.727,4.4,2.37,4.4,0.0,4.4,3.2,140.8,4505.6
portscan,hrperinc,30,7.878,6.041,9.551,0.0,5.97,1.53,1.8,4.17,1.8,0.0,254.93,1843.2
portscan,mcnemar32,30,5.451,4.013,6.921,0.0,6.63,0.73,6.63,0.0,6.63,0.0,212.27,6792.53
portscan,mcnemar64,30,7.671,5.866,9.296,0.0,6.57,0.9,6.57,0.0,6.57,0.0,420.27,6724.27
portscan,sev025_none,30,-0.463,-1.573,0.419,,0.93,0.93,0.93,0.0,0.0,0.0,0.0,955.73
portscan,sev025_lp32,30,0.376,0.103,0.659,0.0,1.2,0.8,1.2,0.0,1.2,0.0,38.4,1228.8
portscan,sev050_none,30,1.399,-0.089,2.773,,1.77,1.77,1.77,0.0,0.0,0.0,0.0,1809.07
portscan,sev050_lp32,30,2.875,2.08,3.634,0.0,2.17,1.53,2.17,0.0,2.17,0.0,69.33,2218.67
unsw_recon,causal_none,30,0.96,0.679,1.245,,2.6,2.6,2.6,0.0,0.0,0.0,0.0,2662.4
unsw_recon,causal_gate,30,1.313,1.11,1.506,0.0,3.37,2.2,3.37,0.0,3.37,0.0,107.73,3447.47
unsw_recon,binom10,30,1.335,1.154,1.518,0.033,3.03,2.4,3.03,0.0,3.03,0.1,97.07,3106.13
unsw_recon,binom05,30,1.257,1.077,1.437,0.193,2.93,2.33,2.93,0.0,2.93,0.57,93.87,3003.73
unsw_recon,binom01,30,1.382,1.215,1.55,0.736,3.03,2.43,3.03,0.0,3.03,2.23,97.07,3106.13
unsw_recon,hrperinc,30,1.311,1.017,1.576,0.0,4.43,1.67,1.9,2.53,1.9,0.0,205.87,1945.6
unsw_recon,mcnemar32,30,0.148,0.03,0.3,0.0,6.97,0.17,6.97,0.0,6.97,0.0,222.93,7133.87
unsw_recon,mcnemar64,30,0.641,0.41,0.877,0.0,6.3,0.63,6.3,0.0,6.3,0.0,403.2,6451.2
unsw_recon,sev025_none,30,-0.146,-0.207,-0.088,,0.7,0.7,0.7,0.0,0.0,0.0,0.0,716.8
unsw_recon,sev025_lp32,30,-0.088,-0.14,-0.043,0.0,0.77,0.53,0.77,0.0,0.77,0.0,24.53,785.07
unsw_recon,sev050_none,30,-0.25,-0.406,-0.096,,1.27,1.27,1.27,0.0,0.0,0.0,0.0,1297.07
unsw_recon,sev050_lp32,30,-0.093,-0.209,0.018,0.0,1.8,1.1,1.8,0.0,1.8,0.0,57.6,1843.2
ton_scanning,causal_none,30,-2.437,-4.113,-0.922,,2.53,2.53,2.53,0.0,0.0,0.0,0.0,2594.13
ton_scanning,causal_gate,30,0.849,0.567,1.126,0.0,3.57,2.1,3.57,0.0,3.57,0.0,114.13,3652.27
ton_scanning,binom10,30,0.824,0.524,1.114,0.019,3.47,1.97,3.47,0.0,3.47,0.07,110.93,3549.87
ton_scanning,binom05,30,0.91,0.674,1.17,0.151,3.53,1.93,3.53,0.0,3.53,0.53,113.07,3618.13
ton_scanning,binom01,30,0.214,-1.388,1.145,0.661,3.63,1.97,3.63,0.0,3.63,2.4,116.27,3720.53
ton_scanning,hrperinc,30,0.113,-0.267,0.451,0.0,5.67,0.83,1.23,4.43,1.23,0.0,245.33,1262.93
ton_scanning,mcnemar32,30,0.002,0.0,0.007,0.0,6.97,0.03,6.97,0.0,6.97,0.0,222.93,7133.87
ton_scanning,mcnemar64,30,0.087,0.007,0.197,0.0,6.73,0.13,6.73,0.0,6.73,0.0,430.93,6894.93
ton_scanning,sev025_none,30,-0.653,-1.278,-0.157,,0.6,0.6,0.6,0.0,0.0,0.0,0.0,614.4
ton_scanning,sev025_lp32,30,-0.036,-0.164,0.05,0.0,0.77,0.43,0.77,0.0,0.77,0.0,24.53,785.07
ton_scanning,sev050_none,30,-3.629,-6.105,-1.457,,1.37,1.37,1.37,0.0,0.0,0.0,0.0,1399.47
ton_scanning,sev050_lp32,30,0.187,0.05,0.318,0.0,1.77,1.1,1.77,0.0,1.77,0.0,56.53,1809.07
ton_ddos,none,30,-15.244,-18.125,-12.322,,2.93,2.93,,,,,,
ton_ddos,lp32,30,1.016,-0.092,2.243,,5.33,1.17,,,,,,
ton_injection,none,30,-2.239,-3.861,-0.841,,3.67,3.67,,,,,,
ton_injection,lp32,30,0.431,0.158,0.71,,4.6,2.77,,,,,,
