method,n_seeds,mean_balanced_accuracy,cumulative_error_area,cumulative_gain_vs_no_adapt,n_adaptations,detector_runtime_sec_total,method_label
ks_max,10,0.853953125,14.6046875,1.38984375,2.4,0.25856333009433,KS-max
jsd,10,0.8522812500000001,14.771875,1.22265625,2.1,0.02457239981740708,JSD
qk_mmd_pauli_xz,10,0.8496171875,15.03828125,0.95625,2.2,7.28247331972234,QK-MMD PauliXZ
mmd_rbf,10,0.8495546875000001,15.04453125,0.95,1.6,3.9727857801364737,MMD-RBF
energy_distance,10,0.8458359375000001,15.41640625,0.578125,2.4,0.06431185987312342,Energy distance
qk_mmd_zz,10,0.8444609375000001,15.55390625,0.440625,2.0,6.99928849991411,QK-MMD ZZ
no_adaptation,10,0.8400546875,15.99453125,0.0,0.0,0.0,No adaptation
