scenario,method_a,method_b,metric,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,ci_excludes_zero_positive,ci_excludes_zero_negative
UNSW-NB15 DoS,QK-MMD PauliXZ,Energy distance,mean_balanced_accuracy,10,0.0037812500000000025,-0.0029613281249999935,0.010664453124999999,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,Energy distance,cumulative_error_area,10,-0.378125,-1.0664453125,0.2961328124999994,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,Energy distance,cumulative_gain_vs_no_adapt,10,0.378125,-0.29613281249999995,1.0664453124999995,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,Energy distance,n_adaptations,10,-0.2,-0.8,0.3,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,Energy distance,detector_runtime_sec_total,10,7.218161459849216,6.971818018927588,7.4702063600765545,True,False
UNSW-NB15 DoS,QK-MMD PauliXZ,MMD-RBF,mean_balanced_accuracy,10,6.249999999998756e-05,-0.0111955078125,0.00900781249999999,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,MMD-RBF,cumulative_error_area,10,-0.00625,-0.90078125,1.1195507812499998,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,MMD-RBF,cumulative_gain_vs_no_adapt,10,0.00625,-1.11955078125,0.90078125,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,MMD-RBF,n_adaptations,10,0.6,0.1,1.1,True,False
UNSW-NB15 DoS,QK-MMD PauliXZ,MMD-RBF,detector_runtime_sec_total,10,3.309687539585866,2.880234549756278,3.749759909665444,True,False
UNSW-NB15 DoS,QK-MMD PauliXZ,KS-max,mean_balanced_accuracy,10,-0.004335937500000009,-0.014437500000000002,0.00536718749999997,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,KS-max,cumulative_error_area,10,0.43359375,-0.53671875,1.44375,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,KS-max,cumulative_gain_vs_no_adapt,10,-0.43359375,-1.44375,0.53671875,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,KS-max,n_adaptations,10,-0.2,-0.8,0.3,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,KS-max,detector_runtime_sec_total,10,7.0239099896280095,6.778032405184349,7.27891662449576,True,False
UNSW-NB15 DoS,QK-MMD PauliXZ,JSD,mean_balanced_accuracy,10,-0.002664062499999997,-0.014085937499999989,0.0075476562499999745,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,JSD,cumulative_error_area,10,0.26640625,-0.7547656249999999,1.40859375,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,JSD,cumulative_gain_vs_no_adapt,10,-0.26640625,-1.40859375,0.7547656249999988,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,JSD,n_adaptations,10,0.1,-0.2,0.4,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,JSD,detector_runtime_sec_total,10,7.257900919904932,7.010082140443847,7.511694078355212,True,False
UNSW-NB15 DoS,QK-MMD PauliXZ,QK-MMD ZZ,mean_balanced_accuracy,10,0.005156249999999985,-0.007258007812500027,0.017695312499999994,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,QK-MMD ZZ,cumulative_error_area,10,-0.515625,-1.76953125,0.7258007812499998,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,QK-MMD ZZ,cumulative_gain_vs_no_adapt,10,0.515625,-0.72580078125,1.76953125,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,QK-MMD ZZ,n_adaptations,10,0.2,-0.2,0.6,False,False
UNSW-NB15 DoS,QK-MMD PauliXZ,QK-MMD ZZ,detector_runtime_sec_total,10,0.2831848198082298,0.18902195339847822,0.37351992227951997,True,False
