detector,regime,term,beta,ci_lo,ci_hi,n,ci_source
ks,portscan,deg_pre5,-1.0975,-1.5088,-0.6862,96,mixedlm
ks,portscan,score,-0.1251,-0.6484,0.3981,96,mixedlm
ks,portscan,severity_t,-0.1488,-0.8053,0.5077,96,mixedlm
ks,portscan,window_idx,0.0024,-0.0056,0.0105,96,mixedlm
ks,portscan,VIF_deg_pre5,1.03,,,96,vif
ks,portscan,VIF_score,1.08,,,96,vif
ks,portscan,VIF_severity_t,165.84,,,96,vif
ks,portscan,VIF_window_idx,167.04,,,96,vif
ks,unsw_recon,deg_pre5,-0.4325,-0.6694,-0.1955,78,mixedlm
ks,unsw_recon,score,0.068,-0.0896,0.2256,78,mixedlm
ks,unsw_recon,severity_t,0.0912,-0.1085,0.2909,78,mixedlm
ks,unsw_recon,window_idx,-0.0008,-0.0032,0.0016,78,mixedlm
ks,unsw_recon,VIF_deg_pre5,2.36,,,78,vif
ks,unsw_recon,VIF_score,1.0,,,78,vif
ks,unsw_recon,VIF_severity_t,165.23,,,78,vif
ks,unsw_recon,VIF_window_idx,161.47,,,78,vif
ks,ton_scanning,deg_pre5,-1.148,-1.3682,-0.8898,76,cluster_boot_ols
ks,ton_scanning,score,0.014,-0.5764,0.6043,76,mixedlm
ks,ton_scanning,severity_t,-0.3534,-1.1994,0.4927,76,mixedlm
ks,ton_scanning,window_idx,0.0048,-0.0055,0.015,76,mixedlm
ks,ton_scanning,VIF_deg_pre5,1.09,,,76,vif
ks,ton_scanning,VIF_score,1.04,,,76,vif
ks,ton_scanning,VIF_severity_t,226.59,,,76,vif
ks,ton_scanning,VIF_window_idx,225.58,,,76,vif
ks,POOLED,deg_pre5,-1.0195,-1.609,-0.43,250,mixedlm
ks,POOLED,score,-0.0335,-0.3431,0.276,250,mixedlm
ks,POOLED,severity_t,-0.1079,-0.4693,0.2535,250,mixedlm
ks,POOLED,window_idx,0.0017,-0.0027,0.0061,250,mixedlm
ks,POOLED,VIF_deg_pre5,1.02,,,250,vif
ks,POOLED,VIF_score,1.01,,,250,vif
ks,POOLED,VIF_severity_t,174.5,,,250,vif
ks,POOLED,VIF_window_idx,174.37,,,250,vif
ks,POOLED,deg_pre5_randslope,-0.9245,-1.295,-0.554,250,mixedlm_randslope
qk,portscan,deg_pre5,-1.0741,-1.3188,-0.8295,132,mixedlm
qk,portscan,score,5.4929,0.27,10.7158,132,mixedlm
qk,portscan,severity_t,-0.1701,-0.7069,0.3668,132,mixedlm
qk,portscan,window_idx,0.0028,-0.0037,0.0092,132,mixedlm
qk,portscan,VIF_deg_pre5,1.02,,,132,vif
qk,portscan,VIF_score,1.02,,,132,vif
qk,portscan,VIF_severity_t,105.92,,,132,vif
qk,portscan,VIF_window_idx,105.98,,,132,vif
qk,unsw_recon,deg_pre5,-0.3787,-0.5779,-0.1711,79,cluster_boot_ols
qk,unsw_recon,score,0.2499,-1.6363,2.1362,79,mixedlm
qk,unsw_recon,severity_t,0.0784,-0.0263,0.1832,79,mixedlm
qk,unsw_recon,window_idx,-0.0006,-0.0016,0.0005,79,mixedlm
qk,unsw_recon,VIF_deg_pre5,2.16,,,79,vif
qk,unsw_recon,VIF_score,1.02,,,79,vif
qk,unsw_recon,VIF_severity_t,66.2,,,79,vif
qk,unsw_recon,VIF_window_idx,59.38,,,79,vif
qk,ton_scanning,deg_pre5,-0.9881,-1.2684,-0.7077,100,mixedlm
qk,ton_scanning,score,2.2989,-1.8009,6.3988,100,mixedlm
qk,ton_scanning,severity_t,0.0077,-0.3977,0.413,100,mixedlm
qk,ton_scanning,window_idx,0.0,-0.0047,0.0048,100,mixedlm
qk,ton_scanning,VIF_deg_pre5,1.06,,,100,vif
qk,ton_scanning,VIF_score,1.05,,,100,vif
qk,ton_scanning,VIF_severity_t,55.59,,,100,vif
qk,ton_scanning,VIF_window_idx,55.57,,,100,vif
qk,POOLED,deg_pre5,-0.8905,-1.1246,-0.6565,311,mixedlm
qk,POOLED,score,3.705,0.8476,6.5625,311,mixedlm
qk,POOLED,severity_t,-0.0317,-0.2871,0.2238,311,mixedlm
qk,POOLED,window_idx,0.0007,-0.0023,0.0037,311,mixedlm
qk,POOLED,VIF_deg_pre5,1.05,,,311,vif
qk,POOLED,VIF_score,1.03,,,311,vif
qk,POOLED,VIF_severity_t,65.91,,,311,vif
qk,POOLED,VIF_window_idx,65.83,,,311,vif
qk,POOLED,deg_pre5_randslope,-0.6049,,,311,mixedlm_randslope_NOCONV
