severity,method,traffic_volume,window_size,estimated_total_windows,post_alarm_rate,false_alarm_rate,clean_adaptation_gain,degradation_area,detected_drift_flow_equiv,missed_drift_flow_equiv,scaled_clean_gain_units,scaled_degradation_units,post_alarm_delta_vs_mmd,false_alarm_delta_vs_mmd,clean_gain_delta_vs_mmd,degradation_area_delta_vs_mmd,additional_detected_flow_equiv_vs_mmd,clean_gain_units_delta_vs_mmd,degradation_units_saved_vs_mmd,false_alarm_flow_equiv_delta_vs_mmd,quantum_candidate_zone,quantum_strong_operational_zone,quantum_strict_operational_zone
0.75,QK-MMD PauliXZ,10000000,128,78125.0,0.3583333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,3583333.333333333,6416666.666666667,1908723.958333333,353385.416666666,0.08166666666666667,0.0,7.812499999998446e-05,0.0,816666.6666666666,781.2499999998446,0.0,0.0,True,True,True
0.75,QK-MMD PauliXZ,100000000,128,781250.0,0.3583333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,35833333.33333333,64166666.66666667,19087239.58333333,3533854.16666666,0.08166666666666667,0.0,7.812499999998446e-05,0.0,8166666.666666667,7812.499999998446,0.0,0.0,True,True,True
0.75,QK-MMD ZZ,10000000,128,78125.0,0.3483333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,3483333.3333333326,6516666.666666667,1908723.958333333,353385.416666666,0.07166666666666666,0.0,7.812499999998446e-05,0.0,716666.6666666665,781.2499999998446,0.0,0.0,True,True,True
0.75,QK-MMD ZZ,100000000,128,781250.0,0.3483333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,34833333.33333333,65166666.66666667,19087239.58333333,3533854.16666666,0.07166666666666666,0.0,7.812499999998446e-05,0.0,7166666.666666666,7812.499999998446,0.0,0.0,True,True,True
1.0,QK-MMD PauliXZ,1000000,128,7812.5,0.7566666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,756666.6666666667,243333.33333333328,259648.4375,46888.0208333333,0.3366666666666667,-0.0333333333333333,0.008528645833333404,0.0,336666.66666666674,8528.645833333403,0.0,-33333.3333333333,True,True,True
1.0,QK-MMD PauliXZ,10000000,128,78125.0,0.7566666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,7566666.666666667,2433333.333333333,2596484.375,468880.208333333,0.3366666666666667,-0.0333333333333333,0.008528645833333404,0.0,3366666.6666666674,85286.45833333404,0.0,-333333.33333333296,True,True,True
1.0,QK-MMD PauliXZ,100000000,128,781250.0,0.7566666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,75666666.66666667,24333333.33333333,25964843.75,4688802.08333333,0.3366666666666667,-0.0333333333333333,0.008528645833333404,0.0,33666666.66666667,852864.5833333404,0.0,-3333333.3333333298,True,True,True
1.0,QK-MMD ZZ,1000000,128,7812.5,0.7266666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,726666.6666666666,273333.3333333333,259648.4375,46888.0208333333,0.3066666666666667,-0.0333333333333333,0.008528645833333404,0.0,306666.6666666667,8528.645833333403,0.0,-33333.3333333333,True,True,True
1.0,QK-MMD ZZ,10000000,128,78125.0,0.7266666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,7266666.666666667,2733333.333333333,2596484.375,468880.208333333,0.3066666666666667,-0.0333333333333333,0.008528645833333404,0.0,3066666.666666667,85286.45833333404,0.0,-333333.33333333296,True,True,True
1.0,QK-MMD ZZ,100000000,128,781250.0,0.7266666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,72666666.66666667,27333333.333333332,25964843.75,4688802.08333333,0.3066666666666667,-0.0333333333333333,0.008528645833333404,0.0,30666666.66666667,852864.5833333404,0.0,-3333333.3333333298,True,True,True
