severity,method,traffic_volume,window_size,estimated_total_windows,post_alarm_rate,false_alarm_rate,clean_adaptation_gain,degradation_area,detected_drift_flow_equiv,missed_drift_flow_equiv,scaled_clean_gain_units,scaled_degradation_units,post_alarm_delta_vs_mmd,false_alarm_delta_vs_mmd,clean_gain_delta_vs_mmd,degradation_area_delta_vs_mmd,additional_detected_flow_equiv_vs_mmd,clean_gain_units_delta_vs_mmd,degradation_units_saved_vs_mmd,false_alarm_flow_equiv_delta_vs_mmd,quantum_candidate_zone,quantum_strong_operational_zone,quantum_strict_operational_zone
0.5,QK-MMD PauliXZ,10000000,128,78125.0,0.2766666666666666,0.0333333333333333,0.1214973958333332,0.0224479166666666,2766666.666666666,7233333.333333334,1214973.958333332,224479.166666666,0.060000000000000026,0.0333333333333333,-0.005208333333333384,0.001067708333333299,600000.0000000002,-52083.333333333845,-10677.08333333299,333333.33333333296,True,True,False
0.5,QK-MMD ZZ,10000000,128,78125.0,0.27,0.0333333333333333,0.1212499999999999,0.0226953125,2700000.0,7300000.0,1212499.999999999,226953.12499999997,0.05333333333333343,0.0333333333333333,-0.005455729166666687,0.0013151041666666988,533333.3333333343,-54557.29166666687,-13151.041666666988,333333.33333333296,True,True,False
0.5,QK-MMD PauliXZ,100000000,128,781250.0,0.2766666666666666,0.0333333333333333,0.1214973958333332,0.0224479166666666,27666666.66666666,72333333.33333334,12149739.58333332,2244791.66666666,0.060000000000000026,0.0333333333333333,-0.005208333333333384,0.001067708333333299,6000000.000000003,-520833.33333333844,-106770.8333333299,3333333.3333333298,True,True,False
0.5,QK-MMD ZZ,100000000,128,781250.0,0.27,0.0333333333333333,0.1212499999999999,0.0226953125,27000000.0,73000000.0,12124999.99999999,2269531.25,0.05333333333333343,0.0333333333333333,-0.005455729166666687,0.0013151041666666988,5333333.333333342,-545572.9166666687,-131510.4166666699,3333333.3333333298,True,True,False
0.75,QK-MMD PauliXZ,10000000,128,78125.0,0.3583333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,3583333.333333333,6416666.666666667,1908723.958333333,353385.416666666,0.08166666666666667,0.0,7.812499999998446e-05,0.0,816666.6666666666,781.2499999998446,0.0,0.0,True,True,True
0.75,QK-MMD ZZ,10000000,128,78125.0,0.3483333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,3483333.3333333326,6516666.666666667,1908723.958333333,353385.416666666,0.07166666666666666,0.0,7.812499999998446e-05,0.0,716666.6666666665,781.2499999998446,0.0,0.0,True,True,True
0.75,QK-MMD PauliXZ,100000000,128,781250.0,0.3583333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,35833333.33333333,64166666.66666667,19087239.58333333,3533854.16666666,0.08166666666666667,0.0,7.812499999998446e-05,0.0,8166666.666666667,7812.499999998446,0.0,0.0,True,True,True
0.75,QK-MMD ZZ,100000000,128,781250.0,0.3483333333333333,0.0333333333333333,0.1908723958333333,0.0353385416666666,34833333.33333333,65166666.66666667,19087239.58333333,3533854.16666666,0.07166666666666666,0.0,7.812499999998446e-05,0.0,7166666.666666666,7812.499999998446,0.0,0.0,True,True,True
1.0,QK-MMD PauliXZ,1000000,128,7812.5,0.7566666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,756666.6666666667,243333.33333333328,259648.4375,46888.0208333333,0.3366666666666667,-0.0333333333333333,0.008528645833333404,0.0,336666.66666666674,8528.645833333403,0.0,-33333.3333333333,True,True,True
1.0,QK-MMD ZZ,1000000,128,7812.5,0.7266666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,726666.6666666666,273333.3333333333,259648.4375,46888.0208333333,0.3066666666666667,-0.0333333333333333,0.008528645833333404,0.0,306666.6666666667,8528.645833333403,0.0,-33333.3333333333,True,True,True
1.0,QK-MMD PauliXZ,10000000,128,78125.0,0.7566666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,7566666.666666667,2433333.333333333,2596484.375,468880.208333333,0.3366666666666667,-0.0333333333333333,0.008528645833333404,0.0,3366666.6666666674,85286.45833333404,0.0,-333333.33333333296,True,True,True
1.0,QK-MMD ZZ,10000000,128,78125.0,0.7266666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,7266666.666666667,2733333.333333333,2596484.375,468880.208333333,0.3066666666666667,-0.0333333333333333,0.008528645833333404,0.0,3066666.666666667,85286.45833333404,0.0,-333333.33333333296,True,True,True
1.0,QK-MMD PauliXZ,100000000,128,781250.0,0.7566666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,75666666.66666667,24333333.33333333,25964843.75,4688802.08333333,0.3366666666666667,-0.0333333333333333,0.008528645833333404,0.0,33666666.66666667,852864.5833333404,0.0,-3333333.3333333298,True,True,True
1.0,QK-MMD ZZ,100000000,128,781250.0,0.7266666666666667,0.0333333333333333,0.2596484375,0.0468880208333333,72666666.66666667,27333333.333333332,25964843.75,4688802.08333333,0.3066666666666667,-0.0333333333333333,0.008528645833333404,0.0,30666666.66666667,852864.5833333404,0.0,-3333333.3333333298,True,True,True
0.5,QK-MMD PauliXZ,10000,128,78.125,0.2766666666666666,0.0333333333333333,0.1214973958333332,0.0224479166666666,2766.666666666666,7233.333333333334,1214.9739583333321,224.47916666666598,0.060000000000000026,0.0333333333333333,-0.005208333333333384,0.001067708333333299,600.0000000000002,-52.08333333333384,-10.67708333333299,333.333333333333,True,False,False
0.5,QK-MMD ZZ,10000,128,78.125,0.27,0.0333333333333333,0.1212499999999999,0.0226953125,2700.0,7300.0,1212.499999999999,226.95312499999997,0.05333333333333343,0.0333333333333333,-0.005455729166666687,0.0013151041666666988,533.3333333333343,-54.55729166666687,-13.151041666666988,333.333333333333,True,False,False
0.5,QK-MMD PauliXZ,100000,128,781.25,0.2766666666666666,0.0333333333333333,0.1214973958333332,0.0224479166666666,27666.66666666666,72333.33333333334,12149.73958333332,2244.7916666666597,0.060000000000000026,0.0333333333333333,-0.005208333333333384,0.001067708333333299,6000.000000000003,-520.8333333333384,-106.7708333333299,3333.33333333333,True,False,False
