experiment_block,severity,method_a,method_b,metric,traffic_volume,mean_diff_a_minus_b,ci95_low,ci95_high,scaled_mean_diff,scaled_ci95_low,scaled_ci95_high,prob_diff_gt_0
downstream_global,0.25,No adaptation,MMD-RBF,degradation_area,1000000,0.0438151041666666,0.0352600911458333,0.0518880208333333,43815.1041666666,35260.0911458333,51888.0208333333,0.8333333333333334
downstream_global,0.25,No adaptation,MMD-RBF,degradation_area,10000000,0.0438151041666666,0.0352600911458333,0.0518880208333333,438151.041666666,352600.91145833296,518880.20833333296,0.8333333333333334
downstream_global,0.25,No adaptation,MMD-RBF,degradation_area,100000000,0.0438151041666666,0.0352600911458333,0.0518880208333333,4381510.4166666595,3526009.1145833298,5188802.08333333,0.8333333333333334
downstream_global,0.25,No adaptation,QK-MMD ZZ,degradation_area,1000000,0.0231770833333333,0.01375,0.0330472005208333,23177.0833333333,13750.0,33047.2005208333,0.4333333333333333
downstream_global,0.25,No adaptation,QK-MMD ZZ,degradation_area,10000000,0.0231770833333333,0.01375,0.0330472005208333,231770.833333333,137500.0,330472.00520833296,0.4333333333333333
downstream_global,0.25,No adaptation,QK-MMD ZZ,degradation_area,100000000,0.0231770833333333,0.01375,0.0330472005208333,2317708.3333333298,1375000.0,3304720.0520833298,0.4333333333333333
downstream_global,0.25,No adaptation,QK-MMD PauliXZ,degradation_area,1000000,0.0233203125,0.0137106119791666,0.0331383463541666,23320.3125,13710.611979166599,33138.3463541666,0.4333333333333333
downstream_global,0.25,No adaptation,QK-MMD PauliXZ,degradation_area,10000000,0.0233203125,0.0137106119791666,0.0331383463541666,233203.125,137106.119791666,331383.463541666,0.4333333333333333
downstream_global,0.25,No adaptation,QK-MMD PauliXZ,degradation_area,100000000,0.0233203125,0.0137106119791666,0.0331383463541666,2332031.25,1371061.19791666,3313834.63541666,0.4333333333333333
downstream_global,1.0,No adaptation,MMD-RBF,degradation_area,1000000,0.2684114583333334,0.2635807291666667,0.2748307291666667,268411.45833333343,263580.7291666667,274830.7291666667,1.0
downstream_global,1.0,No adaptation,MMD-RBF,degradation_area,10000000,0.2684114583333334,0.2635807291666667,0.2748307291666667,2684114.583333334,2635807.291666667,2748307.291666667,1.0
downstream_global,1.0,No adaptation,MMD-RBF,degradation_area,100000000,0.2684114583333334,0.2635807291666667,0.2748307291666667,26841145.83333334,26358072.916666668,27483072.916666668,1.0
downstream_global,1.0,No adaptation,QK-MMD ZZ,degradation_area,1000000,0.2684114583333334,0.2636324869791666,0.2748577473958334,268411.45833333343,263632.48697916657,274857.74739583343,1.0
downstream_global,1.0,No adaptation,QK-MMD ZZ,degradation_area,10000000,0.2684114583333334,0.2636324869791666,0.2748577473958334,2684114.583333334,2636324.8697916656,2748577.473958334,1.0
downstream_global,1.0,No adaptation,QK-MMD ZZ,degradation_area,100000000,0.2684114583333334,0.2636324869791666,0.2748577473958334,26841145.83333334,26363248.697916657,27485774.73958334,1.0
downstream_global,1.0,No adaptation,QK-MMD PauliXZ,degradation_area,1000000,0.2684114583333334,0.2634368489583333,0.27515625,268411.45833333343,263436.8489583333,275156.25,1.0
downstream_global,1.0,No adaptation,QK-MMD PauliXZ,degradation_area,10000000,0.2684114583333334,0.2634368489583333,0.27515625,2684114.583333334,2634368.489583333,2751562.5,1.0
downstream_global,1.0,No adaptation,QK-MMD PauliXZ,degradation_area,100000000,0.2684114583333334,0.2634368489583333,0.27515625,26841145.83333334,26343684.895833332,27515625.0,1.0
downstream_global,0.25,MMD-RBF,QK-MMD PauliXZ,clean_adaptation_gain,1000000,0.0224999999999999,0.0130986328124999,0.0318232421874999,22499.999999999898,13098.6328124999,31823.242187499898,0.6333333333333333
downstream_global,0.25,MMD-RBF,QK-MMD PauliXZ,clean_adaptation_gain,10000000,0.0224999999999999,0.0130986328124999,0.0318232421874999,224999.99999999898,130986.328124999,318232.421874999,0.6333333333333333
downstream_global,0.25,MMD-RBF,QK-MMD PauliXZ,clean_adaptation_gain,100000000,0.0224999999999999,0.0130986328124999,0.0318232421874999,2249999.9999999898,1309863.28124999,3182324.2187499898,0.6333333333333333
downstream_global,0.25,MMD-RBF,QK-MMD ZZ,clean_adaptation_gain,1000000,0.0226432291666666,0.0127073567708333,0.0320966796874999,22643.229166666602,12707.3567708333,32096.6796874999,0.6333333333333333
downstream_global,0.25,MMD-RBF,QK-MMD ZZ,clean_adaptation_gain,10000000,0.0226432291666666,0.0127073567708333,0.0320966796874999,226432.29166666602,127073.567708333,320966.796874999,0.6333333333333333
downstream_global,0.25,MMD-RBF,QK-MMD ZZ,clean_adaptation_gain,100000000,0.0226432291666666,0.0127073567708333,0.0320966796874999,2264322.91666666,1270735.67708333,3209667.96874999,0.6333333333333333
downstream_global,1.0,QK-MMD PauliXZ,MMD-RBF,clean_adaptation_gain,1000000,0.0085286458333333,-0.0177604166666666,0.0348177083333333,8528.6458333333,-17760.416666666602,34817.7083333333,0.0666666666666666
downstream_global,1.0,QK-MMD PauliXZ,MMD-RBF,clean_adaptation_gain,10000000,0.0085286458333333,-0.0177604166666666,0.0348177083333333,85286.458333333,-177604.16666666602,348177.083333333,0.0666666666666666
downstream_global,1.0,QK-MMD PauliXZ,MMD-RBF,clean_adaptation_gain,100000000,0.0085286458333333,-0.0177604166666666,0.0348177083333333,852864.58333333,-1776041.6666666602,3481770.83333333,0.0666666666666666
downstream_global,1.0,QK-MMD ZZ,MMD-RBF,clean_adaptation_gain,1000000,0.0085286458333333,-0.0177604166666666,0.0350520833333333,8528.6458333333,-17760.416666666602,35052.08333333331,0.0666666666666666
downstream_global,1.0,QK-MMD ZZ,MMD-RBF,clean_adaptation_gain,10000000,0.0085286458333333,-0.0177604166666666,0.0350520833333333,85286.458333333,-177604.16666666602,350520.833333333,0.0666666666666666
downstream_global,1.0,QK-MMD ZZ,MMD-RBF,clean_adaptation_gain,100000000,0.0085286458333333,-0.0177604166666666,0.0350520833333333,852864.58333333,-1776041.6666666602,3505208.33333333,0.0666666666666666
hybrid_selected,0.25,Hybrid OR,MMD-RBF,clean_adaptation_gain,1000000,0.0016145833333333,-0.0011070963541666,0.0052086588541666,1614.5833333332998,-1107.0963541666001,5208.6588541666,0.1666666666666666
hybrid_selected,0.25,Hybrid OR,MMD-RBF,clean_adaptation_gain,10000000,0.0016145833333333,-0.0011070963541666,0.0052086588541666,16145.833333333,-11070.963541666,52086.588541666,0.1666666666666666
hybrid_selected,0.25,Hybrid OR,MMD-RBF,clean_adaptation_gain,100000000,0.0016145833333333,-0.0011070963541666,0.0052086588541666,161458.33333333,-110709.63541666,520865.88541666,0.1666666666666666
hybrid_selected,1.0,QK-MMD PauliXZ,Hybrid OR,clean_adaptation_gain,1000000,0.0261067708333333,0.0,0.0602734375,26106.7708333333,0.0,60273.4375,0.1
hybrid_selected,1.0,QK-MMD PauliXZ,Hybrid OR,clean_adaptation_gain,10000000,0.0261067708333333,0.0,0.0602734375,261067.708333333,0.0,602734.375,0.1
hybrid_selected,1.0,QK-MMD PauliXZ,Hybrid OR,clean_adaptation_gain,100000000,0.0261067708333333,0.0,0.0602734375,2610677.0833333298,0.0,6027343.75,0.1
