scenario,method_a,method_b,metric,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,prob_diff_gt_0,positive_means,ci_excludes_zero_positive
PortScan,QK-MMD PauliXZ,QK-MMD ZZ,cumulative_error_area,30,0.8346354166666666,0.051555989583333336,1.9109440104166666,0.5666666666666667,QK-MMD ZZ lower degradation,True
PortScan,QK-MMD ZZ,QK-MMD PauliXZ,cumulative_gain_vs_no_adapt,30,0.8346354166666666,0.051555989583333336,1.9109440104166666,0.5666666666666667,QK-MMD ZZ higher gain,True
PortScan,QK-MMD PauliXZ,QK-MMD ZZ,n_adaptations,30,0.1,-0.06666666666666667,0.3,0.13333333333333333,QK-MMD ZZ fewer readaptations,False
PortScan,QK-MMD ZZ,QK-MMD PauliXZ,adaptation_efficiency,30,0.28677083333333336,0.06532042100694445,0.5870871310763889,0.6333333333333333,QK-MMD ZZ better adaptation efficiency,True
PortScan,QK-MMD ZZ,QK-MMD PauliXZ,detector_runtime_sec_total,30,-0.29239393658159923,-0.3352754575391494,-0.2516479787837792,0.0,QK-MMD ZZ more expensive,False
DDoS,QK-MMD ZZ,Energy distance,mean_balanced_accuracy,30,0.0018541666666666715,-0.005434960937499986,0.009203124999999994,0.6,QK-MMD ZZ better accuracy,False
DDoS,Energy distance,QK-MMD ZZ,cumulative_error_area,30,0.18541666666666667,-0.54349609375,0.9203125,0.6,QK-MMD ZZ lower degradation,False
DDoS,QK-MMD ZZ,Energy distance,cumulative_gain_vs_no_adapt,30,0.18541666666666667,-0.54349609375,0.9203125,0.6,QK-MMD ZZ higher gain,False
DDoS,Energy distance,QK-MMD ZZ,n_adaptations,30,1.8333333333333333,1.5333333333333334,2.1333333333333333,0.9666666666666667,QK-MMD ZZ fewer readaptations,True
DDoS,QK-MMD ZZ,Energy distance,adaptation_efficiency,30,1.9358587549603175,1.5961638454861107,2.3003965153769843,1.0,QK-MMD ZZ better adaptation efficiency,True
DDoS,QK-MMD ZZ,Energy distance,detector_runtime_sec_total,30,6.0303296068877295,5.959551014051928,6.099601214422922,1.0,QK-MMD ZZ more expensive,True
DDoS,QK-MMD ZZ,JSD,mean_balanced_accuracy,30,0.003244791666666665,-0.003250390625000008,0.011086002604166664,0.5333333333333333,QK-MMD ZZ better accuracy,False
DDoS,JSD,QK-MMD ZZ,cumulative_error_area,30,0.32447916666666665,-0.3250390625,1.1086002604166667,0.5333333333333333,QK-MMD ZZ lower degradation,False
DDoS,QK-MMD ZZ,JSD,cumulative_gain_vs_no_adapt,30,0.32447916666666665,-0.3250390625,1.1086002604166667,0.5333333333333333,QK-MMD ZZ higher gain,False
DDoS,JSD,QK-MMD ZZ,n_adaptations,30,0.5666666666666667,0.3,0.8333333333333334,0.4666666666666667,QK-MMD ZZ fewer readaptations,True
DDoS,QK-MMD ZZ,JSD,adaptation_efficiency,30,0.7715711805555556,0.3687274305555557,1.1838619791666667,0.7333333333333333,QK-MMD ZZ better adaptation efficiency,True
DDoS,QK-MMD ZZ,JSD,detector_runtime_sec_total,30,6.056223210242266,5.9852593935353795,6.125833151831757,1.0,QK-MMD ZZ more expensive,True
DDoS,QK-MMD ZZ,KS-max,mean_balanced_accuracy,30,0.00912500000000001,-0.0013802083333333253,0.020906315104166674,0.5,QK-MMD ZZ better accuracy,False
DDoS,KS-max,QK-MMD ZZ,cumulative_error_area,30,0.9125,-0.13802083333333334,2.090631510416667,0.5,QK-MMD ZZ lower degradation,False
DDoS,QK-MMD ZZ,KS-max,cumulative_gain_vs_no_adapt,30,0.9125,-0.13802083333333334,2.090631510416667,0.5,QK-MMD ZZ higher gain,False
DDoS,KS-max,QK-MMD ZZ,n_adaptations,30,0.23333333333333334,-0.06666666666666667,0.5333333333333333,0.36666666666666664,QK-MMD ZZ fewer readaptations,False
DDoS,QK-MMD ZZ,KS-max,adaptation_efficiency,30,0.5928124999999999,0.019226128472222187,1.1574587673611105,0.6333333333333333,QK-MMD ZZ better adaptation efficiency,True
DDoS,QK-MMD ZZ,KS-max,detector_runtime_sec_total,30,5.913560153454697,5.8423982525193905,5.983290467806122,1.0,QK-MMD ZZ more expensive,True
