scenario,baseline,lambda_cost,gamma_cost,mean_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
Wednesday,Energy distance,0.0,0.0,0.01015625,-0.5654036458333332,0.6521093749999997,0.4,False
Wednesday,JSD,0.0,0.0,0.38333333333333336,-0.26875651041666665,1.2677213541666665,0.6,False
Wednesday,KS-max,0.0,0.0,0.7609375,-0.04375,1.890130208333333,0.5,False
Wednesday,MMD-RBF,0.0,0.0,0.4921875,-0.16745442708333333,1.3018424479166664,0.5,False
Wednesday,QK-MMD PauliXZ,0.0,0.0,0.63515625,-0.12395833333333334,1.593509114583333,0.5,False
Wednesday,Energy distance,0.0,0.01,-0.04979815043190792,-0.6258486434259704,0.5928502958775467,0.4,False
Wednesday,JSD,0.0,0.01,0.32306078023265594,-0.3292986983126454,1.207328995151509,0.6,False
Wednesday,KS-max,0.0,0.01,0.7024756706321686,-0.10218602156216434,1.8315285235644252,0.4666666666666667,False
Wednesday,MMD-RBF,0.0,0.01,0.44808075159892913,-0.2115764077162727,1.257242717286595,0.5,False
Wednesday,QK-MMD PauliXZ,0.0,0.01,0.6388293847662477,-0.12022622225230836,1.5973230134397791,0.5,False
Wednesday,Energy distance,0.0,0.05,-0.2896157521595403,-0.8675520808836978,0.35654417267904503,0.3333333333333333,False
Wednesday,JSD,0.0,0.05,0.08197056782994559,-0.5695346275425014,0.9658823151615406,0.4666666666666667,False
Wednesday,KS-max,0.0,0.05,0.46862835316084467,-0.33515362894971645,1.5970864792148287,0.43333333333333335,False
Wednesday,MMD-RBF,0.0,0.05,0.27165375799464525,-0.38727707182780424,1.081878054228112,0.43333333333333335,False
Wednesday,QK-MMD PauliXZ,0.0,0.05,0.6535219238312372,-0.10530413618321922,1.6125786088655634,0.5,False
Wednesday,Energy distance,0.0,0.1,-0.5893877543190806,-1.169284001538103,0.05770752870449512,0.3333333333333333,False
Wednesday,JSD,0.0,0.1,-0.21939219767344198,-0.8713820067897422,0.6637977640150926,0.2,False
Wednesday,KS-max,0.0,0.1,0.17631920632168965,-0.628274911662001,1.3067403009776701,0.26666666666666666,False
Wednesday,MMD-RBF,0.0,0.1,0.051120015989290536,-0.6073687083985813,0.860637097672627,0.4,False
