method,n_seeds,mean_balanced_accuracy,std_balanced_accuracy,cumulative_error_area_mean,cumulative_error_area_std,mean_gain_vs_no_adapt,cumulative_gain_vs_no_adapt_mean,n_adaptations_mean,false_adaptations_mean,first_adaptation_window_mean,alarm_rate_mean,trigger_rate_mean,detector_runtime_sec_total_mean,fit_runtime_sec_total_mean,adaptation_efficiency_mean,adaptation_efficiency_std,scenario,method_label
energy_distance,30,0.8847239583333334,0.0190439504563857,11.527604166666666,1.9043950456385692,0.1187916666666666,11.879166666666666,5.266666666666667,0.1666666666666666,11.966666666666669,0.3426666666666666,0.0526666666666666,0.0532729068732199,0.0462342366459779,2.3288585069444445,0.6980445232270674,Wednesday,Energy distance
jsd,30,0.8809921875000001,0.0215793029193901,11.90078125,2.1579302919390133,0.1150598958333333,11.505989583333331,3.6,0.0,22.8,0.2606666666666666,0.036,0.0214576399962728,0.0318886300044444,3.2826822916666667,0.9349230727549664,Wednesday,JSD
ks_max,30,0.8772161458333334,0.0283752818809499,12.278385416666667,2.8375281880949936,0.1112838541666666,11.128385416666667,3.466666666666667,0.0,24.766666666666666,0.2526666666666666,0.0346666666666666,0.2025300132809206,0.0312988333442869,3.2641753472222224,0.9026189283871061,Wednesday,KS-max
mmd_rbf,30,0.8799036458333334,0.0207612146918664,12.009635416666669,2.076121469186644,0.1139713541666666,11.397135416666666,4.1,0.0,22.633333333333333,0.2916666666666667,0.041,1.63803810995693,0.0299365866890487,2.8062543402777775,0.6274748844434699,Wednesday,MMD-RBF
no_adaptation,30,0.7659322916666667,0.0112952375116862,23.406770833333333,1.1295237511686165,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Wednesday,No adaptation
qk_mmd_pauli_xz,30,0.8784739583333334,0.0243686418726394,12.152604166666666,2.43686418726394,0.1125416666666666,11.254166666666666,3.2,0.0,29.366666666666667,0.2309999999999999,0.032,6.416026426688768,0.0251106700006251,3.5733506944444446,0.9970000615296742,Wednesday,QK-MMD PauliXZ
qk_mmd_zz,30,0.8848255208333333,0.0108363488382612,11.517447916666669,1.0836348838261267,0.1188932291666666,11.889322916666666,3.1666666666666665,0.0,29.433333333333334,0.2333333333333333,0.0316666666666666,6.048712950064025,0.0230925933341495,3.8807942708333334,0.9959425382407119,Wednesday,QK-MMD ZZ
energy_distance,30,0.9326692708333332,0.0188569382582746,6.733072916666667,1.885693825827467,0.05559375,5.559375,2.7,0.0,31.83333333333333,0.2153333333333333,0.027,0.0555300434740881,0.0184414099940719,2.122677951388889,1.9269658759162416,PortScan,Energy distance
jsd,30,0.9229765625,0.0365149986505272,7.70234375,3.651499865052725,0.0459010416666666,4.590104166666666,3.8666666666666663,0.0,20.933333333333334,0.264,0.0386666666666666,0.021419076664218,0.027892979963993,1.1962890625,1.4954303277102552,PortScan,JSD
ks_max,30,0.9325572916666668,0.0234526166528296,6.744270833333333,2.3452616652829663,0.0554817708333333,5.548177083333333,3.333333333333333,0.0,26.23333333333333,0.2526666666666666,0.0333333333333333,0.1997140533717659,0.0244461800049369,1.6676866319444446,1.575903699904014,PortScan,KS-max
mmd_rbf,30,0.9064765625,0.0596326587782401,9.35234375,5.963265877824008,0.0294010416666666,2.9401041666666665,2.5,0.0333333333333333,38.833333333333336,0.2133333333333333,0.025,1.658448929945007,0.0153184133387791,1.0641927083333333,3.6442752653601596,PortScan,MMD-RBF
no_adaptation,30,0.8770755208333333,0.0553974608798194,12.292447916666667,5.5397460879819445,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,PortScan,No adaptation
qk_mmd_pauli_xz,30,0.9307682291666668,0.0296056187293404,6.923177083333333,2.960561872934042,0.0536927083333333,5.369270833333333,4.166666666666667,0.0,23.03333333333333,0.2623333333333333,0.0416666666666666,6.405552300003667,0.024653139982062,1.2580121527777777,1.2098569939983608,PortScan,QK-MMD PauliXZ
