block,regime,arm,n,gain,lo,hi,commits,drift,no_probe,commit_no_probe,gate_vs_naive,gvn_lo,gvn_hi,gain_512,gain_eps0
cn_fix,portscan,cn_corrected_1overN,30,-9.82,-13.304,-6.728,,,,,,,,,
cn_fix,portscan,cn_buggy_Nprop,30,-9.726,-13.332,-6.478,,,,,,,,,
cn_fix,portscan,C1_observed,30,-7.036,-11.054,-3.457,,,,,,,,,
mcnemar_a10,portscan,mcnemar_a0.10,30,0.0,0.0,0.0,0.0,,,,,,,,
causal_reject,portscan,clean_full_lp32_reject,30,9.582,7.575,11.469,,full,0.867,0.0,0.136,-0.077,0.356,,
causal_reject,portscan,clean_mild_lp32_reject,30,0.036,-0.424,0.489,,mild,0.867,0.0,0.123,-0.38,0.656,,
sizematch_models,portscan,random_forest_sz2000,30,0.008,-0.022,0.036,,,,,,,,-0.327,
sizematch_models,portscan,logreg_sz2000,30,-0.037,-0.165,0.102,,,,,,,,-0.291,
sizematch_models,portscan,mlp_sz2000,30,-0.018,-0.041,0.006,,,,,,,,-0.808,
strict_baseline,portscan,strict_gt,30,-0.128,-0.34,0.0,,,,,,,,,-1.114
cn_fix,unsw_recon,cn_corrected_1overN,30,-0.347,-0.473,-0.236,,,,,,,,,
cn_fix,unsw_recon,cn_buggy_Nprop,30,-0.195,-0.466,0.037,,,,,,,,,
cn_fix,unsw_recon,C1_observed,30,-0.069,-0.219,0.068,,,,,,,,,
mcnemar_a10,unsw_recon,mcnemar_a0.10,30,0.0,0.0,0.0,0.0,,,,,,,,
causal_reject,unsw_recon,clean_full_lp32_reject,30,-0.444,-0.771,-0.14,,full,0.967,0.0,0.222,-0.092,0.564,,
causal_reject,unsw_recon,clean_mild_lp32_reject,30,-0.188,-0.288,-0.084,,mild,1.0,0.0,0.031,-0.08,0.158,,
sizematch_models,unsw_recon,random_forest_sz2000,30,0.06,-0.012,0.133,,,,,,,,-1.06,
sizematch_models,unsw_recon,logreg_sz2000,30,0.015,-0.085,0.11,,,,,,,,-0.08,
sizematch_models,unsw_recon,mlp_sz2000,30,-0.007,-0.085,0.074,,,,,,,,-1.154,
strict_baseline,unsw_recon,strict_gt,30,-0.28,-0.418,-0.152,,,,,,,,,-0.558
cn_fix,ton_scanning,cn_corrected_1overN,30,-10.623,-15.376,-6.304,,,,,,,,,
cn_fix,ton_scanning,cn_buggy_Nprop,30,-10.649,-15.379,-6.433,,,,,,,,,
cn_fix,ton_scanning,C1_observed,30,-9.455,-14.365,-5.058,,,,,,,,,
mcnemar_a10,ton_scanning,mcnemar_a0.10,30,0.0,0.0,0.0,0.0,,,,,,,,
causal_reject,ton_scanning,clean_full_lp32_reject,30,1.268,1.002,1.562,,full,0.633,0.0,3.236,1.677,4.929,,
causal_reject,ton_scanning,clean_mild_lp32_reject,30,0.345,0.141,0.518,,mild,0.567,0.0,1.577,0.401,3.079,,
sizematch_models,ton_scanning,random_forest_sz2000,30,-0.004,-0.034,0.026,,,,,,,,-0.413,
sizematch_models,ton_scanning,logreg_sz2000,30,-0.057,-0.201,0.066,,,,,,,,-0.182,
sizematch_models,ton_scanning,mlp_sz2000,30,-0.084,-0.512,0.361,,,,,,,,-2.155,
strict_baseline,ton_scanning,strict_gt,30,-0.065,-0.217,0.064,,,,,,,,,-0.245
