scenario,policy,candidate_size,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,commits_mean,rejects_mean,labels_probe_mean,labels_monitor_mean,labels_candidate_mean
ps_full,adwin,2000,0.8669921875,0.058724856016312076,0.8273125,0.093328125,0.8508588466760384,0.3333333333333333,0.3333333333333333,0.0,0.0,800.0,1333.3333333333333
ps_full,atc,2000,0.947859375,0.01827703126978335,0.9653020833333333,0.06958333333333333,0.9479955942379443,4.666666666666667,2.533333333333333,2.1333333333333333,0.0,0.0,18666.666666666668
ps_full,atc,512,0.9263593750000001,0.028443358031531977,0.9366979166666667,0.08397916666666667,0.924454323452318,5.0,2.1666666666666665,2.8333333333333335,0.0,0.0,5120.0
ps_full,ddm,2000,0.9464713541666666,0.01340868256413332,0.9786510416666666,0.08570833333333333,0.9480370603446056,1.2,1.2,0.0,0.0,800.0,4800.0
ps_full,doc,2000,0.9284140625,0.04231599181421411,0.9284739583333333,0.07164583333333334,0.9240758422516498,5.533333333333333,1.8666666666666667,3.6666666666666665,0.0,0.0,22133.333333333332
ps_full,doc,512,0.9083098958333333,0.04487016318637427,0.889359375,0.07273958333333333,0.8999222916395383,5.866666666666666,1.5333333333333334,4.333333333333333,0.0,0.0,6007.466666666666
ps_full,enscal,2000,0.9534192708333333,0.012245793450082051,0.9603333333333333,0.053494791666666666,0.9530317404177823,3.466666666666667,3.466666666666667,0.0,0.0,0.0,13866.666666666666
ps_full,enscal,512,0.9496901041666667,0.013774338693411823,0.956703125,0.05732291666666667,0.9492144330322442,3.466666666666667,3.466666666666667,0.0,0.0,0.0,3549.866666666667
ps_full,naive,2000,0.9543098958333334,0.008086730250508342,0.977015625,0.06839583333333334,0.9556315430562207,3.466666666666667,3.466666666666667,0.0,0.0,0.0,13866.666666666666
ps_full,naive,512,0.9445833333333333,0.008252693865851462,0.9714791666666667,0.0823125,0.946502109569561,3.466666666666667,3.466666666666667,0.0,0.0,0.0,3549.866666666667
ps_full,never,n/a,0.8598776041666666,0.06323156735341862,,,0.8417847905671932,0.0,0.0,0.0,0.0,0.0,0.0
ps_full,point,2000,0.9551536458333333,0.007774760228318835,0.9778385416666667,0.06753125,0.9563869702320819,3.933333333333333,3.033333333333333,0.9,125.86666666666666,0.0,15733.333333333334
ps_full,point,512,0.9467734375,0.009652941478940554,0.9737343749999999,0.08018750000000001,0.9485849271698693,4.333333333333333,2.933333333333333,1.4,138.66666666666666,0.0,4437.333333333333
ps_full,replay,2000,0.9453776041666667,0.01009516367687041,0.9844270833333333,0.093671875,0.9478401036496839,3.466666666666667,3.466666666666667,0.0,0.0,0.0,13866.666666666666
ps_full,strict,2000,0.9527005208333333,0.009283852970188227,0.9787864583333333,0.07338541666666668,0.9541207989583559,5.266666666666667,2.1,3.1666666666666665,168.53333333333333,0.0,21066.666666666668
ps_full,strict,512,0.944328125,0.011387091994422427,0.9732395833333333,0.08458333333333333,0.9462135248241345,4.933333333333334,2.066666666666667,2.8666666666666667,157.86666666666667,0.0,5051.733333333334
