contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
ps_zero: atc-2000 vs naive-2000,0.5,primary,0.1331,0.419,True
ps_zero: atc-2000 vs naive-2000,0.2,sensitivity,0.1331,0.419,False
ps_zero: atc-2000 vs naive-2000,1.0,sensitivity,0.1331,0.419,True
unsw_zero: atc-2000 vs naive-2000,0.5,primary,-0.0763,0.0008,True
unsw_zero: atc-2000 vs naive-2000,0.2,sensitivity,-0.0763,0.0008,True
unsw_zero: atc-2000 vs naive-2000,1.0,sensitivity,-0.0763,0.0008,True
ton_zero: atc-2000 vs naive-2000,0.5,primary,-0.0349,0.0229,True
ton_zero: atc-2000 vs naive-2000,0.2,sensitivity,-0.0349,0.0229,True
ton_zero: atc-2000 vs naive-2000,1.0,sensitivity,-0.0349,0.0229,True
ps_full: atc-2000 vs naive-2000,0.5,primary,-1.1951,-0.1714,False
ps_full: atc-2000 vs naive-2000,0.2,sensitivity,-1.1951,-0.1714,False
ps_full: atc-2000 vs naive-2000,1.0,sensitivity,-1.1951,-0.1714,False
unsw_full: atc-2000 vs naive-2000,0.5,primary,-0.3695,-0.0758,True
unsw_full: atc-2000 vs naive-2000,0.2,sensitivity,-0.3695,-0.0758,False
unsw_full: atc-2000 vs naive-2000,1.0,sensitivity,-0.3695,-0.0758,True
ton_full: atc-2000 vs naive-2000,0.5,primary,0.0198,0.1956,True
ton_full: atc-2000 vs naive-2000,0.2,sensitivity,0.0198,0.1956,True
ton_full: atc-2000 vs naive-2000,1.0,sensitivity,0.0198,0.1956,True
ps_zero: doc-2000 vs naive-2000,0.5,primary,0.244,0.5539,False
ps_zero: doc-2000 vs naive-2000,0.2,sensitivity,0.244,0.5539,False
ps_zero: doc-2000 vs naive-2000,1.0,sensitivity,0.244,0.5539,True
unsw_zero: doc-2000 vs naive-2000,0.5,primary,-0.0727,0.0427,True
unsw_zero: doc-2000 vs naive-2000,0.2,sensitivity,-0.0727,0.0427,True
unsw_zero: doc-2000 vs naive-2000,1.0,sensitivity,-0.0727,0.0427,True
ton_zero: doc-2000 vs naive-2000,0.5,primary,0.0057,0.0471,True
ton_zero: doc-2000 vs naive-2000,0.2,sensitivity,0.0057,0.0471,True
ton_zero: doc-2000 vs naive-2000,1.0,sensitivity,0.0057,0.0471,True
ps_full: doc-2000 vs naive-2000,0.5,primary,-3.8698,-1.4128,False
ps_full: doc-2000 vs naive-2000,0.2,sensitivity,-3.8698,-1.4128,False
ps_full: doc-2000 vs naive-2000,1.0,sensitivity,-3.8698,-1.4128,False
unsw_full: doc-2000 vs naive-2000,0.5,primary,-0.8057,-0.3737,False
unsw_full: doc-2000 vs naive-2000,0.2,sensitivity,-0.8057,-0.3737,False
