scenario,policy,candidate_size,d_recall_vs_naive_pp,recall_onesided_lo95,d_fpr_vs_naive_pp,fpr_onesided_hi95,recall_NI_principal,fpr_NI_principal
ton_full,atc,512,-0.1578,-0.2943,-1.125,-0.6182,True,True
ton_full,doc,512,-0.3312,-0.512,-1.8896,-1.2682,True,True
ton_full,enscal,512,-0.2786,-0.4255,-1.8875,-1.3734,True,True
ps_zero,point,2000,0.0151,0.0042,-0.4677,-0.2479,True,True
ps_zero,strict,2000,0.013,-0.0005,-0.7661,-0.4672,True,True
ps_zero,atc,2000,0.013,-0.001,-0.5292,-0.2594,True,True
ps_zero,doc,2000,0.0156,0.0021,-0.7745,-0.4745,True,True
ps_zero,enscal,2000,-0.1859,-0.2495,-3.113,-2.763,True,True
ps_zero,replay,2000,-0.0219,-0.0547,-0.3401,-0.0417,True,True
ps_zero,ddm,2000,-0.0677,-0.1427,-0.3766,0.6958,True,False
ps_zero,adwin,2000,-0.0396,-0.1005,0.4521,1.6536,True,False
ps_zero,point,512,0.0693,0.0302,-1.8359,-1.2125,True,True
ps_zero,strict,512,0.1484,0.0828,-3.7792,-3.0281,True,True
ps_zero,atc,512,0.0745,-0.0031,-3.2292,-2.4807,True,True
ps_zero,doc,512,0.1063,0.0333,-3.7615,-3.0078,True,True
ps_zero,enscal,512,-0.1891,-0.2328,-6.0474,-5.3568,True,True
unsw_zero,point,2000,-0.0203,-0.1005,-0.0516,0.0453,True,True
unsw_zero,strict,2000,-0.1714,-0.4349,-0.1469,0.1344,True,True
unsw_zero,atc,2000,-0.1271,-0.3651,-0.0516,0.2016,True,True
unsw_zero,doc,2000,-0.2406,-0.512,-0.2089,0.1109,True,True
unsw_zero,enscal,2000,-1.6708,-1.8599,-1.775,-1.5593,False,True
unsw_zero,replay,2000,-0.1156,-0.2859,-0.075,0.1719,True,True
unsw_zero,ddm,2000,0.1797,-0.1521,0.3245,0.7109,True,False
unsw_zero,adwin,2000,0.0229,-0.2917,0.1677,0.5234,True,False
unsw_zero,point,512,-0.1516,-0.3271,-0.4333,-0.1557,True,True
unsw_zero,strict,512,-0.449,-0.7354,-1.2531,-0.8672,True,True
unsw_zero,atc,512,-0.4552,-0.6448,-0.9479,-0.6432,True,True
unsw_zero,doc,512,-0.8391,-1.263,-1.6375,-1.1005,False,True
unsw_zero,enscal,512,-2.0021,-2.1839,-2.4031,-2.175,False,True
ton_zero,point,2000,0.0146,0.0,-0.0005,0.0062,True,True
ton_zero,strict,2000,-0.0495,-0.1375,0.0109,0.0552,True,True
ton_zero,atc,2000,0.0021,-0.0427,0.0115,0.0479,True,True
ton_zero,doc,2000,0.0318,-0.0198,-0.0198,0.0099,True,True
ton_zero,enscal,2000,0.0339,-0.026,-0.0109,0.0073,True,True
ton_zero,replay,2000,0.0146,-0.0469,0.0427,0.126,True,True
ton_zero,ddm,2000,0.0484,-0.0708,0.2109,0.6193,True,False
ton_zero,adwin,2000,-0.0292,-0.1193,0.0109,0.0552,True,True
ton_zero,point,512,-0.1109,-0.212,-0.4068,-0.1062,True,True
ton_zero,strict,512,-0.0599,-0.1901,-0.6161,-0.2932,True,True
ton_zero,atc,512,-0.0255,-0.1646,-0.5479,-0.0948,True,True
ton_zero,doc,512,-0.0995,-0.2521,-0.987,-0.5568,True,True
ton_zero,enscal,512,-0.0901,-0.2286,-0.8031,-0.4531,True,True
