scenario,policy,candidate_size,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,candidates_mean,commits_mean,rejects_mean,labels_probe_mean,labels_candidate_mean
ps_full,naive,2000,0.9529869791666666,0.007563507479705682,0.9732708333333334,0.067296875,0.954018829344347,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,0.0,13333.333333333334
ps_full,naive,512,0.9447630208333333,0.008987723872990046,0.9696302083333334,0.08010416666666667,0.9463610823097258,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,0.0,3413.3333333333335
ps_full,never,n/a,0.8557916666666667,0.07908950088525263,,,0.8309123990729969,0.0,0.0,0.0,0.0,0.0,0.0
ps_full,point,2000,0.9544661458333333,0.007537763096360681,0.9737552083333334,0.06482291666666666,0.9552988295541769,3.8666666666666667,3.8666666666666667,2.8666666666666667,1.0,123.73333333333333,15466.666666666666
ps_full,point,512,0.9464088541666666,0.010107881411255877,0.9710052083333333,0.07818750000000001,0.9477845001982544,4.133333333333334,4.133333333333334,2.7333333333333334,1.4,132.26666666666668,4232.533333333334
ps_full,strict,2000,0.9529817708333332,0.006582132839161944,0.9731041666666667,0.067140625,0.9538372112208583,4.9,4.9,2.033333333333333,2.8666666666666667,156.8,19600.0
ps_full,strict,512,0.9435833333333333,0.01173410870930843,0.9659739583333333,0.07880729166666667,0.9445203986020645,5.1,5.1,1.9666666666666666,3.1333333333333333,163.2,5222.4
ton_full,naive,2000,0.9423177083333333,0.010204550543115429,0.9608229166666666,0.0761875,0.9437707855771496,2.6,2.6,2.6,0.0,0.0,10400.0
ton_full,naive,512,0.9323333333333333,0.010004455275485801,0.9582864583333334,0.09361979166666666,0.9345862459397639,2.6,2.6,2.6,0.0,0.0,2662.4
ton_full,never,n/a,0.9178932291666667,0.017648994868172268,,,0.9180063720314348,0.0,0.0,0.0,0.0,0.0,0.0
ton_full,point,2000,0.9424244791666666,0.009758855052817442,0.9600052083333334,0.07515625000000001,0.9437133399514658,2.6333333333333333,2.6333333333333333,2.433333333333333,0.2,84.26666666666667,10533.333333333334
ton_full,point,512,0.9369140625,0.01096538068247446,0.956765625,0.08293750000000001,0.9384414319835966,3.0,3.0,2.1666666666666665,0.8333333333333334,96.0,3072.0
ton_full,strict,2000,0.9409609375,0.009769840684901223,0.9552760416666667,0.07335416666666666,0.9419466353521108,3.7333333333333334,3.7333333333333334,1.7666666666666666,1.9666666666666666,119.46666666666667,14933.333333333334
ton_full,strict,512,0.9358385416666667,0.011451936236741907,0.9507864583333333,0.079109375,0.9369982876084781,4.3,4.3,1.5666666666666667,2.7333333333333334,137.6,4403.2
unsw_full,naive,2000,0.8714869791666667,0.00419711703535831,0.9554583333333333,0.212484375,0.8819372323770326,2.5,2.5,2.5,0.0,0.0,10000.0
unsw_full,naive,512,0.8548697916666667,0.004795247521942473,0.9602708333333333,0.25053125,0.8693797768560875,2.5,2.5,2.5,0.0,0.0,2560.0
unsw_full,never,n/a,0.8336145833333333,0.005669162327069227,,,0.854439356140309,0.0,0.0,0.0,0.0,0.0,0.0
unsw_full,point,2000,0.8708645833333333,0.004325990373120744,0.9552708333333333,0.21354166666666666,0.8814230565516037,2.6666666666666665,2.6666666666666665,2.3666666666666667,0.3,85.33333333333333,10666.666666666666
unsw_full,point,512,0.8550885416666667,0.00414525975426341,0.9602916666666667,0.2501145833333333,0.8695867528259753,3.1,3.1,2.2666666666666666,0.8333333333333334,99.2,3174.4
unsw_full,strict,2000,0.8680989583333333,0.0056946246781063034,0.9573125,0.22111458333333334,0.8795215243197678,3.6,3.6,2.0,1.6,115.2,14400.0
unsw_full,strict,512,0.8545625,0.00517822836790464,0.9614114583333334,0.25228645833333335,0.8693030860008151,3.9,3.9,1.8,2.1,124.8,3993.6
