contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
ps_full: naive-512 vs never,0.5,primary,6.7406,11.1354,False
ps_full: naive-512 vs never,0.2,sensitivity,6.7406,11.1354,False
ps_full: naive-512 vs never,1.0,sensitivity,6.7406,11.1354,False
ps_full: naive-2000 vs never,0.5,primary,7.5208,11.974,False
ps_full: naive-2000 vs never,0.2,sensitivity,7.5208,11.974,False
ps_full: naive-2000 vs never,1.0,sensitivity,7.5208,11.974,False
unsw_full: naive-512 vs never,0.5,primary,1.9047,2.3242,False
unsw_full: naive-512 vs never,0.2,sensitivity,1.9047,2.3242,False
unsw_full: naive-512 vs never,1.0,sensitivity,1.9047,2.3242,False
unsw_full: naive-2000 vs never,0.5,primary,3.5893,3.969,False
unsw_full: naive-2000 vs never,0.2,sensitivity,3.5893,3.969,False
unsw_full: naive-2000 vs never,1.0,sensitivity,3.5893,3.969,False
ton_full: naive-512 vs never,0.5,primary,0.9474,1.9812,False
ton_full: naive-512 vs never,0.2,sensitivity,0.9474,1.9812,False
ton_full: naive-512 vs never,1.0,sensitivity,0.9474,1.9812,False
ton_full: naive-2000 vs never,0.5,primary,1.9583,2.9701,False
ton_full: naive-2000 vs never,0.2,sensitivity,1.9583,2.9701,False
ton_full: naive-2000 vs never,1.0,sensitivity,1.9583,2.9701,False
ps_full: naive-2000 vs naive-512,0.5,primary,0.6937,0.957,False
ps_full: naive-2000 vs naive-512,0.2,sensitivity,0.6937,0.957,False
ps_full: naive-2000 vs naive-512,1.0,sensitivity,0.6937,0.957,True
unsw_full: naive-2000 vs naive-512,0.5,primary,1.5313,1.7883,False
unsw_full: naive-2000 vs naive-512,0.2,sensitivity,1.5313,1.7883,False
unsw_full: naive-2000 vs naive-512,1.0,sensitivity,1.5313,1.7883,False
ton_full: naive-2000 vs naive-512,0.5,primary,0.6677,1.3242,False
ton_full: naive-2000 vs naive-512,0.2,sensitivity,0.6677,1.3242,False
ton_full: naive-2000 vs naive-512,1.0,sensitivity,0.6677,1.3242,False
ps_full: point-2000 vs naive-2000,0.5,primary,-0.0083,0.3458,True
ps_full: point-2000 vs naive-2000,0.2,sensitivity,-0.0083,0.3458,False
ps_full: point-2000 vs naive-2000,1.0,sensitivity,-0.0083,0.3458,True
ps_full: strict-2000 vs naive-2000,0.5,primary,-0.1503,0.1849,True
ps_full: strict-2000 vs naive-2000,0.2,sensitivity,-0.1503,0.1849,True
ps_full: strict-2000 vs naive-2000,1.0,sensitivity,-0.1503,0.1849,True
unsw_full: point-2000 vs naive-2000,0.5,primary,-0.1422,0.0151,True
unsw_full: point-2000 vs naive-2000,0.2,sensitivity,-0.1422,0.0151,True
unsw_full: point-2000 vs naive-2000,1.0,sensitivity,-0.1422,0.0151,True
unsw_full: strict-2000 vs naive-2000,0.5,primary,-0.5016,-0.1763,False
unsw_full: strict-2000 vs naive-2000,0.2,sensitivity,-0.5016,-0.1763,False
unsw_full: strict-2000 vs naive-2000,1.0,sensitivity,-0.5016,-0.1763,True
ton_full: point-2000 vs naive-2000,0.5,primary,-0.0487,0.0737,True
ton_full: point-2000 vs naive-2000,0.2,sensitivity,-0.0487,0.0737,True
ton_full: point-2000 vs naive-2000,1.0,sensitivity,-0.0487,0.0737,True
ton_full: strict-2000 vs naive-2000,0.5,primary,-0.4901,0.2164,True
ton_full: strict-2000 vs naive-2000,0.2,sensitivity,-0.4901,0.2164,False
ton_full: strict-2000 vs naive-2000,1.0,sensitivity,-0.4901,0.2164,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.1633,0.1253,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.1633,0.1253,True
ps_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.1633,0.1253,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.1326,0.3865,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.1326,0.3865,False
ps_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.1326,0.3865,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.2523,0.0768,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.2523,0.0768,False
unsw_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.2523,0.0768,True
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.4818,-0.1331,True
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.4818,-0.1331,False
unsw_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.4818,-0.1331,True
ton_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.8068,-0.1195,False
ton_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.8068,-0.1195,False
ton_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.8068,-0.1195,True
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.8966,-0.0849,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.8966,-0.0849,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.8966,-0.0849,True
