scenario,policy,candidate_size,commits_total,commits_logged,harmful_h1,censored_h1,harmful_rate_h1,harmful_h3,censored_h3,harmful_rate_h3,harmful_h5,censored_h5,harmful_rate_h5,harmful_h10,censored_h10,harmful_rate_h10,caveat
ps_full,naive,512,100,100,36,0,0.36,32,0,0.32,31,2,0.3163,29,2,0.2959,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,point,512,82,82,18,0,0.2195,22,0,0.2683,21,2,0.2625,16,2,0.2,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,strict,512,59,59,10,1,0.1724,11,2,0.193,10,2,0.1754,6,4,0.1091,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,naive,2000,100,100,24,0,0.24,28,0,0.28,31,2,0.3163,27,2,0.2755,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,point,2000,86,86,15,0,0.1744,18,0,0.2093,21,1,0.2471,19,1,0.2235,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,strict,2000,61,61,8,0,0.1311,9,1,0.15,8,1,0.1333,8,1,0.1333,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,naive,512,75,75,21,0,0.28,12,0,0.16,13,1,0.1757,12,1,0.1622,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,point,512,68,68,14,0,0.2059,12,0,0.1765,13,2,0.197,9,2,0.1364,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,strict,512,54,54,6,2,0.1154,4,2,0.0769,5,2,0.0962,3,2,0.0577,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,naive,2000,75,75,5,0,0.0667,3,0,0.04,3,1,0.0405,1,1,0.0135,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,point,2000,71,71,4,0,0.0563,3,0,0.0423,2,0,0.0282,1,0,0.0141,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,strict,2000,60,60,3,0,0.05,1,0,0.0167,1,1,0.0169,0,2,0.0,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,naive,512,78,78,25,0,0.3205,26,0,0.3333,26,0,0.3333,27,2,0.3553,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,point,512,65,65,12,0,0.1846,12,1,0.1875,12,1,0.1875,13,3,0.2097,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,strict,512,47,47,7,0,0.1489,8,0,0.1702,6,0,0.1277,5,2,0.1111,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,naive,2000,78,78,16,0,0.2051,17,0,0.2179,17,0,0.2179,18,2,0.2368,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,point,2000,73,73,13,0,0.1781,14,0,0.1918,12,0,0.1644,13,2,0.1831,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,strict,2000,53,53,2,0,0.0377,7,0,0.1321,6,0,0.1132,5,3,0.1,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
